,who,developed,a,successful,steam,engine,indicator,for,charles,porter,?
early,0.23985694348812103,0.40307047963142395,0.2710886299610138,0.32916441559791565,0.24322280287742615,0.12666913866996765,0.18130406737327576,0.2892865538597107,0.24095898866653442,0.15120771527290344,0.15272949635982513
versions,0.19284802675247192,0.28415781259536743,0.2150656133890152,0.20310328900814056,0.26325514912605286,0.2456447035074234,0.13933990895748138,0.21384628117084503,0.14693453907966614,0.20218829810619354,0.2371230572462082
were,0.3188014328479767,0.2749831974506378,0.17203083634376526,0.24574939906597137,0.20219570398330688,0.164800226688385,0.0793139785528183,0.33592689037323,0.1862054467201233,0.15513338148593903,0.17890112102031708
in,0.2792111933231354,0.2498214840888977,0.539380669593811,0.2864660918712616,0.19852672517299652,0.18885408341884613,0.2048887014389038,0.4322226941585541,0.21346928179264069,0.21711483597755432,0.20430970191955566
use,0.2265424281358719,0.3135351538658142,0.30793872475624084,0.22062073647975922,0.2950085997581482,0.2398114949464798,0.31880542635917664,0.47655582427978516,0.058211781084537506,0.18538320064544678,0.32795652747154236
by,0.39727845788002014,0.2796236276626587,0.32094135880470276,0.1869579404592514,0.18134352564811707,0.1870088279247284,0.1357191801071167,0.3248702883720398,0.24757300317287445,0.2517763674259186,0.17966607213020325
1851,0.08248722553253174,0.14957503974437714,0.06915820389986038,0.08694132417440414,0.06164843589067459,0.0722942054271698,0.09251407533884048,0.07893633842468262,0.16465654969215393,-0.011099960654973984,0.04808126762509346
",",0.3365725874900818,0.24565434455871582,0.427140474319458,0.28826844692230225,0.2264556586742401,0.19789794087409973,0.23202009499073029,0.4464869201183319,0.24990057945251465,0.33977827429771423,0.31091248989105225
but,0.4487357437610626,0.23437225818634033,0.44750767946243286,0.2666237950325012,0.25995272397994995,0.22055119276046753,0.3360828459262848,0.45162561535835266,0.1353951096534729,0.20792613923549652,0.27921953797340393
the,0.3733934462070465,0.24490751326084137,0.5829201340675354,0.31354787945747375,0.23105813562870026,0.21651263535022736,0.29087164998054504,0.4739971458911896,0.20777860283851624,0.221673846244812,0.22068053483963013
most,0.35393568873405457,0.28766918182373047,0.3508910834789276,0.38893797993659973,0.2003706395626068,0.19863130152225494,0.20948345959186554,0.3906237483024597,0.1356566697359085,0.20936527848243713,0.2107497900724411
successful,0.22461774945259094,0.1987343728542328,0.28627005219459534,1.0,0.2572654187679291,0.16274981200695038,0.15732377767562866,0.2988608777523041,0.16775353252887726,0.1613784283399582,0.1132197454571724
indicator,0.15046308934688568,0.1613597869873047,0.3897053897380829,0.15732377767562866,0.12344299256801605,0.2206995189189911,1.0,0.2892799973487854,0.09797421842813492,0.1126273050904274,0.2145715057849884
was,0.3318818509578705,0.3253139555454254,0.4508470594882965,0.3046294152736664,0.16913670301437378,0.205611914396286,0.14304766058921814,0.3863949179649353,0.28342804312705994,0.30808785557746887,0.18412111699581146
