,what,did,tesla,accidentally,cause,?
while,0.35511791706085205,0.3330625295639038,0.15711884200572968,0.37579071521759033,0.252699613571167,0.21076419949531555
experimenting,0.3300393223762512,0.2851540446281433,0.31389424204826355,0.2222987413406372,0.23062828183174133,0.20757123827934265
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.2545335292816162,0.2546827793121338,0.31091248989105225
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.056000467389822006,0.1242845430970192,0.10250775516033173
inadvertently,0.30008819699287415,0.21470975875854492,0.11171606183052063,0.449349969625473,0.34605672955513,0.22784903645515442
faulted,0.2724364399909973,0.27629390358924866,0.06128638982772827,0.3010713756084442,0.29684576392173767,0.13795506954193115
a,0.3320399522781372,0.2552328109741211,0.2211925983428955,0.26298555731773376,0.2715701162815094,0.23916715383529663
power,0.22216427326202393,0.2120266556739807,0.27547121047973633,0.15575678646564484,0.1716279536485672,0.15304024517536163
station,0.1613752841949463,0.11704530566930771,0.21704843640327454,0.17146816849708557,0.13346734642982483,0.12574981153011322
generator,0.1740121841430664,0.06849382072687149,0.39002862572669983,0.27069804072380066,0.23370961844921112,0.16160684823989868
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.2545335292816162,0.2546827793121338,0.31091248989105225
causing,0.24770919978618622,0.2553318440914154,0.09954264760017395,0.35924530029296875,0.6712627410888672,0.1852436512708664
a,0.3320399522781372,0.2552328109741211,0.2211925983428955,0.26298555731773376,0.2715701162815094,0.23916715383529663
power,0.22216427326202393,0.2120266556739807,0.27547121047973633,0.15575678646564484,0.1716279536485672,0.15304024517536163
outage,0.2598397731781006,0.24770578742027283,0.23011168837547302,0.32999294996261597,0.4273349642753601,0.18449679017066956
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.27998849749565125,0.267557293176651,0.4130953550338745
