,which,department,sponsors,the,victoria,and,albert,museum,?
the,0.6521818041801453,0.32582083344459534,0.24524325132369995,1.0,0.2204313427209854,0.5171257257461548,0.17599669098854065,0.24861779808998108,0.22068053483963013
museum,0.22731433808803558,0.24436558783054352,0.20756463706493378,0.24861779808998108,0.16867820918560028,0.21554097533226013,0.17505663633346558,1.0000001192092896,0.14128351211547852
is,0.4457404911518097,0.22835731506347656,0.15386442840099335,0.5823672413825989,0.1633591204881668,0.3859752118587494,0.14875668287277222,0.18299639225006104,0.22961433231830597
a,0.56894451379776,0.17256495356559753,0.16897085309028625,0.5829201340675354,0.15216270089149475,0.3739250600337982,0.13642995059490204,0.14725451171398163,0.23916715383529663
non-departmental,0.29524263739585876,0.836461067199707,0.2796965539455414,0.3325407803058624,0.16935841739177704,0.31365400552749634,0.16462071239948273,0.23155274987220764,0.16200974583625793
public,0.2544276714324951,0.2250450849533081,0.29557961225509644,0.22857438027858734,0.19629675149917603,0.3227643668651581,0.1831677407026291,0.27653977274894714,0.19872993230819702
body,0.3445165753364563,0.16157963871955872,0.1238369271159172,0.31682634353637695,0.09666837006807327,0.2872275710105896,0.11867042630910873,0.11020753532648087,0.20136451721191406
sponsored,0.22965051233768463,0.1958075612783432,0.8138424754142761,0.2539086937904358,0.11431530863046646,0.1443226933479309,0.12364757806062698,0.2824375629425049,0.12262218445539474
by,0.40543368458747864,0.20612254738807678,0.1500338613986969,0.4408751428127289,0.17471559345722198,0.4289871156215668,0.1894216537475586,0.15592984855175018,0.17966607213020325
the,0.6521818041801453,0.32582083344459534,0.24524325132369995,1.0,0.2204313427209854,0.5171257257461548,0.17599669098854065,0.24861779808998108,0.22068053483963013
department,0.17724695801734924,0.9999998807907104,0.1919083595275879,0.32582083344459534,0.17921623587608337,0.27163735032081604,0.18768733739852905,0.24436558783054352,0.1343645304441452
for,0.44095608592033386,0.19361813366413116,0.29548242688179016,0.4739971458911896,0.18287640810012817,0.5064792633056641,0.19380667805671692,0.15718214213848114,0.264628142118454
culture,0.21281319856643677,0.26545950770378113,0.1671178787946701,0.27157285809516907,0.14699587225914001,0.2617773115634918,0.08342651277780533,0.24807621538639069,0.13093146681785583
",",0.3658004403114319,0.2484075129032135,0.17827445268630981,0.4933079481124878,0.2279360294342041,0.6633074283599854,0.2350587546825409,0.20741747319698334,0.31091248989105225
media,0.21947839856147766,0.16211305558681488,0.29881229996681213,0.19221965968608856,0.11195752769708633,0.28782835602760315,0.1792730689048767,0.15138298273086548,0.1571006178855896
and,0.506277859210968,0.27163735032081604,0.16837771236896515,0.5171257257461548,0.24507255852222443,1.0,0.23445942997932434,0.21554097533226013,0.20544172823429108
sport,0.212212473154068,0.21931277215480804,0.385026216506958,0.15650692582130432,0.21498160064220428,0.20057028532028198,0.1782320886850357,0.2101561278104782,0.0972188338637352
.,0.45942068099975586,0.2694511413574219,0.18195094168186188,0.5934505462646484,0.23069117963314056,0.588965117931366,0.22206056118011475,0.19497929513454437,0.4130953550338745
