,how,many,variants,is,the,new,abc,logo,currently,displayed,in,?
the,0.33890387415885925,0.4335206151008606,0.18669377267360687,0.5823672413825989,1.0,0.3845241069793701,0.2068762183189392,0.2806010842323303,0.2945235073566437,0.2887660264968872,0.6662389636039734,0.22068053483963013
logo,0.18911884725093842,0.18482747673988342,0.22489525377750397,0.1738443821668625,0.2806010842323303,0.2146148532629013,0.23574566841125488,1.0000001192092896,0.20723964273929596,0.3213784098625183,0.1848117560148239,0.23347119987010956
is,0.22544461488723755,0.2649032473564148,0.2397417426109314,1.0,0.5823672413825989,0.2208656519651413,0.16037321090698242,0.1738443821668625,0.4011616110801697,0.1811804473400116,0.5394441485404968,0.22961433231830597
displayed,0.17453674972057343,0.16322295367717743,0.21889685094356537,0.1811804473400116,0.2887660264968872,0.1681593507528305,0.17162993550300598,0.3213784098625183,0.20195205509662628,0.9999998807907104,0.22596381604671478,0.20322057604789734
on-air,0.21095925569534302,0.25098708271980286,0.26623204350471497,0.29414546489715576,0.3116612732410431,0.21505869925022125,0.14554472267627716,0.1546841412782669,0.2023668885231018,0.20171523094177246,0.3179948925971985,0.20872481167316437
",",0.22659391164779663,0.40610817074775696,0.22886474430561066,0.4691906273365021,0.4933079481124878,0.36073189973831177,0.2097204476594925,0.20034073293209076,0.33041635155677795,0.2104237824678421,0.5201468467712402,0.31091248989105225
online,0.14425379037857056,0.19279514253139496,0.18717868626117706,0.17776910960674286,0.22717516124248505,0.21066810190677643,0.2452138066291809,0.1494005024433136,0.2030583769083023,0.21366213262081146,0.23201559484004974,0.2474360167980194
and,0.33647966384887695,0.5296266674995422,0.20854225754737854,0.3859752118587494,0.5171257257461548,0.31402453780174255,0.16453155875205994,0.146534726023674,0.2922934591770172,0.19328086078166962,0.4954058527946472,0.20544172823429108
in,0.2601168751716614,0.41474202275276184,0.17982091009616852,0.5394441485404968,0.6662389636039734,0.3758552670478821,0.1697147786617279,0.1848117560148239,0.30261120200157166,0.22596381604671478,1.0,0.20430970191955566
print,0.19482339918613434,0.1889919936656952,0.17524279654026031,0.1829964816570282,0.1922312080860138,0.1938936710357666,0.22562679648399353,0.20624621212482452,0.11406411230564117,0.3332612216472626,0.18454425036907196,0.19833904504776
advertising,0.17877766489982605,0.25984811782836914,0.14852920174598694,0.15747299790382385,0.2048189342021942,0.16880621016025543,0.1800631880760193,0.30638620257377625,0.17776182293891907,0.30467453598976135,0.1743171364068985,0.23602379858493805
in,0.2601168751716614,0.41474202275276184,0.17982091009616852,0.5394441485404968,0.6662389636039734,0.3758552670478821,0.1697147786617279,0.1848117560148239,0.30261120200157166,0.22596381604671478,1.0,0.20430970191955566
four,0.1955733299255371,0.4139232039451599,0.14708589017391205,0.22331103682518005,0.40344667434692383,0.25229623913764954,0.11602456867694855,0.12104370445013046,0.20947536826133728,0.1223248615860939,0.3085027039051056,0.14532537758350372
variants,0.21430997550487518,0.266212522983551,0.9999999403953552,0.2397417426109314,0.18669377267360687,0.13161514699459076,0.16012467443943024,0.22489525377750397,0.22185929119586945,0.21889685094356537,0.17982091009616852,0.19235283136367798
