,who,was,in,command,of,the,german,military,forces,?
at,0.22096660733222961,0.36707764863967896,0.4374977946281433,0.21033719182014465,0.42558613419532776,0.457212895154953,0.13090145587921143,0.17305372655391693,0.20982104539871216,0.21978627145290375
the,0.3733934462070465,0.48711544275283813,0.6662389636039734,0.27488255500793457,0.733189046382904,1.0,0.256483793258667,0.2290858030319214,0.3134811818599701,0.22068053483963013
outbreak,0.15953002870082855,0.27254146337509155,0.27757999300956726,0.12698179483413696,0.22559921443462372,0.28401845693588257,0.10635745525360107,0.20663684606552124,0.3145502507686615,0.1898726373910904
of,0.2827862501144409,0.4069072902202606,0.5696388483047485,0.23060646653175354,1.0,0.733189046382904,0.2122138887643814,0.27347031235694885,0.3090144991874695,0.1826142966747284
world,0.25158336758613586,0.3097524344921112,0.3038199245929718,0.11450574547052383,0.2828933000564575,0.33604270219802856,0.2502993047237396,0.23378613591194153,0.196791410446167,0.17579582333564758
war,0.24286115169525146,0.3560331463813782,0.29904094338417053,0.3250749707221985,0.31680163741111755,0.366199791431427,0.27889665961265564,0.46499648690223694,0.4495985805988312,0.15510529279708862
i,0.33545589447021484,0.23566235601902008,0.22907796502113342,0.21187923848628998,0.25849398970603943,0.26687872409820557,0.17131662368774414,0.18538746237754822,0.20937667787075043,0.4695145785808563
in,0.2792111933231354,0.45514053106307983,1.0,0.18293465673923492,0.5696388483047485,0.6662389636039734,0.21098364889621735,0.2402431070804596,0.2565164566040039,0.20430970191955566
august,0.26242005825042725,0.42620858550071716,0.24307909607887268,0.2301810085773468,0.1712995171546936,0.22689028084278107,0.2757110297679901,0.20767267048358917,0.23254573345184326,0.3006744682788849
1914,-0.017725996673107147,-0.00012045619951095432,0.10786473751068115,0.01702503114938736,0.08154571056365967,0.04474614933133125,0.07820221036672592,0.015649739652872086,0.09823555499315262,0.14893388748168945
",",0.3365725874900818,0.45456063747406006,0.5201468467712402,0.25408896803855896,0.4946078956127167,0.4933079481124878,0.2478695809841156,0.2611614465713501,0.2544684410095215,0.31091248989105225
