,the,idea,that,islam,can,be,apolitical,is,n't,able,to,be,embraced,by,whom,?
islamism,0.2584027051925659,0.351919025182724,0.27515143156051636,0.7715402841567993,0.16523142158985138,0.18793043494224548,0.4979628324508667,0.19005949795246124,0.22228389978408813,0.07637529075145721,0.23028403520584106,0.18793043494224548,0.46543923020362854,0.19877974689006805,0.2221383899450302,0.19147449731826782
is,0.5823672413825989,0.21963010728359222,0.3995479643344879,0.17952334880828857,0.44256699085235596,0.4819129705429077,0.17070238292217255,1.0,0.028099019080400467,0.1493876874446869,0.42745086550712585,0.4819129705429077,0.10336467623710632,0.3899846076965332,0.15196239948272705,0.22961433231830597
a,0.5829201340675354,0.3483608067035675,0.47537946701049805,0.15636202692985535,0.3915780484676361,0.39883795380592346,0.2176414430141449,0.658733606338501,0.013574101030826569,0.2874686121940613,0.45503583550453186,0.39883795380592346,0.16399113833904266,0.32094135880470276,0.21455949544906616,0.23916715383529663
controversial,0.275572806596756,0.3098753094673157,0.3362289071083069,0.3149270713329315,0.20359507203102112,0.2993427813053131,0.3955197334289551,0.2638956904411316,0.11872934550046921,0.20186345279216766,0.27754321694374084,0.2993427813053131,0.2280483990907669,0.2698499858379364,0.2115676999092102,0.2903842329978943
concept,0.2355310022830963,0.5623390674591064,0.3531160056591034,0.2964586019515991,0.19876942038536072,0.3064061105251312,0.2446405440568924,0.2750450372695923,0.00014515187649521977,0.12995977699756622,0.2465057224035263,0.3064061105251312,0.3610355854034424,0.28219208121299744,0.19274474680423737,0.17160645127296448
not,0.4310511648654938,0.35317808389663696,0.6600887179374695,0.2667055130004883,0.49270012974739075,0.5788898468017578,0.2601413428783417,0.3776007890701294,-0.11552248895168304,0.4786893427371979,0.5149973034858704,0.5788898468017578,0.25708305835723877,0.291808545589447,0.28049328923225403,0.41942933201789856
just,0.40061673521995544,0.4400460124015808,0.6540043354034424,0.19856493175029755,0.41454872488975525,0.4862116277217865,0.2657107412815094,0.369599312543869,-0.08067777007818222,0.33857232332229614,0.5153104066848755,0.4862116277217865,0.21437042951583862,0.2508312165737152,0.2014772742986679,0.4144178032875061
because,0.44596394896507263,0.41158539056777954,0.6503599286079407,0.23940783739089966,0.4189445674419403,0.5052481293678284,0.2552740275859833,0.4047735333442688,-0.1617082953453064,0.39419153332710266,0.5166091918945312,0.5052481293678284,0.2812962830066681,0.3562704622745514,0.27706480026245117,0.2528740465641022
it,0.6251175999641418,0.3854401707649231,0.5921133160591125,0.19719752669334412,0.3819273114204407,0.5203388929367065,0.18272224068641663,0.6328473687171936,-0.08058576285839081,0.28575974702835083,0.513711154460907,0.5203388929367065,0.15457266569137573,0.40926623344421387,0.18352724611759186,0.25732165575027466
posits,0.34719520807266235,0.18411143124103546,0.3210301399230957,0.08766671270132065,0.2931811809539795,0.23884139955043793,0.08422133326530457,0.31010833382606506,-0.08699827641248703,0.22630782425403595,0.27363237738609314,0.23884139955043793,0.10055296123027802,0.10969990491867065,0.10849328339099884,0.11253565549850464
a,0.5829201340675354,0.3483608067035675,0.47537946701049805,0.15636202692985535,0.3915780484676361,0.39883795380592346,0.2176414430141449,0.658733606338501,0.013574101030826569,0.2874686121940613,0.45503583550453186,0.39883795380592346,0.16399113833904266,0.32094135880470276,0.21455949544906616,0.23916715383529663
