,how,many,same-sex,married,couples,or,partnerships,were,there,?
there,0.3328511416912079,0.4993700683116913,0.2847946882247925,0.20326592028141022,0.30950963497161865,0.4594070315361023,0.22789017856121063,0.4359818994998932,1.0,0.29405656456947327
were,0.2082374095916748,0.4804460406303406,0.30152007937431335,0.1966971904039383,0.3417845666408539,0.3389680087566376,0.23613661527633667,1.0000001192092896,0.4359818994998932,0.17890112102031708
"12,843",0.13444003462791443,0.11068254709243774,0.06395427137613297,-0.08190209418535233,-0.0112860556691885,0.11448514461517334,-0.035998716950416565,0.10306689888238907,0.004222350660711527,0.08871403336524963
(,0.1676948219537735,0.1455259770154953,0.182939812541008,0.22276289761066437,0.13981248438358307,0.3582012951374054,0.18848270177841187,0.14743882417678833,0.22351126372814178,0.40561532974243164
8.1,-0.044822901487350464,-0.08353467285633087,0.0596437081694603,0.1061619445681572,-0.008312361314892769,-0.050695598125457764,-0.0566507987678051,-0.060163479298353195,-0.10858827084302902,-0.0035603265278041363
%,0.1237400695681572,0.24948352575302124,0.21506983041763306,0.09775304049253464,0.24386580288410187,0.24279601871967316,0.16448695957660675,0.21132414042949677,0.17662706971168518,0.21441808342933655
),0.17939934134483337,0.16602720320224762,0.208439439535141,0.22073489427566528,0.14436666667461395,0.3706604242324829,0.1890629231929779,0.1566188633441925,0.24042794108390808,0.42300865054130554
unmarried,0.13952791690826416,0.15186259150505066,0.3147856891155243,0.7010496258735657,0.5015518069267273,0.2298009991645813,0.24524269998073578,0.27681994438171387,0.22879533469676971,0.3005300760269165
opposite-sex,0.2686755061149597,0.2891409695148468,0.4780046045780182,0.22080795466899872,0.33289197087287903,0.3325660526752472,0.3433794379234314,0.23141346871852875,0.3242448568344116,0.15309350192546844
partnerships,0.14143654704093933,0.2668994069099426,0.33151930570602417,0.2688152492046356,0.45412811636924744,0.2170412391424179,1.0,0.23613661527633667,0.22789017856121063,0.13447776436805725
",",0.22659391164779663,0.40610817074775696,0.291130006313324,0.3299272358417511,0.23360350728034973,0.3769497275352478,0.2320704162120819,0.36755475401878357,0.4587128460407257,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.3083408772945404,0.23728172481060028,0.3011544942855835,0.4713204801082611,0.3430631458759308,0.42175528407096863,0.4242868423461914,0.20544172823429108
"1,388",0.02771204337477684,0.11660303920507431,0.03704027459025383,0.04980063810944557,0.023494161665439606,0.03838048875331879,0.10099723190069199,0.14198383688926697,0.0834013968706131,-0.029316814616322517
(,0.1676948219537735,0.1455259770154953,0.182939812541008,0.22276289761066437,0.13981248438358307,0.3582012951374054,0.18848270177841187,0.14743882417678833,0.22351126372814178,0.40561532974243164
0.9,0.23298849165439606,0.13662314414978027,0.043290168046951294,-0.0725725069642067,0.04075607284903526,0.09245331585407257,-0.0057233842089772224,0.01594906486570835,0.1557278037071228,0.15756377577781677
%,0.1237400695681572,0.24948352575302124,0.21506983041763306,0.09775304049253464,0.24386580288410187,0.24279601871967316,0.16448695957660675,0.21132414042949677,0.17662706971168518,0.21441808342933655
),0.17939934134483337,0.16602720320224762,0.208439439535141,0.22073489427566528,0.14436666667461395,0.3706604242324829,0.1890629231929779,0.1566188633441925,0.24042794108390808,0.42300865054130554
same-sex,0.24283309280872345,0.33328089118003845,1.0,0.295695960521698,0.4308736324310303,0.321210652589798,0.33151930570602417,0.30152007937431335,0.2847946882247925,0.2158789336681366
married,0.1005021259188652,0.13294465839862823,0.295695960521698,1.0,0.4110981822013855,0.05248016119003296,0.2688152492046356,0.1966971904039383,0.20326592028141022,0.18062160909175873
couples,0.2532910406589508,0.28549158573150635,0.4308736324310303,0.4110981822013855,0.9999998807907104,0.332993745803833,0.45412811636924744,0.3417845666408539,0.30950963497161865,0.18474175035953522
or,0.3378981947898865,0.36905089020729065,0.321210652589798,0.05248016119003296,0.332993745803833,1.0000001192092896,0.2170412391424179,0.3389680087566376,0.4594070315361023,0.32389625906944275
partnerships,0.14143654704093933,0.2668994069099426,0.33151930570602417,0.2688152492046356,0.45412811636924744,0.2170412391424179,1.0,0.23613661527633667,0.22789017856121063,0.13447776436805725
.,0.3287222981452942,0.3974229395389557,0.293578565120697,0.2611352503299713,0.27126073837280273,0.36683785915374756,0.2168559432029724,0.3378238379955292,0.43897318840026855,0.4130953550338745
