,what,is,psalm,31:5,?
31:5,-0.08034613728523254,-0.005584911443293095,-0.09401264041662216,1.0,-0.0040304274298250675
),0.26259949803352356,0.37732169032096863,0.18483132123947144,0.07291093468666077,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.22854764759540558,0.040008362382650375,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.2587265372276306,-0.03285956010222435,0.22068053483963013
common,0.19989867508411407,0.2952355444431305,0.17283117771148682,-0.025808466598391533,0.20434872806072235
prayer,0.1971559077501297,0.17994995415210724,0.5011515021324158,-0.06159735471010208,0.2122897058725357
of,0.33290785551071167,0.4854315221309662,0.23457597196102142,-0.042234547436237335,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.2587265372276306,-0.03285956010222435,0.22068053483963013
dying,0.3055056929588318,0.1888938546180725,0.2567082643508911,-0.011056164279580116,0.16392137110233307
.,0.3567904531955719,0.4569662809371948,0.20130901038646698,0.025561414659023285,0.4130953550338745
