,what,chemical,did,priestley,use,in,his,experiments,on,oxygen,?
in,0.30808621644973755,0.23203688859939575,0.2593238651752472,0.20879624783992767,0.2715643048286438,1.0,0.3598145842552185,0.21977302432060242,0.46853652596473694,0.1672476977109909,0.20430970191955566
the,0.42745697498321533,0.18641819059848785,0.34736719727516174,0.21773852407932281,0.34342584013938904,0.6662389636039734,0.4394008219242096,0.21008943021297455,0.5107308030128479,0.20428593456745148,0.22068053483963013
meantime,0.3833208978176117,0.203603133559227,0.3968838155269623,0.18342579901218414,0.30678999423980713,0.21265631914138794,0.34748151898384094,0.21880854666233063,0.29310235381126404,0.2517843544483185,0.37067949771881104
",",0.3087472915649414,0.20593619346618652,0.3015086054801941,0.31705740094184875,0.3276674151420593,0.5201468467712402,0.3378419280052185,0.22640827298164368,0.49057599902153015,0.21812842786312103,0.31091248989105225
on,0.34226128458976746,0.17748381197452545,0.2670976221561432,0.16624125838279724,0.2776605486869812,0.46853652596473694,0.32064297795295715,0.2562560439109802,0.9999999403953552,0.2008662223815918,0.2714994251728058
august,0.2305731326341629,0.14602603018283844,0.26378265023231506,0.18892528116703033,0.13284818828105927,0.24307909607887268,0.2511364817619324,0.15203887224197388,0.3564905822277069,0.12829509377479553,0.3006744682788849
1,-0.21266892552375793,-0.16642090678215027,-0.2815930247306824,-0.26235589385032654,-0.3067699074745178,-0.10660158097743988,-0.325827419757843,-0.239451065659523,-0.09574633836746216,-0.10033886879682541,-0.249979168176651
",",0.3087472915649414,0.20593619346618652,0.3015086054801941,0.31705740094184875,0.3276674151420593,0.5201468467712402,0.3378419280052185,0.22640827298164368,0.49057599902153015,0.21812842786312103,0.31091248989105225
1774,0.04774466156959534,0.11960245668888092,0.006837746128439903,0.06343577802181244,0.12052552402019501,0.12216868996620178,-0.05895806476473808,0.013061437755823135,0.06401868164539337,0.08786603808403015,0.07276970893144608
",",0.3087472915649414,0.20593619346618652,0.3015086054801941,0.31705740094184875,0.3276674151420593,0.5201468467712402,0.3378419280052185,0.22640827298164368,0.49057599902153015,0.21812842786312103,0.31091248989105225
an,0.2821882665157318,0.17447158694267273,0.22598257660865784,0.17629167437553406,0.24603988230228424,0.2605783939361572,0.24025635421276093,0.2370496541261673,0.3192969560623169,0.20976382493972778,0.19793890416622162
