,what,platform,caused,bskyb,to,end,their,analogue,service,?
the,0.42745697498321533,0.18037788569927216,0.24990202486515045,0.20915858447551727,0.535392165184021,0.39658910036087036,0.516537070274353,0.21387246251106262,0.22661015391349792,0.22068053483963013
service,0.16857224702835083,0.2683587670326233,0.1698935627937317,0.1887708604335785,0.24411341547966003,0.1687590777873993,0.1622014343738556,0.24115172028541565,0.9999998807907104,0.1676298975944519
continued,0.17878234386444092,0.1459975391626358,0.2800907790660858,0.15875136852264404,0.33327484130859375,0.24287162721157074,0.2982681095600128,0.11830324679613113,0.2120312601327896,0.10404038429260254
until,0.2693650424480438,0.138535737991333,0.18520154058933258,0.16496050357818604,0.354556679725647,0.30801546573638916,0.271471232175827,0.06115159019827843,0.21693719923496246,0.20304496586322784
the,0.42745697498321533,0.18037788569927216,0.24990202486515045,0.20915858447551727,0.535392165184021,0.39658910036087036,0.516537070274353,0.21387246251106262,0.22661015391349792,0.22068053483963013
closure,0.24223414063453674,0.2456057071685791,0.2149335891008377,0.19014835357666016,0.2766548991203308,0.29727500677108765,0.1655905693769455,0.2518016993999481,0.23128017783164978,0.24107147753238678
of,0.33290785551071167,0.12829063832759857,0.29665443301200867,0.16413870453834534,0.41548454761505127,0.2215006798505783,0.4329940676689148,0.18348726630210876,0.18425606191158295,0.1826142966747284
bskyb,0.17457032203674316,0.20523422956466675,0.11814884841442108,1.0000001192092896,0.16040074825286865,0.1685742288827896,0.12142784148454666,0.17491930723190308,0.1887708604335785,0.2979319989681244
's,0.02692362666130066,0.0657176822423935,-0.0389891043305397,0.046084970235824585,0.03782717138528824,0.030466308817267418,-0.005530759692192078,0.07969032973051071,0.017307469621300697,-0.023395681753754616
analogue,0.2554619014263153,0.2787969708442688,0.07316794246435165,0.17491930723190308,0.19759389758110046,0.16381105780601501,0.13251526653766632,1.0,0.24115172028541565,0.17176184058189392
service,0.16857224702835083,0.2683587670326233,0.1698935627937317,0.1887708604335785,0.24411341547966003,0.1687590777873993,0.1622014343738556,0.24115172028541565,0.9999998807907104,0.1676298975944519
on,0.34226128458976746,0.2612745761871338,0.25160422921180725,0.13935911655426025,0.41031414270401,0.2773675322532654,0.3598666191101074,0.20549729466438293,0.21384719014167786,0.2714994251728058
27,0.07395181059837341,0.07810880988836288,0.05990483611822128,0.1314719170331955,0.02064022608101368,0.15988343954086304,-0.034494683146476746,0.0032679038122296333,0.06779234856367111,0.036716945469379425
september,0.2153792530298233,0.08956064283847809,0.18058240413665771,0.25979429483413696,0.22485187649726868,0.12274900823831558,0.11740412563085556,0.06864107400178909,0.15660975873470306,0.2665146589279175
2001,-0.11417052894830704,-0.1757291704416275,-0.12106571346521378,-0.056213315576314926,-0.1482970118522644,-0.01597611978650093,-0.002636503428220749,-0.09640767425298691,-0.12155842036008835,-0.08740651607513428
",",0.3087472915649414,0.18828214704990387,0.2600580155849457,0.2852807641029358,0.44245919585227966,0.25448864698410034,0.3045167922973633,0.23552176356315613,0.2389259785413742,0.31091248989105225
due,0.15204688906669617,0.18265073001384735,0.4344053566455841,0.1734793484210968,0.35188060998916626,0.22029320895671844,0.24727599322795868,0.188459113240242,0.17099058628082275,0.10954997688531876
to,0.455847829580307,0.20954805612564087,0.2414499819278717,0.16040074825286865,1.0,0.3229445815086365,0.44619059562683105,0.19759389758110046,0.24411341547966003,0.29463258385658264
the,0.42745697498321533,0.18037788569927216,0.24990202486515045,0.20915858447551727,0.535392165184021,0.39658910036087036,0.516537070274353,0.21387246251106262,0.22661015391349792,0.22068053483963013
launch,0.22967466711997986,0.25985661149024963,0.1193765178322792,0.1530798077583313,0.25276505947113037,0.1817208230495453,0.20278798043727875,0.1575935184955597,0.28502675890922546,0.22009649872779846
and,0.31309178471565247,0.1552499383687973,0.2892237603664398,0.2175528109073639,0.48971283435821533,0.24708716571331024,0.45114588737487793,0.21675512194633484,0.24532052874565125,0.20544172823429108
expansion,0.2671823799610138,0.15499188005924225,0.1979408860206604,0.09108132123947144,0.2769574522972107,0.3074924051761627,0.18181848526000977,0.15821485221385956,0.18457241356372833,0.18286365270614624
of,0.33290785551071167,0.12829063832759857,0.29665443301200867,0.16413870453834534,0.41548454761505127,0.2215006798505783,0.4329940676689148,0.18348726630210876,0.18425606191158295,0.1826142966747284
the,0.42745697498321533,0.18037788569927216,0.24990202486515045,0.20915858447551727,0.535392165184021,0.39658910036087036,0.516537070274353,0.21387246251106262,0.22661015391349792,0.22068053483963013
sky,0.16493305563926697,0.12272243946790695,0.11790239065885544,0.2902737259864807,0.17630793154239655,0.1008695513010025,0.15749290585517883,0.22053661942481995,0.09141623228788376,0.11270341277122498
digital,0.1757969856262207,0.17392516136169434,0.08243340998888016,0.2244831621646881,0.1787031590938568,0.09667778760194778,0.19136942923069,0.48044538497924805,0.2400941252708435,0.12982943654060364
platform,0.14918605983257294,0.9999999403953552,0.07246667891740799,0.20523422956466675,0.20954805612564087,0.20153546333312988,0.1615862250328064,0.2787969708442688,0.2683587670326233,0.12602278590202332
.,0.3567904531955719,0.22104737162590027,0.2413787543773651,0.2844841778278351,0.4645031690597534,0.26526886224746704,0.34427863359451294,0.21419855952262878,0.2115515172481537,0.4130953550338745
