,what,is,the,term,when,middle,income,earners,aspire,to,obtain,the,same,standards,of,living,as,people,wealthier,than,themselves,?
secondly,0.35135942697525024,0.23961427807807922,0.22642123699188232,0.1867193877696991,0.38918203115463257,0.04919115826487541,0.19139322638511658,0.20372457802295685,0.20574720203876495,0.3860847055912018,0.18662571907043457,0.22642123699188232,0.2581670582294464,0.26217663288116455,0.22159962356090546,0.16619621217250824,0.2833089530467987,0.21246252954006195,0.2850102484226227,0.2454962432384491,0.222967728972435,0.3404606580734253
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.36674630641937256,0.24847112596035004,0.19703416526317596,0.19960495829582214,0.15821689367294312,0.44245919585227966,0.20451262593269348,0.4933079481124878,0.3207721710205078,0.2764625549316406,0.4946078956127167,0.26278790831565857,0.48816442489624023,0.36644625663757324,0.23091910779476166,0.3371901512145996,0.19974499940872192,0.31091248989105225
aspirational,0.24297010898590088,0.22516082227230072,0.24002505838871002,0.19087807834148407,0.2193126678466797,0.07239551842212677,0.22918541729450226,0.29047513008117676,0.6031379103660583,0.27538710832595825,0.2941225469112396,0.24002505838871002,0.21641510725021362,0.27386802434921265,0.26259148120880127,0.10911340266466141,0.21455441415309906,0.16427651047706604,0.15591876208782196,0.24589069187641144,0.22026467323303223,0.19427265226840973
consumption,0.22381934523582458,0.2964645028114319,0.23633816838264465,0.24529142677783966,0.192897766828537,0.10340620577335358,0.43854594230651855,0.36505448818206787,0.2810647189617157,0.3022409975528717,0.28011834621429443,0.23633816838264465,0.2216731756925583,0.30163753032684326,0.249590665102005,0.21501727402210236,0.26236018538475037,0.21932072937488556,0.39266812801361084,0.26648154854774475,0.23698757588863373,0.1937485784292221
describes,0.28796884417533875,0.33745625615119934,0.30593109130859375,0.3971254527568817,0.29051393270492554,0.2198011726140976,0.13092561066150665,0.11554598808288574,0.10306791961193085,0.23831379413604736,0.1460413783788681,0.30593109130859375,0.2911156415939331,0.17372208833694458,0.33623746037483215,0.19950740039348602,0.32411181926727295,0.1331702172756195,0.1448705792427063,0.23318465054035187,0.1914098560810089,0.13134142756462097
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.5091903209686279,0.3405749201774597,0.23699946701526642,0.2193494290113449,0.1946907639503479,0.535392165184021,0.21407602727413177,1.0,0.4583131968975067,0.2433546632528305,0.733189046382904,0.3127744197845459,0.48381632566452026,0.36838498711586,0.27555933594703674,0.3227543234825134,0.3444426357746124,0.22068053483963013
process,0.3466717302799225,0.21762968599796295,0.264274537563324,0.2777116000652313,0.31665828824043274,0.0621197335422039,0.18099328875541687,0.2380722165107727,0.20265991985797882,0.35462963581085205,0.29022836685180664,0.264274537563324,0.19678793847560883,0.355566143989563,0.23962904512882233,0.07954330742359161,0.22885268926620483,0.14167439937591553,0.14266133308410645,0.24356497824192047,0.23485305905342102,0.2460896074771881
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26047757267951965,0.3757161796092987,0.2799445688724518,0.2581324577331543,0.22104087471961975,0.1351137012243271,0.41548454761505127,0.22279390692710876,0.733189046382904,0.3808329105377197,0.18525971472263336,1.0,0.3499443829059601,0.3886612355709076,0.3251037895679474,0.23031748831272125,0.33036211133003235,0.2638634443283081,0.1826142966747284
middle,0.18312302231788635,0.21621397137641907,0.3405749201774597,0.18345826864242554,0.25323590636253357,0.9999998807907104,0.2744423747062683,0.20392175018787384,0.08236739784479141,0.2015334814786911,0.029795454815030098,0.3405749201774597,0.21005137264728546,0.09365010261535645,0.2799445688724518,0.16724278032779694,0.2141454964876175,0.16468708217144012,0.20785512030124664,0.1809392124414444,0.12447307258844376,0.13139553368091583
income,0.21837803721427917,0.14559021592140198,0.23699946701526642,0.16641829907894135,0.16407446563243866,0.2744423747062683,1.0,0.46200817823410034,0.2133977711200714,0.27188464999198914,0.21165362000465393,0.23699946701526642,0.1700841635465622,0.27353277802467346,0.2581324577331543,0.26209062337875366,0.1530616581439972,0.2230251580476761,0.42573317885398865,0.22589486837387085,0.17762964963912964,0.14935168623924255
