,where,was,tesla,studying,when,he,started,playing,cards,and,billiards,?
during,0.3543127477169037,0.4470829963684082,0.08954931050539017,0.23358897864818573,0.46721696853637695,0.3751114010810852,0.3956807553768158,0.22985729575157166,0.13760915398597717,0.36462149024009705,0.18129076063632965,0.1325719803571701
his,0.29880598187446594,0.4405253231525421,0.1580733060836792,0.3050406873226166,0.37120407819747925,0.7171558737754822,0.311460942029953,0.35806289315223694,0.18777978420257568,0.4234102666378021,0.12307563424110413,0.18075084686279297
second,0.26257625222206116,0.3858029544353485,0.16922037303447723,0.17100512981414795,0.28561660647392273,0.2751937806606293,0.2508106827735901,0.20962616801261902,0.19283851981163025,0.2743909955024719,0.09668578952550888,0.17239587008953094
year,0.20427323877811432,0.3209837079048157,0.1455472707748413,0.14649908244609833,0.3014719784259796,0.2827935814857483,0.2950398623943329,0.16851787269115448,0.14429903030395508,0.2506658732891083,0.16530264914035797,0.18315006792545319
of,0.38066378235816956,0.4069072902202606,0.18837453424930573,0.2883101999759674,0.3757161796092987,0.38706058263778687,0.22928385436534882,0.20471586287021637,0.17791864275932312,0.5116966962814331,0.18779690563678741,0.1826142966747284
study,0.26273444294929504,0.18420368432998657,0.1303233504295349,0.7506858110427856,0.2670287787914276,0.2761457860469818,0.22375576198101044,0.2227213978767395,0.1012711450457573,0.300253301858902,0.15526393055915833,0.15902167558670044
at,0.4402937591075897,0.36707764863967896,0.16552478075027466,0.26039913296699524,0.38876327872276306,0.3280475437641144,0.2973955571651459,0.19664570689201355,0.08256644010543823,0.3571503460407257,0.17354261875152588,0.21978627145290375
graz,0.26652073860168457,0.22688491642475128,0.27265462279319763,0.19541658461093903,0.17976036667823792,0.25371554493904114,0.22132162749767303,0.28365081548690796,0.14528776705265045,0.224552720785141,0.19867423176765442,0.19033589959144592
",",0.3149496018886566,0.45456063747406006,0.20599327981472015,0.28254297375679016,0.36674630641937256,0.40251094102859497,0.32632124423980713,0.26859769225120544,0.1665201038122177,0.6633074283599854,0.24140183627605438,0.31091248989105225
tesla,0.12761090695858002,0.16455206274986267,0.9999999403953552,0.16565333306789398,0.1504557579755783,0.12373391538858414,0.10913282632827759,0.1356678605079651,0.24068590998649597,0.19560420513153076,0.20116844773292542,0.10250775516033173
developed,0.17737361788749695,0.3253139555454254,0.20067144930362701,0.2539430856704712,0.19180624186992645,0.11614217609167099,0.40059900283813477,0.21471120417118073,0.15275248885154724,0.25542938709259033,0.2178536355495453,0.10763012617826462
a,0.40997210144996643,0.4508470594882965,0.2211925983428955,0.28715598583221436,0.44397395849227905,0.4393508732318878,0.29961374402046204,0.25313833355903625,0.19317428767681122,0.3739250600337982,0.24102899432182312,0.23916715383529663
passion,0.20175886154174805,0.19972580671310425,0.16555730998516083,0.1859629899263382,0.18975095450878143,0.2762620449066162,0.17578592896461487,0.23098541796207428,0.09760618954896927,0.23717100918293,0.14295244216918945,0.10797914862632751
for,0.38599511981010437,0.3863949179649353,0.13983871042728424,0.22843459248542786,0.43402108550071716,0.4540175199508667,0.297429621219635,0.3546140491962433,0.2450939565896988,0.5064792633056641,0.16884832084178925,0.264628142118454
(,0.1970011591911316,0.2980341613292694,0.2156914919614792,0.12776194512844086,0.2459595799446106,0.21137313544750214,0.15955166518688202,0.14629317820072174,0.145511195063591,0.4862271547317505,0.1633121371269226,0.40561532974243164
and,0.43859338760375977,0.3740963041782379,0.19560420513153076,0.3061647117137909,0.4716290831565857,0.45427167415618896,0.2649672031402588,0.2819675803184509,0.2148873656988144,1.0,0.22469432651996613,0.20544172823429108
became,0.1668500453233719,0.6575068235397339,0.12976884841918945,0.2346731424331665,0.32363733649253845,0.4161640405654907,0.4678649306297302,0.27970603108406067,0.12212400138378143,0.31226563453674316,0.21660996973514557,0.11374033987522125
very,0.36831510066986084,0.3183368146419525,0.15882818400859833,0.32107603549957275,0.4456231892108917,0.3159113824367523,0.24179820716381073,0.2073879987001419,0.1464070975780487,0.4546867609024048,0.1925714910030365,0.20864155888557434
proficient,0.2917955815792084,0.20445969700813293,0.24549831449985504,0.28674912452697754,0.28316524624824524,0.18601146340370178,0.18883459270000458,0.10565410554409027,0.18552422523498535,0.308714896440506,0.221370667219162,0.2286040037870407
at,0.4402937591075897,0.36707764863967896,0.16552478075027466,0.26039913296699524,0.38876327872276306,0.3280475437641144,0.2973955571651459,0.19664570689201355,0.08256644010543823,0.3571503460407257,0.17354261875152588,0.21978627145290375
),0.20711064338684082,0.3267642855644226,0.22692398726940155,0.15034015476703644,0.2538422644138336,0.24215729534626007,0.19399096071720123,0.16198612749576569,0.15697990357875824,0.4961937665939331,0.1806761771440506,0.42300865054130554
billiards,0.20202277600765228,0.24359196424484253,0.20116844773292542,0.13452400267124176,0.24984516203403473,0.19117288291454315,0.15393215417861938,0.30000412464141846,0.37797674536705017,0.22469432651996613,1.0000001192092896,0.1921035647392273
",",0.3149496018886566,0.45456063747406006,0.20599327981472015,0.28254297375679016,0.36674630641937256,0.40251094102859497,0.32632124423980713,0.26859769225120544,0.1665201038122177,0.6633074283599854,0.24140183627605438,0.31091248989105225
chess,0.19080062210559845,0.16802603006362915,0.2375999242067337,0.1228029653429985,0.1852996051311493,0.19102801382541656,0.11589951813220978,0.27866241335868835,0.24258141219615936,0.1707576960325241,0.39711907505989075,0.10200536996126175
and,0.43859338760375977,0.3740963041782379,0.19560420513153076,0.3061647117137909,0.4716290831565857,0.45427167415618896,0.2649672031402588,0.2819675803184509,0.2148873656988144,1.0,0.22469432651996613,0.20544172823429108
card-playing,0.29609739780426025,0.2754664421081543,0.24938391149044037,0.3528568744659424,0.32087236642837524,0.36376112699508667,0.2974485456943512,0.7842468023300171,0.6078579425811768,0.36775147914886475,0.37115803360939026,0.2564970850944519
",",0.3149496018886566,0.45456063747406006,0.20599327981472015,0.28254297375679016,0.36674630641937256,0.40251094102859497,0.32632124423980713,0.26859769225120544,0.1665201038122177,0.6633074283599854,0.24140183627605438,0.31091248989105225
