,what,is,the,oxygen,partial,pressure,of,space,suits,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1672476977109909,0.23465001583099365,0.16116683185100555,0.5696388483047485,0.17648501694202423,0.1673949509859085,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.20428593456745148,0.2313118278980255,0.28285476565361023,0.733189046382904,0.24495907127857208,0.2673831284046173,0.22068053483963013
case,0.30770957469940186,0.26648613810539246,0.31022098660469055,0.19170716404914856,0.3196543753147125,0.2547933757305145,0.24743439257144928,0.19912216067314148,0.2686552107334137,0.33232852816581726
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.16848602890968323,0.2845287024974823,0.22627468407154083,1.0,0.21300287544727325,0.2601613402366638,0.1826142966747284
spacesuits,0.2537602484226227,0.23467068374156952,0.2870029807090759,0.45225977897644043,0.2628960609436035,0.3710191249847412,0.2623348534107208,0.6504722237586975,0.6360346674919128,0.21940559148788452
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21812842786312103,0.20778897404670715,0.21867604553699493,0.4946078956127167,0.2285580337047577,0.21471096575260162,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.20428593456745148,0.2313118278980255,0.28285476565361023,0.733189046382904,0.24495907127857208,0.2673831284046173,0.22068053483963013
o,0.1489914506673813,0.18684464693069458,0.19071193039417267,0.2476140707731247,0.13719788193702698,0.09936560690402985,0.16054381430149078,0.09991100430488586,0.15780816972255707,0.23868927359580994
2,-0.049862053245306015,-0.07940074801445007,-0.019434669986367226,0.04063820466399193,-0.02188948728144169,-0.02186267264187336,-0.013777675107121468,-0.05579118803143501,-0.11329872906208038,0.001977203879505396
partial,0.24140220880508423,0.23120467364788055,0.2313118278980255,0.15541093051433563,1.0,0.21681919693946838,0.2845287024974823,0.16210150718688965,0.22832413017749786,0.16151700913906097
pressure,0.2625555694103241,0.19239991903305054,0.28285476565361023,0.35798126459121704,0.21681919693946838,1.0000001192092896,0.22627468407154083,0.21622900664806366,0.2517367899417877,0.142023503780365
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1672476977109909,0.23465001583099365,0.16116683185100555,0.5696388483047485,0.17648501694202423,0.1673949509859085,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.20428593456745148,0.2313118278980255,0.28285476565361023,0.733189046382904,0.24495907127857208,0.2673831284046173,0.22068053483963013
breathing,0.22805334627628326,0.19124522805213928,0.21453244984149933,0.5621939897537231,0.18331731855869293,0.40630093216896057,0.1794356405735016,0.21788223087787628,0.2650686502456665,0.20811115205287933
gas,0.20887799561023712,0.1897863894701004,0.2339978665113449,0.45564013719558716,0.23016445338726044,0.36503171920776367,0.21246914565563202,0.2566068172454834,0.2209891378879547,0.1582372784614563
is,0.28837618231773376,1.0,0.5823672413825989,0.21825239062309265,0.23120467364788055,0.19239991903305054,0.4854315221309662,0.18578536808490753,0.19759035110473633,0.22961433231830597
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21812842786312103,0.20778897404670715,0.21867604553699493,0.4946078956127167,0.2285580337047577,0.21471096575260162,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1672476977109909,0.23465001583099365,0.16116683185100555,0.5696388483047485,0.17648501694202423,0.1673949509859085,0.20430970191955566
general,0.24928055703639984,0.20144300162792206,0.28634732961654663,0.10775250941514969,0.15990902483463287,0.13826356828212738,0.28352999687194824,0.16632826626300812,0.054995905607938766,0.1972234547138214
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21812842786312103,0.20778897404670715,0.21867604553699493,0.4946078956127167,0.2285580337047577,0.21471096575260162,0.31091248989105225
about,0.47976887226104736,0.3532065451145172,0.37995871901512146,0.1566355675458908,0.14499208331108093,0.19874489307403564,0.40939709544181824,0.1689152717590332,0.1251201629638672,0.302409827709198
30,-0.04443084076046944,0.01582122966647148,0.0730796679854393,0.01225299946963787,-0.04877614974975586,0.030718419700860977,0.003304550424218178,-0.05443284660577774,0.053760938346385956,-0.08261742442846298
kpa,0.17692479491233826,0.19405466318130493,0.19373929500579834,0.2132871299982071,0.21917638182640076,0.3506906032562256,0.1648968756198883,0.16452330350875854,0.14495357871055603,0.2370387464761734
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.189798504114151,0.16350498795509338,0.13923819363117218,0.35032153129577637,0.23673366010189056,0.09558625519275665,0.40561532974243164
1.4,0.2381235510110855,0.23839454352855682,0.31343409419059753,0.2587288022041321,0.2820957601070404,0.1998903751373291,0.30835142731666565,0.26420387625694275,0.2436898946762085,0.3414674699306488
times,0.21414996683597565,0.21773184835910797,0.29093852639198303,0.16570967435836792,0.03164093196392059,0.13534457981586456,0.24352745711803436,0.11916735768318176,0.19632399082183838,0.18880689144134521
normal,0.32813265919685364,0.2731911838054657,0.25256022810935974,0.28902506828308105,0.2696976661682129,0.2938547432422638,0.2300747036933899,0.242890864610672,0.2981773316860199,0.19617988169193268
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.19541971385478973,0.17260125279426575,0.14610013365745544,0.3680361211299896,0.24192531406879425,0.10823241621255875,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21812842786312103,0.20778897404670715,0.21867604553699493,0.4946078956127167,0.2285580337047577,0.21471096575260162,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22261030972003937,0.19445575773715973,0.2595808804035187,0.5116966962814331,0.22901733219623566,0.2751924991607666,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.20428593456745148,0.2313118278980255,0.28285476565361023,0.733189046382904,0.24495907127857208,0.2673831284046173,0.22068053483963013
resulting,0.17960047721862793,0.2671727240085602,0.3905409574508667,0.24328576028347015,0.26605480909347534,0.3000853955745697,0.3631994426250458,0.20110657811164856,0.20586231350898743,0.10813049972057343
o,0.1489914506673813,0.18684464693069458,0.19071193039417267,0.2476140707731247,0.13719788193702698,0.09936560690402985,0.16054381430149078,0.09991100430488586,0.15780816972255707,0.23868927359580994
2,-0.049862053245306015,-0.07940074801445007,-0.019434669986367226,0.04063820466399193,-0.02188948728144169,-0.02186267264187336,-0.013777675107121468,-0.05579118803143501,-0.11329872906208038,0.001977203879505396
partial,0.24140220880508423,0.23120467364788055,0.2313118278980255,0.15541093051433563,1.0,0.21681919693946838,0.2845287024974823,0.16210150718688965,0.22832413017749786,0.16151700913906097
pressure,0.2625555694103241,0.19239991903305054,0.28285476565361023,0.35798126459121704,0.21681919693946838,1.0000001192092896,0.22627468407154083,0.21622900664806366,0.2517367899417877,0.142023503780365
