,what,did,decnet,originally,do
decnet,0.30539456009864807,0.18541114032268524,1.0000001192092896,0.2193414568901062,0.21705453097820282
is,0.28837618231773376,0.19247472286224365,0.1913895606994629,0.33268988132476807,0.30895981192588806
a,0.3320399522781372,0.2552328109741211,0.24059852957725525,0.3363247811794281,0.26237669587135315
suite,0.13092082738876343,0.09863351285457611,0.3695616126060486,0.29118117690086365,0.10612637549638748
of,0.33290785551071167,0.2513895630836487,0.23107442259788513,0.21349623799324036,0.26150479912757874
network,0.16917307674884796,0.08572790026664734,0.3962576389312744,0.24431277811527252,0.12826339900493622
protocols,0.1937398612499237,0.1302470564842224,0.49375399947166443,0.15090665221214294,0.2275245189666748
created,0.20714101195335388,0.26176875829696655,0.26264408230781555,0.37988269329071045,0.21025130152702332
by,0.2455483376979828,0.18574509024620056,0.31663134694099426,0.4076972007751465,0.1481526494026184
digital,0.1757969856262207,0.10377924144268036,0.40097886323928833,0.15198452770709991,0.13653230667114258
equipment,0.21531300246715546,0.22350327670574188,0.27305781841278076,0.14023664593696594,0.2190978080034256
corporation,0.1715448498725891,0.10538096725940704,0.292858362197876,0.25756457448005676,0.13194261491298676
",",0.3087472915649414,0.3015086054801941,0.2908768355846405,0.2660219669342041,0.3283645510673523
originally,0.2645323872566223,0.23196664452552795,0.2193414568901062,0.9999999403953552,0.11401013284921646
released,0.20228935778141022,0.20844610035419464,0.29263466596603394,0.3123553693294525,0.18594153225421906
in,0.30808621644973755,0.2593238651752472,0.22210948169231415,0.3191297650337219,0.23402775824069977
1975,0.24193862080574036,0.1641349047422409,0.09390760213136673,0.20152702927589417,0.18316850066184998
in,0.30808621644973755,0.2593238651752472,0.22210948169231415,0.3191297650337219,0.23402775824069977
order,0.16634008288383484,0.22891858220100403,0.1339612752199173,0.1050596535205841,0.20566318929195404
to,0.455847829580307,0.4452643394470215,0.27629080414772034,0.30024412274360657,0.38876664638519287
connect,0.21411117911338806,0.09862206876277924,0.23984424769878387,0.18252642452716827,0.2555404603481293
two,0.23363454639911652,0.2755576968193054,0.20149603486061096,0.22303812205791473,0.22086432576179504
pdp-11,0.2063635289669037,0.18543949723243713,0.4619407653808594,0.19677786529064178,0.28454649448394775
minicomputers,0.2986973822116852,0.2435903251171112,0.47419485449790955,0.18478059768676758,0.33387356996536255
.,0.3567904531955719,0.35288307070732117,0.34408679604530334,0.2504246234893799,0.3613996207714081
