,in,what,series,was,the,master,reintroduced,?
with,0.4080928862094879,0.2464839518070221,0.17767351865768433,0.27411898970603943,0.4223487675189972,0.14622679352760315,0.2640404999256134,0.2433311939239502
the,0.6662389636039734,0.42745697498321533,0.31376904249191284,0.48711544275283813,1.0,0.19769129157066345,0.30385175347328186,0.22068053483963013
show,0.27595704793930054,0.29653704166412354,0.41789430379867554,0.20142383873462677,0.319829523563385,0.17537632584571838,0.23339040577411652,0.2520138621330261
's,-0.037580832839012146,0.02692362666130066,0.0006390819908119738,0.008974763564765453,-0.01540423184633255,0.025999123230576515,-0.02398991584777832,-0.023395681753754616
2005,0.009931974112987518,0.0704459398984909,0.04714697599411011,0.11356307566165924,0.037273142486810684,0.014813080430030823,0.09318765997886658,0.10709824413061142
revival,0.2631177604198456,0.17674529552459717,0.22159305214881897,0.3003317415714264,0.30452626943588257,0.16481631994247437,0.24171847105026245,0.09967152029275894
",",0.5201468467712402,0.3087472915649414,0.24060699343681335,0.45456063747406006,0.4933079481124878,0.21451058983802795,0.27687403559684753,0.31091248989105225
executive,0.1878502070903778,0.13765592873096466,0.1810639202594757,0.26019418239593506,0.2402946650981903,0.23577991127967834,0.16699689626693726,0.12134998291730881
producer,0.1708001047372818,0.15126943588256836,0.2266491949558258,0.2683317959308624,0.20962586998939514,0.20018158853054047,0.1560196876525879,0.17015865445137024
russell,0.22963611781597137,0.16743159294128418,0.21904300153255463,0.2758617401123047,0.2413037121295929,0.1660367101430893,0.1450163722038269,0.11642709374427795
t,0.1924382597208023,0.37454068660736084,0.13229136168956757,0.19807380437850952,0.2083338052034378,0.1180092990398407,0.14954763650894165,0.4954066574573517
davies,0.1982824057340622,0.14111879467964172,0.28206896781921387,0.2509008049964905,0.22865624725818634,0.27427250146865845,0.11350780725479126,0.12641099095344543
stated,0.24313503503799438,0.3668954074382782,0.17326653003692627,0.33307945728302,0.2814950942993164,0.1970781534910202,0.2263101488351822,0.24280361831188202
his,0.3598145842552185,0.26976513862609863,0.23445890843868256,0.4405253231525421,0.4394008219242096,0.319755882024765,0.17313462495803833,0.18075084686279297
intention,0.23223328590393066,0.3878974914550781,0.20288603007793427,0.2700917720794678,0.25965142250061035,0.16517488658428192,0.1388382762670517,0.27262312173843384
to,0.45010748505592346,0.455847829580307,0.19879554212093353,0.3636345863342285,0.535392165184021,0.20949430763721466,0.2521350383758545,0.29463258385658264
