,having,existing,utility,lines,marked,lessens,the,likelihood,of,what,?
this,0.4056638777256012,0.38107404112815857,0.24751879274845123,0.25866103172302246,0.35195377469062805,0.40053531527519226,0.6274310946464539,0.4590798318386078,0.45148900151252747,0.5489566326141357,0.3155723512172699
lessens,0.3344985842704773,0.24138325452804565,0.22386230528354645,0.1923142671585083,0.19073191285133362,1.0,0.38509097695350647,0.416825532913208,0.3462403118610382,0.3139382004737854,0.23044778406620026
the,0.3821379244327545,0.36013904213905334,0.20175418257713318,0.28391990065574646,0.36085957288742065,0.38509097695350647,1.0,0.3716847598552704,0.733189046382904,0.42745697498321533,0.22068053483963013
likelihood,0.36672377586364746,0.319184809923172,0.2520604431629181,0.19817297160625458,0.2690272629261017,0.416825532913208,0.3716847598552704,1.0,0.3448318541049957,0.41016635298728943,0.3244779706001282
of,0.38889452815055847,0.30417704582214355,0.2311905026435852,0.1948472559452057,0.3172365128993988,0.3462403118610382,0.733189046382904,0.3448318541049957,1.0,0.33290785551071167,0.1826142966747284
damage,0.24545270204544067,0.17702023684978485,0.24995607137680054,0.18543098866939545,0.15844978392124176,0.2992314398288727,0.2545957863330841,0.3533799946308136,0.23761005699634552,0.2590121924877167,0.2121051400899887
to,0.3992697596549988,0.36717307567596436,0.19861730933189392,0.26990512013435364,0.2587842047214508,0.3539751172065735,0.535392165184021,0.4685809314250946,0.41548454761505127,0.455847829580307,0.29463258385658264
the,0.3821379244327545,0.36013904213905334,0.20175418257713318,0.28391990065574646,0.36085957288742065,0.38509097695350647,1.0,0.3716847598552704,0.733189046382904,0.42745697498321533,0.22068053483963013
existing,0.3121289014816284,1.0,0.29245254397392273,0.2851616442203522,0.26807376742362976,0.24138325452804565,0.36013904213905334,0.319184809923172,0.30417704582214355,0.31325602531433105,0.31003472208976746
electrical,0.21296633780002594,0.2169845551252365,0.33242928981781006,0.2330922931432724,0.10933318734169006,0.20936273038387299,0.2523402273654938,0.25373661518096924,0.23057208955287933,0.19961315393447876,0.10923371464014053
",",0.3154076039791107,0.2549736201763153,0.22275474667549133,0.23323656618595123,0.2669837772846222,0.3090760111808777,0.4933079481124878,0.26524072885513306,0.4946078956127167,0.3087472915649414,0.31091248989105225
water,0.19583715498447418,0.2034667432308197,0.22843894362449646,0.1630447953939438,0.09858440607786179,0.24376161396503448,0.297396719455719,0.2568965554237366,0.2741255462169647,0.17456887662410736,0.14731885492801666
",",0.3154076039791107,0.2549736201763153,0.22275474667549133,0.23323656618595123,0.2669837772846222,0.3090760111808777,0.4933079481124878,0.26524072885513306,0.4946078956127167,0.3087472915649414,0.31091248989105225
sewage,0.20143409073352814,0.3203161656856537,0.2491552084684372,0.1844787448644638,0.14414387941360474,0.2767479419708252,0.23593217134475708,0.2993176281452179,0.22664804756641388,0.21130776405334473,0.1900925189256668
",",0.3154076039791107,0.2549736201763153,0.22275474667549133,0.23323656618595123,0.2669837772846222,0.3090760111808777,0.4933079481124878,0.26524072885513306,0.4946078956127167,0.3087472915649414,0.31091248989105225
phone,0.20673464238643646,0.2107839733362198,0.2101542055606842,0.18049006164073944,0.028931329026818275,0.14538778364658356,0.15813133120536804,0.19475862383842468,0.14360401034355164,0.22262883186340332,0.1789194494485855
",",0.3154076039791107,0.2549736201763153,0.22275474667549133,0.23323656618595123,0.2669837772846222,0.3090760111808777,0.4933079481124878,0.26524072885513306,0.4946078956127167,0.3087472915649414,0.31091248989105225
and,0.36825746297836304,0.26408615708351135,0.24678480625152588,0.30738139152526855,0.2419077605009079,0.3616357147693634,0.5171257257461548,0.3043304681777954,0.5116966962814331,0.31309178471565247,0.20544172823429108
cable,0.1605101078748703,0.19800904393196106,0.30166810750961304,0.22912544012069702,0.10787513852119446,0.1390780806541443,0.2599749267101288,0.2010529339313507,0.18660153448581696,0.14582780003547668,0.13993921875953674
facilities,0.21722814440727234,0.2597603499889374,0.38841482996940613,0.18478423357009888,0.11801976710557938,0.19888702034950256,0.19172798097133636,0.2149486541748047,0.17473776638507843,0.137315571308136,0.10624271631240845
",",0.3154076039791107,0.2549736201763153,0.22275474667549133,0.23323656618595123,0.2669837772846222,0.3090760111808777,0.4933079481124878,0.26524072885513306,0.4946078956127167,0.3087472915649414,0.31091248989105225
which,0.4051061272621155,0.4450038969516754,0.2738117575645447,0.29714417457580566,0.3083769381046295,0.3934868276119232,0.6521818041801453,0.43647998571395874,0.5011631846427917,0.5261979103088379,0.25814583897590637
could,0.4230998158454895,0.3271755576133728,0.26405060291290283,0.28325361013412476,0.20753201842308044,0.2731953561306,0.35393214225769043,0.356713205575943,0.29043012857437134,0.4188697934150696,0.3411986827850342
