,what,was,the,genghis,khan,'s,characteristic,approach,to,religious,diversity,?
some,0.4491020441055298,0.21528802812099457,0.4566698372364044,0.19859196245670319,0.10166428983211517,0.056411296129226685,0.4149593710899353,0.2465895414352417,0.4636894166469574,0.2879745662212372,0.30092260241508484,0.2562315762042999
historians,0.3240909278392792,0.26714372634887695,0.2874947786331177,0.33834153413772583,0.14363840222358704,0.032542359083890915,0.18812762200832367,0.19675493240356445,0.2267346978187561,0.31677311658859253,0.23287050426006317,0.15053395926952362
have,0.39808809757232666,0.2863433063030243,0.40389683842658997,0.19005528092384338,0.15938645601272583,-0.02807004563510418,0.3933867812156677,0.19876894354820251,0.4544740617275238,0.23195013403892517,0.2902122735977173,0.32991164922714233
noted,0.16981294751167297,0.3068269193172455,0.248806893825531,0.15884330868721008,0.10258236527442932,-0.024553362280130386,0.33721619844436646,0.18764375150203705,0.18737518787384033,0.18988613784313202,0.2407694309949875,0.13014346361160278
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.21352417767047882,0.14077997207641602,0.04397977516055107,0.3676197826862335,0.24670064449310303,0.5436353087425232,0.2569219172000885,0.25597548484802246,0.32716336846351624
genghis,0.24369274079799652,0.3037589192390442,0.3448939025402069,1.0,0.5896923542022705,0.031423866748809814,0.1789180338382721,0.1306263953447342,0.2294713407754898,0.2445499449968338,0.13564394414424896,0.18813461065292358
khan,0.16476042568683624,0.23483267426490784,0.21067845821380615,0.5896923542022705,1.0,0.05307086929678917,0.08214022219181061,0.11622082442045212,0.18221943080425262,0.155739426612854,0.07812539488077164,0.12862591445446014
instituted,0.15921105444431305,0.279317170381546,0.30944254994392395,0.24152037501335144,0.1561579555273056,-0.04588659107685089,0.13559266924858093,0.17944955825805664,0.18246716260910034,0.2902621328830719,0.3614389896392822,0.1225171610713005
certain,0.4561643898487091,0.16044850647449493,0.392071396112442,0.1585395336151123,0.1623317152261734,0.002122793812304735,0.41428178548812866,0.2530887722969055,0.4444960355758667,0.2745698392391205,0.2654460072517395,0.2516106069087982
levels,0.21641245484352112,0.10329693555831909,0.286034494638443,0.1153906062245369,0.10811077803373337,0.0031945309601724148,0.2721518874168396,0.14601434767246246,0.29053324460983276,0.09279040992259979,0.2492401897907257,0.1541307419538498
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2938849925994873,0.17124508321285248,-0.03817026689648628,0.2943860590457916,0.20773443579673767,0.41548454761505127,0.2958606779575348,0.30036839842796326,0.1826142966747284
meritocracy,0.3724118173122406,0.24809376895427704,0.3303079605102539,0.2439231425523758,0.18920309841632843,-0.04908718168735504,0.29398003220558167,0.1666204035282135,0.3178030252456665,0.3799959719181061,0.2818498909473419,0.3110058009624481
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.224680557847023,0.1527150720357895,-0.037580832839012146,0.2336774468421936,0.17494414746761322,0.45010748505592346,0.24099457263946533,0.2306472808122635,0.20430970191955566
