,what,was,the,starting,cost,for,a,tv,commercial,lasting,30,seconds,and,airing,during,super,bowl,50,?
cbs,0.1950361132621765,0.26256829500198364,0.2283918708562851,0.26406973600387573,0.1723526418209076,0.20941372215747833,0.16314536333084106,0.5679857730865479,0.16281317174434662,0.20711876451969147,0.015075087547302246,0.2119588702917099,0.2054297775030136,0.5128318071365356,0.25509363412857056,0.23111854493618011,0.2528696060180664,-0.030295440927147865,0.14594407379627228
set,0.28954121470451355,0.22985222935676575,0.2927955985069275,0.29399794340133667,0.1719154417514801,0.30194196105003357,0.2540091574192047,0.13865630328655243,0.11019827425479889,0.1667764037847519,0.014021473936736584,0.21941596269607544,0.27649927139282227,0.2055567055940628,0.1877487152814865,0.1139470711350441,0.16605548560619354,0.04030413553118706,0.1698019951581955
the,0.42745697498321533,0.48711544275283813,1.0,0.37272053956985474,0.23177006840705872,0.4739971458911896,0.5829201340675354,0.20034731924533844,0.23051398992538452,0.3242513835430145,0.0730796679854393,0.1997634470462799,0.5171257257461548,0.26751524209976196,0.4838213622570038,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
base,0.1336955726146698,0.17853876948356628,0.2870652377605438,0.21517372131347656,0.20361439883708954,0.15657725930213928,0.27513372898101807,0.1478438377380371,0.1648169457912445,0.13949179649353027,-0.011601421982049942,0.1611950397491455,0.23155631124973297,0.14923493564128876,0.20333656668663025,0.10701395571231842,0.14966657757759094,0.03647720068693161,0.10518061369657516
rate,0.21845893561840057,0.16712123155593872,0.24881242215633392,0.22515103220939636,0.3044428825378418,0.2299952208995819,0.24373900890350342,0.09577485173940659,0.1785915344953537,0.17903703451156616,-0.037375032901763916,0.23860687017440796,0.17405889928340912,0.20261381566524506,0.20080311596393585,0.08693669736385345,0.09125302731990814,-0.06920462846755981,0.1308269053697586
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.31099238991737366,0.2728281319141388,0.9999999403953552,0.44038116931915283,0.22924813628196716,0.25690725445747375,0.34271079301834106,0.005358967464417219,0.21811291575431824,0.5064792633056641,0.2297060489654541,0.3448435664176941,0.22938419878482819,0.24430087208747864,0.029183456674218178,0.264628142118454
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.3460865914821625,0.21993719041347504,0.44038116931915283,1.0,0.2169625610113144,0.2696971893310547,0.28828486800193787,-0.003403416834771633,0.2580257058143616,0.3739250600337982,0.1968962401151657,0.30341604351997375,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.23916715383529663
30-second,0.2115969955921173,0.27058619260787964,0.3721327483654022,0.29356127977371216,0.23334260284900665,0.20732535421848297,0.3324473798274994,0.17336660623550415,0.11541673541069031,0.3547137975692749,-0.03564344346523285,0.5495692491531372,0.18550723791122437,0.23105338215827942,0.32848256826400757,0.2004479467868805,0.19167320430278778,0.033071182668209076,0.18454498052597046
advertisement,0.24429576098918915,0.23976172506809235,0.19069752097129822,0.19463954865932465,0.2550683915615082,0.271327406167984,0.22613872587680817,0.29076674580574036,0.36191609501838684,0.11190427839756012,-0.002394073409959674,0.16948406398296356,0.1552911251783371,0.2695333957672119,0.16220946609973907,0.05764436721801758,0.11824924498796463,0.07712281495332718,0.2126694768667221
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.3052406907081604,0.26695817708969116,0.34237727522850037,0.3095070421695709,0.12339487671852112,0.14243963360786438,0.20053556561470032,0.08557987958192825,0.22611074149608612,0.3571503460407257,0.23267783224582672,0.372769296169281,0.11449114978313446,0.2709662914276123,-0.018447641283273697,0.21978627145290375
$,0.24858909845352173,0.23838669061660767,0.23367542028427124,0.1709328442811966,0.5133980512619019,0.22711659967899323,0.22939236462116241,0.15141546726226807,0.23296304047107697,0.18163616955280304,-0.00666854390874505,0.23817448318004608,0.20277954638004303,0.22690559923648834,0.18413951992988586,0.14851532876491547,0.24415016174316406,-0.044484999030828476,0.2786129117012024
"5,000,000",0.05810077488422394,0.09670650959014893,0.2069973647594452,0.07360044121742249,0.13442817330360413,0.14163659512996674,0.1624617874622345,0.1213316097855568,0.04595782980322838,0.24959099292755127,-0.1038457453250885,0.17531217634677887,0.13346759974956512,0.14242403209209442,0.25718626379966736,0.06530839204788208,0.13829657435417175,0.03913196548819542,0.05217192322015762
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2485944926738739,0.20970560610294342,0.4464869201183319,0.427140474319458,0.2778550088405609,0.26546892523765564,0.23596498370170593,-0.002004974754527211,0.2238321751356125,0.6633074283599854,0.2531873881816864,0.3225448727607727,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.3460865914821625,0.21993719041347504,0.44038116931915283,1.0,0.2169625610113144,0.2696971893310547,0.28828486800193787,-0.003403416834771633,0.2580257058143616,0.3739250600337982,0.1968962401151657,0.30341604351997375,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.23916715383529663
record,0.1772487461566925,0.2787264287471771,0.23569516837596893,0.18439993262290955,0.16688096523284912,0.24185582995414734,0.2588478624820709,0.18432492017745972,0.15299548208713531,0.22703218460083008,0.006836314685642719,0.3095735013484955,0.23470573127269745,0.23061834275722504,0.2749153673648834,0.2505435347557068,0.24389338493347168,0.06952042132616043,0.14407116174697876
high,0.20466077327728271,0.19978567957878113,0.28034812211990356,0.22367647290229797,0.23288494348526,0.1925620585680008,0.22865821421146393,0.25300079584121704,0.16188225150108337,0.17183201014995575,0.04345909506082535,0.17137648165225983,0.2911888659000397,0.18078072369098663,0.16778922080993652,0.21968311071395874,0.18100906908512115,-0.11227928847074509,0.11137914657592773
price,0.18606361746788025,0.2517668902873993,0.22636492550373077,0.14260736107826233,0.4596409201622009,0.2516993284225464,0.18269109725952148,0.18529710173606873,0.24765226244926453,0.18532060086727142,0.052615366876125336,0.17953145503997803,0.24203191697597504,0.2268061488866806,0.11477147042751312,0.10587269812822342,0.21071754395961761,-0.08494044095277786,0.14631175994873047
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.31099238991737366,0.2728281319141388,0.9999999403953552,0.44038116931915283,0.22924813628196716,0.25690725445747375,0.34271079301834106,0.005358967464417219,0.21811291575431824,0.5064792633056641,0.2297060489654541,0.3448435664176941,0.22938419878482819,0.24430087208747864,0.029183456674218178,0.264628142118454
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.3460865914821625,0.21993719041347504,0.44038116931915283,1.0,0.2169625610113144,0.2696971893310547,0.28828486800193787,-0.003403416834771633,0.2580257058143616,0.3739250600337982,0.1968962401151657,0.30341604351997375,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.23916715383529663
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.19030950963497162,0.1336439698934555,0.22938419878482819,0.26005712151527405,0.2682373523712158,0.20105868577957153,0.10721231251955032,0.02300216630101204,0.17694975435733795,0.18368244171142578,0.21884356439113617,0.16951335966587067,1.0000001192092896,0.4848237931728363,0.0833745002746582,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.14217491447925568,0.2092275321483612,0.24430087208747864,0.19533146917819977,0.1964709460735321,0.16026756167411804,0.20062166452407837,-0.030675051733851433,0.20954594016075134,0.1698254644870758,0.15650680661201477,0.22041946649551392,0.4848237931728363,1.0,0.005446359980851412,0.21118052303791046
ad,0.27659884095191956,0.22054366767406464,0.24233382940292358,0.24310307204723358,0.10360197722911835,0.09682639688253403,0.1853104531764984,0.15317656099796295,0.1564321517944336,0.2905966341495514,0.027781715616583824,0.09382907301187515,0.1829509735107422,0.0901644378900528,0.13994094729423523,0.06299305707216263,0.1156758964061737,0.03135479614138603,0.20824462175369263
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2759506106376648,0.26134178042411804,0.4726039469242096,0.50484299659729,0.27196308970451355,0.2460125982761383,0.2592228055000305,0.08522222936153412,0.21767209470272064,0.588965117931366,0.26848000288009644,0.3485563397407532,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
