,who,argues,that,the,government,redistributes,wealth,by,force,?
robert,0.2748492956161499,0.1817084401845932,0.17482081055641174,0.2257954627275467,0.1111178994178772,0.018800266087055206,0.09552517533302307,0.24091920256614685,0.18052712082862854,0.11293095350265503
nozick,0.36166638135910034,0.38036948442459106,0.2412545531988144,0.12186837941408157,0.24771907925605774,0.1456059366464615,0.1805008351802826,0.2638178765773773,0.2095128446817398,0.22039884328842163
argued,0.27725863456726074,0.6776454448699951,0.3780103027820587,0.1919303685426712,0.2942756116390228,0.21721422672271729,0.2531653940677643,0.24532800912857056,0.19676682353019714,0.18905270099639893
that,0.45444270968437195,0.3249100148677826,1.0,0.5473989248275757,0.29558056592941284,0.3461964428424835,0.256238728761673,0.37496164441108704,0.26810982823371887,0.32716336846351624
government,0.27194860577583313,0.21697263419628143,0.29558056592941284,0.31798112392425537,1.0000001192092896,0.24898794293403625,0.33007606863975525,0.24235671758651733,0.32347920536994934,0.18851417303085327
redistributes,0.1724468320608139,0.2316996157169342,0.3461964428424835,0.31868210434913635,0.24898794293403625,1.0000001192092896,0.3072202205657959,0.30682387948036194,0.16341052949428558,0.11713492125272751
wealth,0.28164976835250854,0.34192955493927,0.256238728761673,0.24999672174453735,0.33007606863975525,0.3072202205657959,0.9999998807907104,0.1584445983171463,0.18202006816864014,0.1624586433172226
by,0.39727845788002014,0.2119825929403305,0.37496164441108704,0.4408751428127289,0.24235671758651733,0.30682387948036194,0.1584445983171463,1.0000001192092896,0.24997374415397644,0.17966607213020325
force,0.19492056965827942,0.1575358510017395,0.26810982823371887,0.2800885736942291,0.32347920536994934,0.16341052949428558,0.18202006816864014,0.24997374415397644,1.0000001192092896,0.1650998443365097
(,0.2443375140428543,0.170864999294281,0.2264307141304016,0.33289089798927307,0.14655277132987976,0.1453121304512024,0.13117057085037231,0.20696312189102173,0.17529799044132233,0.40561532974243164
usually,0.35319453477859497,0.12886761128902435,0.43660464882850647,0.36782920360565186,0.2110610455274582,0.32691025733947754,0.12547074258327484,0.30666717886924744,0.18658389151096344,0.19435347616672516
in,0.2792111933231354,0.1981038600206375,0.435920387506485,0.6662389636039734,0.3066793978214264,0.2472490668296814,0.1835664063692093,0.370934396982193,0.21744468808174133,0.20430970191955566
the,0.3733934462070465,0.22893615067005157,0.5473989248275757,1.0,0.31798112392425537,0.31868210434913635,0.24999672174453735,0.4408751428127289,0.2800885736942291,0.22068053483963013
form,0.137381911277771,0.18189118802547455,0.31894639134407043,0.29286009073257446,0.18117623031139374,0.2995969355106354,0.1520005315542221,0.20338405668735504,0.20255571603775024,0.1463010311126709
of,0.2827862501144409,0.24239063262939453,0.41498205065727234,0.733189046382904,0.3475167155265808,0.31571927666664124,0.27235376834869385,0.3646814823150635,0.27094775438308716,0.1826142966747284
taxation,0.20940183103084564,0.30532100796699524,0.25972744822502136,0.2914186716079712,0.544364869594574,0.38128983974456787,0.4196792542934418,0.29991888999938965,0.2593507170677185,0.16318899393081665
),0.2457384318113327,0.14785180985927582,0.23478686809539795,0.3456730246543884,0.15263929963111877,0.13669678568840027,0.13129688799381256,0.2151763141155243,0.19671578705310822,0.42300865054130554
",",0.3365725874900818,0.23710490763187408,0.4137537479400635,0.4933079481124878,0.27344048023223877,0.2016652673482895,0.22482609748840332,0.3680937886238098,0.22091743350028992,0.31091248989105225
and,0.41279885172843933,0.27027055621147156,0.4731321930885315,0.5171257257461548,0.2859337627887726,0.2853023409843445,0.29316192865371704,0.4289871156215668,0.24372100830078125,0.20544172823429108
that,0.45444270968437195,0.3249100148677826,1.0,0.5473989248275757,0.29558056592941284,0.3461964428424835,0.256238728761673,0.37496164441108704,0.26810982823371887,0.32716336846351624
the,0.3733934462070465,0.22893615067005157,0.5473989248275757,1.0,0.31798112392425537,0.31868210434913635,0.24999672174453735,0.4408751428127289,0.2800885736942291,0.22068053483963013
ideal,0.2359040379524231,0.31106361746788025,0.3302164673805237,0.25375595688819885,0.14254654943943024,0.25697240233421326,0.3012717068195343,0.1778499335050583,0.1823953241109848,0.13358637690544128
moral,0.26351985335350037,0.4494019150733948,0.28321540355682373,0.20571894943714142,0.27700337767601013,0.194295272231102,0.3872048854827881,0.13548806309700012,0.1804603636264801,0.2608962953090668
society,0.2507454752922058,0.27758896350860596,0.23252169787883759,0.2789285480976105,0.3291187882423401,0.27316153049468994,0.28868359327316284,0.14365209639072418,0.1597387045621872,0.1373005360364914
would,0.3632977604866028,0.28464120626449585,0.5895259380340576,0.4133751392364502,0.2675379514694214,0.29437685012817383,0.2968173027038574,0.28394925594329834,0.2111431211233139,0.37178951501846313
be,0.3371641933917999,0.18555113673210144,0.6036020517349243,0.4248143136501312,0.22621913254261017,0.29362592101097107,0.2205534279346466,0.43158695101737976,0.16664405167102814,0.3324260413646698
one,0.40083858370780945,0.2372220903635025,0.5133185982704163,0.5514441132545471,0.22701126337051392,0.2577151358127594,0.24815486371517181,0.29445651173591614,0.23989498615264893,0.2673267424106598
where,0.41804537177085876,0.1934809386730194,0.4876193106174469,0.5003893971443176,0.16681428253650665,0.21454787254333496,0.19527192413806915,0.2641284465789795,0.18261179327964783,0.24793872237205505
all,0.3698336184024811,0.17416760325431824,0.53305584192276,0.4860881567001343,0.21567091345787048,0.33856987953186035,0.20417547225952148,0.2944089472293854,0.1734381765127182,0.29575422406196594
individuals,0.349673330783844,0.3425177037715912,0.3555488586425781,0.3022412955760956,0.2533380389213562,0.4256412386894226,0.31513237953186035,0.25637397170066833,0.1441088318824768,0.20243582129478455
are,0.27294138073921204,0.1532573252916336,0.45265161991119385,0.40399202704429626,0.20126859843730927,0.3060941696166992,0.13664987683296204,0.37842893600463867,0.12981104850769043,0.24591213464736938
free,0.2042286992073059,0.17326372861862183,0.25286802649497986,0.22231732308864594,0.2551202178001404,0.29561471939086914,0.1962985098361969,0.19287452101707458,0.21837836503982544,0.1278279572725296
from,0.27839982509613037,0.1605592519044876,0.3477667272090912,0.40150508284568787,0.16793464124202728,0.18700966238975525,0.19466403126716614,0.3373257517814636,0.14128944277763367,0.19969791173934937
force,0.19492056965827942,0.1575358510017395,0.26810982823371887,0.2800885736942291,0.32347920536994934,0.16341052949428558,0.18202006816864014,0.24997374415397644,1.0000001192092896,0.1650998443365097
.,0.3541337847709656,0.20865966379642487,0.4460422694683075,0.5934505462646484,0.2521961033344269,0.2626720666885376,0.1815606653690338,0.3936232924461365,0.2783275842666626,0.4130953550338745
