,what,region,of,the,rhine,was,changed,by,the,rhine,straightening,program,?
the,0.42745697498321533,0.35020557045936584,0.733189046382904,1.0,0.30735138058662415,0.48711544275283813,0.351829469203949,0.4408751428127289,1.0,0.30735138058662415,0.28836721181869507,0.22986935079097748,0.22068053483963013
upper,0.1592642068862915,0.2789056599140167,0.25818127393722534,0.35289278626441956,0.27324220538139343,0.16268539428710938,0.1611855924129486,0.10709846764802933,0.35289278626441956,0.27324220538139343,0.21288077533245087,0.08186337351799011,0.051342256367206573
rhine,0.16475653648376465,0.25959649682044983,0.2548927664756775,0.30735138058662415,1.0,0.18681856989860535,0.15414851903915405,0.18456800282001495,0.30735138058662415,1.0,0.11898552626371384,0.08297404646873474,0.13754533231258392
region,0.2298986315727234,1.0,0.2852717339992523,0.35020557045936584,0.25959649682044983,0.19296804070472717,0.14270351827144623,0.15175513923168182,0.35020557045936584,0.25959649682044983,0.14352387189865112,0.05798066407442093,0.13441751897335052
was,0.22111038863658905,0.19296804070472717,0.4069072902202606,0.48711544275283813,0.18681856989860535,1.0000001192092896,0.3462000787258148,0.4752357602119446,0.48711544275283813,0.18681856989860535,0.1475522369146347,0.1849333792924881,0.18412111699581146
changed,0.2667781710624695,0.14270351827144623,0.3099449872970581,0.351829469203949,0.15414851903915405,0.3462000787258148,1.0,0.27396583557128906,0.351829469203949,0.15414851903915405,0.21290050446987152,0.16796177625656128,0.21123318374156952
significantly,0.2746123671531677,0.20512382686138153,0.2703875005245209,0.3313288986682892,0.12487909197807312,0.22230319678783417,0.2235618680715561,0.2918403744697571,0.3313288986682892,0.12487909197807312,0.2646843492984772,0.14455682039260864,0.1823679804801941
by,0.2455483376979828,0.15175513923168182,0.3646814823150635,0.4408751428127289,0.18456800282001495,0.4752357602119446,0.27396583557128906,1.0000001192092896,0.4408751428127289,0.18456800282001495,0.19827598333358765,0.19954828917980194,0.17966607213020325
a,0.3320399522781372,0.23209655284881592,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.4508470594882965,0.2289808690547943,0.32094135880470276,0.5829201340675354,0.1823403388261795,0.29697516560554504,0.2779408395290375,0.23916715383529663
rhine,0.16475653648376465,0.25959649682044983,0.2548927664756775,0.30735138058662415,1.0,0.18681856989860535,0.15414851903915405,0.18456800282001495,0.30735138058662415,1.0,0.11898552626371384,0.08297404646873474,0.13754533231258392
straightening,0.30535563826560974,0.14352387189865112,0.22229816019535065,0.28836721181869507,0.11898552626371384,0.1475522369146347,0.21290050446987152,0.19827598333358765,0.28836721181869507,0.11898552626371384,1.0,0.1287701427936554,0.17868033051490784
program,0.25047802925109863,0.05798066407442093,0.17376001179218292,0.22986935079097748,0.08297404646873474,0.1849333792924881,0.16796177625656128,0.19954828917980194,0.22986935079097748,0.08297404646873474,0.1287701427936554,1.0,0.1440187245607376
in,0.30808621644973755,0.3524819314479828,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.45514053106307983,0.292167991399765,0.370934396982193,0.6662389636039734,0.24648422002792358,0.18307538330554962,0.1994907110929489,0.20430970191955566
the,0.42745697498321533,0.35020557045936584,0.733189046382904,1.0,0.30735138058662415,0.48711544275283813,0.351829469203949,0.4408751428127289,1.0,0.30735138058662415,0.28836721181869507,0.22986935079097748,0.22068053483963013
19th,0.11525199562311172,0.01849096268415451,0.16605104506015778,0.24964287877082825,0.14088697731494904,0.24231374263763428,0.13393601775169373,0.2488098442554474,0.24964287877082825,0.14088697731494904,0.26601606607437134,0.1875244826078415,0.004712673369795084
century,0.20422613620758057,0.21375064551830292,0.2826060354709625,0.3617299497127533,0.21836237609386444,0.3521432876586914,0.2505124807357788,0.29995259642601013,0.3617299497127533,0.21836237609386444,0.22886262834072113,0.15256467461585999,0.1026201918721199
.,0.3567904531955719,0.2506107687950134,0.5352458953857422,0.5934505462646484,0.2089352011680603,0.40146201848983765,0.2985190153121948,0.3936232924461365,0.5934505462646484,0.2089352011680603,0.25162386894226074,0.18964338302612305,0.4130953550338745
