,how,long,is,the,section,that,turns,north,?
this,0.45272302627563477,0.3617446720600128,0.480927973985672,0.6274310946464539,0.338134229183197,0.6909449696540833,0.25265830755233765,0.21515107154846191,0.3155723512172699
section,0.22074809670448303,0.22918614745140076,0.22237545251846313,0.3365345895290375,0.9999998807907104,0.2808297276496887,0.1209884062409401,0.13405433297157288,0.2733710706233978
is,0.22544461488723755,0.28473302721977234,1.0,0.5823672413825989,0.22237545251846313,0.3995479643344879,0.3550080955028534,0.2993389368057251,0.22961433231830597
nearly,0.23273618519306183,0.3263060450553894,0.268917441368103,0.3409946858882904,0.15477250516414642,0.3343394100666046,0.19420699775218964,0.24373063445091248,0.11670064926147461
86,0.10609403997659683,-0.07065252959728241,0.036284711211919785,0.10089810192584991,0.12091575562953949,0.14635203778743744,-0.13403445482254028,-0.023283496499061584,0.10934870690107346
km,0.10687907040119171,0.26957154273986816,0.24258680641651154,0.21376769244670868,0.14644518494606018,0.1602332592010498,0.18864133954048157,0.3494616746902466,0.08180338144302368
long,0.2615325152873993,1.0,0.28473302721977234,0.3075225353240967,0.22918614745140076,0.34424030780792236,0.2070438414812088,0.20966807007789612,0.19699987769126892
",",0.22659391164779663,0.3431144952774048,0.4691906273365021,0.4933079481124878,0.2615945339202881,0.4137537479400635,0.24742825329303741,0.31834840774536133,0.31091248989105225
and,0.33647966384887695,0.3395216166973114,0.3859752118587494,0.5171257257461548,0.262373685836792,0.4731321930885315,0.3010953962802887,0.2776443064212799,0.20544172823429108
descends,0.18510639667510986,0.11038600653409958,0.21271087229251862,0.30480852723121643,0.12386327981948853,0.2528283894062042,0.22601273655891418,0.19627748429775238,0.1150875836610794
from,0.22939439117908478,0.3109167516231537,0.27355384826660156,0.40150508284568787,0.19169776141643524,0.3477667272090912,0.21300633251667023,0.3180590271949768,0.19969791173934937
a,0.29312583804130554,0.3795371353626251,0.658733606338501,0.5829201340675354,0.29094603657722473,0.47537946701049805,0.30035504698753357,0.25008413195610046,0.23916715383529663
height,0.19309629499912262,0.28678929805755615,0.19831733405590057,0.2694929540157318,0.232002392411232,0.21551740169525146,0.13042423129081726,0.2165515273809433,0.1599798947572708
