,most,schools,established,by,the,umc,are,members,of,what,group,?
most,1.0,0.19526082277297974,0.19008098542690277,0.270847886800766,0.47635307908058167,0.13156963884830475,0.48698675632476807,0.2748974561691284,0.4178851246833801,0.3219912350177765,0.28064751625061035,0.2107497900724411
are,0.48698675632476807,0.30816179513931274,0.13481727242469788,0.37842893600463867,0.40399202704429626,0.2037472277879715,1.0,0.31528955698013306,0.39081433415412903,0.29724663496017456,0.35980498790740967,0.24591213464736938
members,0.2748974561691284,0.20991680026054382,0.17410403490066528,0.24919851124286652,0.3321719169616699,0.2014501541852951,0.31528955698013306,0.9999998807907104,0.28120753169059753,0.16873176395893097,0.481466144323349,0.10212311148643494
of,0.4178851246833801,0.265506386756897,0.2735237777233124,0.3646814823150635,0.733189046382904,0.18128293752670288,0.39081433415412903,0.28120753169059753,1.0,0.33290785551071167,0.25542253255844116,0.1826142966747284
the,0.47635307908058167,0.22905772924423218,0.33092597126960754,0.4408751428127289,1.0,0.21262750029563904,0.40399202704429626,0.3321719169616699,0.733189046382904,0.42745697498321533,0.30795547366142273,0.22068053483963013
international,0.20767533779144287,0.18907523155212402,0.24827779829502106,0.18733210861682892,0.23719607293605804,0.24793365597724915,0.18634282052516937,0.1804858148097992,0.23367412388324738,0.10870302468538284,0.2255152314901352,0.15335838496685028
association,0.17534592747688293,0.26367929577827454,0.27448445558547974,0.17459174990653992,0.26550325751304626,0.22204548120498657,0.1881098598241806,0.25731828808784485,0.2501356303691864,0.13908448815345764,0.2547440528869629,0.1542656421661377
of,0.4178851246833801,0.265506386756897,0.2735237777233124,0.3646814823150635,0.733189046382904,0.18128293752670288,0.39081433415412903,0.28120753169059753,1.0,0.33290785551071167,0.25542253255844116,0.1826142966747284
methodist-related,0.2712864875793457,0.35519182682037354,0.2813138961791992,0.27887970209121704,0.3161971867084503,0.2890123128890991,0.3338916599750519,0.3208312690258026,0.38323089480400085,0.28194746375083923,0.27612417936325073,0.22467099130153656
schools,0.19526082277297974,1.0,0.2572194039821625,0.1415957361459732,0.22905772924423218,0.3257748484611511,0.30816179513931274,0.20991680026054382,0.265506386756897,0.1820785105228424,0.17403405904769897,0.18349280953407288
",",0.3636029064655304,0.2760516405105591,0.22739723324775696,0.3680937886238098,0.4933079481124878,0.1953766793012619,0.4062570035457611,0.2357054501771927,0.4946078956127167,0.3087472915649414,0.2809832692146301,0.31091248989105225
colleges,0.22255215048789978,0.5698807835578918,0.2759760022163391,0.24805639684200287,0.2200278788805008,0.329593300819397,0.26040151715278625,0.2653229832649231,0.31927260756492615,0.19657261669635773,0.2206544429063797,0.15586905181407928
",",0.3636029064655304,0.2760516405105591,0.22739723324775696,0.3680937886238098,0.4933079481124878,0.1953766793012619,0.4062570035457611,0.2357054501771927,0.4946078956127167,0.3087472915649414,0.2809832692146301,0.31091248989105225
and,0.4309377074241638,0.29319998621940613,0.2369968742132187,0.4289871156215668,0.5171257257461548,0.21982228755950928,0.48576638102531433,0.2994427978992462,0.5116966962814331,0.31309178471565247,0.3510662019252777,0.20544172823429108
universities,0.27189359068870544,0.5587410926818848,0.25488024950027466,0.1998378038406372,0.2619408071041107,0.31024476885795593,0.27859437465667725,0.2613624930381775,0.29948264360427856,0.1630716770887375,0.22887177765369415,0.16836881637573242
.,0.35404038429260254,0.2752705216407776,0.23771190643310547,0.3936232924461365,0.5934505462646484,0.23154163360595703,0.3452940285205841,0.21119362115859985,0.5352458953857422,0.3567904531955719,0.27268800139427185,0.4130953550338745
