,who,is,the,general,manager,for,the,broncos,?
the,0.3733934462070465,0.5823672413825989,1.0,0.28634732961654663,0.18262924253940582,0.4739971458911896,1.0,0.25985947251319885,0.22068053483963013
past,0.3421076834201813,0.2206672728061676,0.2747827172279358,0.11729665845632553,0.10805947333574295,0.3203027844429016,0.2747827172279358,0.10405488312244415,0.2598046660423279
record,0.24139603972434998,0.19413821399211884,0.23569516837596893,0.06800749897956848,0.2122219353914261,0.24185582995414734,0.23569516837596893,0.18765106797218323,0.14407116174697876
was,0.3318818509578705,0.5810302495956421,0.48711544275283813,0.2445744127035141,0.22753120958805084,0.3863949179649353,0.48711544275283813,0.23574475944042206,0.18412111699581146
held,0.21375896036624908,0.19884860515594482,0.32185450196266174,0.17221853137016296,0.14401598274707794,0.2495253086090088,0.32185450196266174,0.22484172880649567,0.14103956520557404
by,0.39727845788002014,0.3899846076965332,0.4408751428127289,0.2654627859592438,0.1792716681957245,0.3248702883720398,0.4408751428127289,0.11333504319190979,0.17966607213020325
john,0.30388808250427246,0.16449548304080963,0.2230520099401474,0.18603326380252838,0.22278985381126404,0.22649751603603363,0.2230520099401474,0.2301175743341446,0.13162356615066528
elway,0.30533918738365173,0.22354689240455627,0.2985321283340454,0.15048164129257202,0.3292383551597595,0.27748486399650574,0.2985321283340454,0.47580254077911377,0.2248448133468628
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.3022127151489258,0.26230543851852417,0.4464869201183319,0.4933079481124878,0.2558487057685852,0.31091248989105225
who,0.9999998807907104,0.24293622374534607,0.3733934462070465,0.2461782991886139,0.22238492965698242,0.37110671401023865,0.3733934462070465,0.1763724684715271,0.26220351457595825
led,0.2450801581144333,0.14361225068569183,0.3267505168914795,0.3108576536178589,0.21647891402244568,0.2628403306007385,0.3267505168914795,0.26527854800224304,0.09273858368396759
the,0.3733934462070465,0.5823672413825989,1.0,0.28634732961654663,0.18262924253940582,0.4739971458911896,1.0,0.25985947251319885,0.22068053483963013
broncos,0.1763724684715271,0.1288805603981018,0.25985947251319885,0.21892748773097992,0.3106665015220642,0.2739109396934509,0.25985947251319885,1.0000001192092896,0.18377114832401276
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.24755197763442993,0.18800784647464752,0.4451248347759247,0.535392165184021,0.23674264550209045,0.29463258385658264
victory,0.18512490391731262,0.1740342378616333,0.2795662581920624,0.23430313169956207,0.16496749222278595,0.2551555335521698,0.2795662581920624,0.2864590585231781,0.15412560105323792
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.259066641330719,0.22855541110038757,0.4322226941585541,0.6662389636039734,0.20316283404827118,0.20430970191955566
super,0.1819351613521576,0.15390309691429138,0.21959073841571808,0.04521964490413666,0.10942146927118301,0.22938419878482819,0.21959073841571808,0.36141330003738403,0.166326642036438
bowl,0.09189514070749283,0.14233897626399994,0.21576224267482758,0.07438556104898453,0.10839234292507172,0.24430087208747864,0.21576224267482758,0.4351775348186493,0.21118052303791046
xxxiii,0.1448201686143875,0.18968330323696136,0.3131234347820282,0.14834512770175934,0.2111770659685135,0.24195198714733124,0.3131234347820282,0.46111395955085754,0.19756333529949188
at,0.22096660733222961,0.25906258821487427,0.457212895154953,0.2006627768278122,0.11769156157970428,0.34237727522850037,0.457212895154953,0.23374907672405243,0.21978627145290375
age,0.2584081292152405,0.17962174117565155,0.24711290001869202,0.12573859095573425,0.11280771344900131,0.23129768669605255,0.24711290001869202,0.15090295672416687,0.16859300434589386
38,0.05407789349555969,-0.012638282030820847,0.054539695382118225,0.02704070881009102,-0.04629844054579735,0.02082526683807373,0.054539695382118225,0.11418159306049347,0.014457103796303272
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.25860127806663513,0.23580540716648102,0.5064792633056641,0.5171257257461548,0.20959050953388214,0.20544172823429108
is,0.24293622374534607,1.0,0.5823672413825989,0.20144300162792206,0.17129924893379211,0.43268078565597534,0.5823672413825989,0.1288805603981018,0.22961433231830597
currently,0.3362814784049988,0.4011616110801697,0.2945235073566437,0.20262886583805084,0.273477703332901,0.4316125214099884,0.2945235073566437,0.24609561264514923,0.1861555278301239
denver,0.20955970883369446,0.14918014407157898,0.2052404284477234,0.14560678601264954,0.20090484619140625,0.22017966210842133,0.2052404284477234,0.5774994492530823,0.1520889848470688
's,0.05599616840481758,0.02396530658006668,-0.01540423184633255,-0.0757286474108696,-0.024977421388030052,-0.07241261005401611,-0.01540423184633255,-0.037254199385643005,-0.023395681753754616
executive,0.20786358416080475,0.18661944568157196,0.2402946650981903,0.26014336943626404,0.39944788813591003,0.12237442284822464,0.2402946650981903,0.24247092008590698,0.12134998291730881
vice,0.22284634411334991,0.13874469697475433,0.2412198781967163,0.2646223306655884,0.25885167717933655,0.16580872237682343,0.2412198781967163,0.24753323197364807,0.1369185745716095
president,0.22565458714962006,0.15443938970565796,0.24330610036849976,0.28887805342674255,0.2877753973007202,0.17469504475593567,0.24330610036849976,0.2671094536781311,0.14148259162902832
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.28352999687194824,0.14671361446380615,0.4185989499092102,0.733189046382904,0.19310332834720612,0.1826142966747284
football,0.17791859805583954,0.21727435290813446,0.18794101476669312,0.17951947450637817,0.3745209276676178,0.23134100437164307,0.18794101476669312,0.4019828736782074,0.14957410097122192
operations,0.18454647064208984,0.18517667055130005,0.2928410470485687,0.2214236855506897,0.24533598124980927,0.27237167954444885,0.2928410470485687,0.23637008666992188,0.13622350990772247
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.25860127806663513,0.23580540716648102,0.5064792633056641,0.5171257257461548,0.20959050953388214,0.20544172823429108
general,0.2461782991886139,0.20144300162792206,0.28634732961654663,1.0000001192092896,0.354030042886734,0.23497237265110016,0.28634732961654663,0.21892748773097992,0.1972234547138214
manager,0.22238492965698242,0.17129924893379211,0.18262924253940582,0.354030042886734,1.0,0.20642828941345215,0.18262924253940582,0.3106665015220642,0.11875338107347488
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.2929490804672241,0.22173157334327698,0.4726039469242096,0.5934505462646484,0.2612393796443939,0.4130953550338745
