,what,year,did,agoa,take,effect,?
since,0.29783400893211365,0.31512683629989624,0.27613121271133423,0.2263263314962387,0.16015835106372833,0.2286980003118515,0.2876587212085724
agoa,0.23730018734931946,0.13833275437355042,0.1454043835401535,1.0,0.1986679583787918,0.09712843596935272,0.26911643147468567
took,0.1316593885421753,0.1866982877254486,0.42470768094062805,0.20735451579093933,0.5846115350723267,0.1587972342967987,0.14109265804290771
effect,0.2546532452106476,0.15071150660514832,0.19503958523273468,0.09712843596935272,0.24621765315532684,1.0,0.1783771812915802
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.21740145981311798,0.21975718438625336,0.25150683522224426,0.20430970191955566
2000,-0.10562582314014435,0.00622312817722559,0.028451859951019287,-0.23768386244773865,-0.07414727658033371,-0.03819621726870537,-0.0824366956949234
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.2864089012145996,0.2881867289543152,0.2150653600692749,0.31091248989105225
kenya,0.18398970365524292,0.12500852346420288,0.16214214265346527,0.2907644510269165,0.12573756277561188,0.04033701866865158,0.17197901010513306
's,0.02692362666130066,-0.04087831452488899,0.05069678649306297,0.01786503754556179,0.02030942589044571,0.03170546516776085,-0.023395681753754616
clothing,0.2208794504404068,0.16470980644226074,0.17378680408000946,0.11767612397670746,0.20256119966506958,0.15650129318237305,0.15363194048404694
sales,0.16469480097293854,0.2738540768623352,0.20267213881015778,0.1361752599477768,0.15549834072589874,0.16469453275203705,0.12966734170913696
to,0.455847829580307,0.23523004353046417,0.4452643394470215,0.22590193152427673,0.4075521230697632,0.2521958649158478,0.29463258385658264
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.23740555346012115,0.31620436906814575,0.2865084111690521,0.22068053483963013
united,0.20036718249320984,0.23911906778812408,0.21137088537216187,0.22865329682826996,0.16754530370235443,0.2281852513551712,0.17266890406608582
states,0.21526020765304565,0.24276629090309143,0.21754568815231323,0.20836815237998962,0.15556275844573975,0.25396740436553955,0.16272737085819244
increased,0.1599731743335724,0.2216162085533142,0.20765343308448792,0.13050518929958344,0.20192988216876984,0.3719499111175537,0.09587585180997849
from,0.2737620174884796,0.2101740688085556,0.20248863101005554,0.2637057900428772,0.21964672207832336,0.1890663206577301,0.19969791173934937
us,0.32081687450408936,0.17973962426185608,0.23250600695610046,0.20622511208057404,0.21104128658771515,0.1623373180627823,0.2742428481578827
$,0.24858909845352173,0.30956965684890747,0.23203131556510925,0.18676204979419708,0.1624404937028885,0.10793919861316681,0.2786129117012024
44,0.1607796847820282,0.10727806389331818,0.1744367927312851,0.06365358084440231,0.06071032956242561,0.09794753044843674,0.03696782514452934
million,0.22197039425373077,0.30462950468063354,0.1815238744020462,0.2771490514278412,0.13728511333465576,0.10087611526250839,0.23092924058437347
to,0.455847829580307,0.23523004353046417,0.4452643394470215,0.22590193152427673,0.4075521230697632,0.2521958649158478,0.29463258385658264
us,0.32081687450408936,0.17973962426185608,0.23250600695610046,0.20622511208057404,0.21104128658771515,0.1623373180627823,0.2742428481578827
$,0.24858909845352173,0.30956965684890747,0.23203131556510925,0.18676204979419708,0.1624404937028885,0.10793919861316681,0.2786129117012024
270,-0.03319200128316879,0.05938621982932091,0.07888416945934296,0.05393577367067337,0.030003903433680534,-0.07745374739170074,-0.11219434440135956
million,0.22197039425373077,0.30462950468063354,0.1815238744020462,0.2771490514278412,0.13728511333465576,0.10087611526250839,0.23092924058437347
(,0.2411840260028839,0.2556702494621277,0.18979617953300476,0.29097288846969604,0.21149633824825287,0.14807337522506714,0.40561532974243164
2006,-0.0008085015579126775,0.007006329949945211,-0.07636451721191406,-0.036405112594366074,0.04034118726849556,0.08559336513280869,-0.1194092258810997
),0.26259949803352356,0.24282371997833252,0.18584993481636047,0.29591459035873413,0.198357492685318,0.1535777598619461,0.42300865054130554
.,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.32111504673957825,0.3045158088207245,0.2277858853340149,0.4130953550338745
