,what,was,the,hymn,meant,to,examine,students,on,?
the,0.42745697498321533,0.48711544275283813,1.0,0.22713270783424377,0.34852901101112366,0.535392165184021,0.285955548286438,0.25268980860710144,0.5107308030128479,0.22068053483963013
hymn,0.17087575793266296,0.21226729452610016,0.22713270783424377,0.9999999403953552,0.1802571415901184,0.1294938325881958,0.11526717245578766,0.1509573757648468,0.15253622829914093,0.15131041407585144
functioned,0.2170923948287964,0.22701433300971985,0.30996406078338623,0.09281452745199203,0.31774774193763733,0.2616291046142578,0.2635192573070526,0.18567541241645813,0.19472017884254456,0.16644637286663055
both,0.3361809551715851,0.2990766167640686,0.4931981563568115,0.12464920431375504,0.28895458579063416,0.3897709250450134,0.17364533245563507,0.19056296348571777,0.3685423731803894,0.19455738365650177
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.15318240225315094,0.3081777095794678,0.42092081904411316,0.2197408527135849,0.2101105898618698,0.36047765612602234,0.27043893933296204
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.1312560737133026,0.3386867940425873,0.45503583550453186,0.2953856885433197,0.2676560878753662,0.3848365545272827,0.23916715383529663
liturgical,0.2206096053123474,0.22128626704216003,0.28711211681365967,0.33168381452560425,0.2461327314376831,0.2534486949443817,0.2393212467432022,0.29194486141204834,0.1784237176179886,0.14931263029575348
setting,0.287603497505188,0.1622309386730194,0.2991926074028015,0.19826002418994904,0.23221446573734283,0.27501755952835083,0.21829208731651306,0.16298264265060425,0.2699859142303467,0.16943378746509552
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.27317509055137634,0.2713906168937683,0.41548454761505127,0.26203855872154236,0.25513339042663574,0.3966929316520691,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.22713270783424377,0.34852901101112366,0.535392165184021,0.285955548286438,0.25268980860710144,0.5107308030128479,0.22068053483963013
lord,0.15077504515647888,0.19920654594898224,0.2489406019449234,0.23972555994987488,0.1427503377199173,0.23884858191013336,0.1659347414970398,0.08612435311079025,0.1183229386806488,0.09544310718774796
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.01253789383918047,0.04692460596561432,0.03782717138528824,-0.0956004187464714,0.03619067743420601,0.0026888418942689896,-0.023395681753754616
prayer,0.1971559077501297,0.1432703286409378,0.2471906840801239,0.35265955328941345,0.16630999743938446,0.17767395079135895,0.16156704723834991,0.2161831110715866,0.15231157839298248,0.2122897058725357
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.1816401183605194,0.3015248775482178,0.48971283435821533,0.2305469959974289,0.28111961483955383,0.4077630043029785,0.20544172823429108
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.15318240225315094,0.3081777095794678,0.42092081904411316,0.2197408527135849,0.2101105898618698,0.36047765612602234,0.27043893933296204
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.1312560737133026,0.3386867940425873,0.45503583550453186,0.2953856885433197,0.2676560878753662,0.3848365545272827,0.23916715383529663
means,0.2553325295448303,0.20094269514083862,0.32225894927978516,0.1782979816198349,0.4938061237335205,0.2301892638206482,0.15377116203308105,0.21255753934383392,0.1561586558818817,0.21233566105365753
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.27317509055137634,0.2713906168937683,0.41548454761505127,0.26203855872154236,0.25513339042663574,0.3966929316520691,0.1826142966747284
examining,0.31021028757095337,0.17532333731651306,0.27293360233306885,0.07110234349966049,0.19942869246006012,0.27471885085105896,0.8436353802680969,0.3421727418899536,0.274533748626709,0.15958189964294434
candidates,0.21254537999629974,0.1505247950553894,0.2590187191963196,0.14316187798976898,0.17567984759807587,0.26112937927246094,0.2162618637084961,0.26103782653808594,0.21469077467918396,0.2568073272705078
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.15253622829914093,0.2894698679447174,0.41031414270401,0.23237760365009308,0.2211644947528839,0.9999999403953552,0.2714994251728058
specific,0.37695175409317017,0.14404287934303284,0.3501757085323334,0.07111462205648422,0.2864563465118408,0.3962339460849762,0.27848249673843384,0.1402144730091095,0.236932173371315,0.30923372507095337
catechism,0.29557177424430847,0.21933825314044952,0.23989783227443695,0.32973334193229675,0.2493789941072464,0.1810305118560791,0.20468810200691223,0.2618357539176941,0.13922499120235443,0.25135189294815063
questions,0.4857400059700012,0.17022275924682617,0.23562853038311005,0.23306280374526978,0.20108890533447266,0.317446768283844,0.4096752405166626,0.32433223724365234,0.2166581153869629,0.42967134714126587
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.18054819107055664,0.26877450942993164,0.4645031690597534,0.2390889972448349,0.2607303857803345,0.49257001280784607,0.4130953550338745
