,what,can,a,simultaneous,hermaphrodite,do,?
some,0.4491020441055298,0.5319128632545471,0.34539633989334106,0.2647256851196289,0.29406851530075073,0.4725562036037445,0.2562315762042999
are,0.29724663496017456,0.5408529043197632,0.265255331993103,0.27090367674827576,0.2965511083602905,0.41111594438552856,0.24591213464736938
simultaneous,0.26387661695480347,0.3346034586429596,0.2160678505897522,1.0000001192092896,0.2549152970314026,0.22656847536563873,0.13119907677173615
hermaphrodites,0.16502878069877625,0.29120758175849915,0.18294833600521088,0.26128482818603516,0.9849292039871216,0.2158639281988144,0.14555899798870087
",",0.3087472915649414,0.3139454126358032,0.427140474319458,0.14063604176044464,0.20266716182231903,0.3283645510673523,0.31091248989105225
which,0.5261979103088379,0.41132649779319763,0.56894451379776,0.3512890040874481,0.3121943473815918,0.31153854727745056,0.25814583897590637
can,0.34502777457237244,1.0,0.3915780484676361,0.3346034586429596,0.27897340059280396,0.45775556564331055,0.3226337134838104
produce,0.1685742735862732,0.3511185944080353,0.2757846415042877,0.24131938815116882,0.40023985505104065,0.2995959520339966,0.19229066371917725
both,0.3361809551715851,0.33175474405288696,0.3171786069869995,0.3020265996456146,0.29582881927490234,0.24471816420555115,0.19455738365650177
eggs,0.16247199475765228,0.2602585554122925,0.1808033138513565,0.12209902703762054,0.3949572443962097,0.22035886347293854,0.1739477664232254
and,0.31309178471565247,0.3675691485404968,0.3739250600337982,0.18287762999534607,0.21870875358581543,0.276123583316803,0.20544172823429108
sperm,0.14184391498565674,0.32085245847702026,0.22700446844100952,0.2322010099887848,0.5138568878173828,0.2452164590358734,0.16449850797653198
at,0.2838611304759979,0.16641086339950562,0.3095070421695709,0.13592813909053802,0.08027192205190659,0.1511090099811554,0.21978627145290375
the,0.42745697498321533,0.312528520822525,0.5829201340675354,0.20599642395973206,0.19283606112003326,0.30239659547805786,0.22068053483963013
same,0.3764382302761078,0.3393253982067108,0.4048157036304474,0.2915758490562439,0.24786584079265594,0.3155553936958313,0.22649677097797394
time,0.36319252848625183,0.2720869183540344,0.3292340338230133,0.23943622410297394,0.1380992829799652,0.27283716201782227,0.27391523122787476
.,0.3567904531955719,0.35783761739730835,0.50484299659729,0.17326980829238892,0.1925351321697235,0.3613996207714081,0.4130953550338745
