,what,would,need,to,remain,constant,in,a,multiplication,algorithm,to,produce,the,same,outcome,whether,multiplying,or,squaring,two,integers,?
indeed,0.43548738956451416,0.44933441281318665,0.44840380549430847,0.3278495967388153,0.3248436748981476,0.27145859599113464,0.24151849746704102,0.29258593916893005,0.2502564489841461,0.2878250777721405,0.3278495967388153,0.2863330543041229,0.3078708052635193,0.35012105107307434,0.3394664227962494,0.396279901266098,0.24988596141338348,0.3159015476703644,0.3667019307613373,0.2822583317756653,0.3203656077384949,0.3642158806324005
",",0.3087472915649414,0.32586824893951416,0.25983062386512756,0.44245919585227966,0.23353272676467896,0.21295993030071259,0.5201468467712402,0.427140474319458,0.25668612122535706,0.19359813630580902,0.44245919585227966,0.19927625358104706,0.4933079481124878,0.3207721710205078,0.20479145646095276,0.18435215950012207,0.2218775749206543,0.3769497275352478,0.339795857667923,0.35859420895576477,0.24003417789936066,0.31091248989105225
this,0.5489566326141357,0.47797831892967224,0.4256424605846405,0.5759071707725525,0.3114868998527527,0.2505357265472412,0.45205554366111755,0.5422310829162598,0.30942675471305847,0.2709719240665436,0.5759071707725525,0.36211106181144714,0.6274310946464539,0.49053558707237244,0.37635537981987,0.43044182658195496,0.28300780057907104,0.4406825602054596,0.3640209138393402,0.33004114031791687,0.27334100008010864,0.3155723512172699
can,0.34502777457237244,0.5638198852539062,0.6302253007888794,0.4979398250579834,0.25729820132255554,0.2332909256219864,0.26527702808380127,0.3915780484676361,0.3838834762573242,0.29358604550361633,0.4979398250579834,0.3511185944080353,0.312528520822525,0.3393253982067108,0.2610347867012024,0.424742728471756,0.4033186137676239,0.5614996552467346,0.3569968640804291,0.282000333070755,0.33596161007881165,0.3226337134838104
be,0.3929833769798279,0.5202695727348328,0.5365972518920898,0.4972836375236511,0.4349404573440552,0.21310889720916748,0.3481820821762085,0.39883795380592346,0.2823786735534668,0.2830074727535248,0.4972836375236511,0.35276663303375244,0.4248143136501312,0.3600577712059021,0.3806988000869751,0.46975424885749817,0.2938287854194641,0.5260903835296631,0.364742249250412,0.28515341877937317,0.28398826718330383,0.3324260413646698
done,0.40743619203567505,0.34642425179481506,0.4512109160423279,0.2647212743759155,0.2190459668636322,0.20936740934848785,0.22165289521217346,0.2800007462501526,0.28661903738975525,0.26443883776664734,0.2647212743759155,0.23202070593833923,0.26575928926467896,0.30617180466651917,0.29769450426101685,0.31752970814704895,0.3106772005558014,0.3857673406600952,0.3621545433998108,0.2178993970155716,0.2110331654548645,0.36153489351272583
by,0.2455483376979828,0.28394925594329834,0.18746642768383026,0.33534231781959534,0.10818644613027573,0.18755823373794556,0.370934396982193,0.32094135880470276,0.18074297904968262,0.14533276855945587,0.33534231781959534,0.2717679440975189,0.4408751428127289,0.2768566608428955,0.17609407007694244,0.20843684673309326,0.23178495466709137,0.30274316668510437,0.27870500087738037,0.33852577209472656,0.13171325623989105,0.17966607213020325
giving,0.28628480434417725,0.3857003152370453,0.3035851716995239,0.36088186502456665,0.19672346115112305,0.2230815440416336,0.24607835710048676,0.35822594165802,0.21451382339000702,0.1531548947095871,0.36088186502456665,0.226150780916214,0.3626074492931366,0.2604025602340698,0.18481221795082092,0.31552812457084656,0.2898300588130951,0.33072102069854736,0.3730151951313019,0.21387073397636414,0.12991780042648315,0.2052922248840332
the,0.42745697498321533,0.4133751392364502,0.2594960331916809,0.535392165184021,0.33184581995010376,0.2037150114774704,0.6662389636039734,0.5829201340675354,0.24047040939331055,0.15884782373905182,0.535392165184021,0.23457570374011993,1.0,0.4583131968975067,0.23770277202129364,0.3211745023727417,0.23108643293380737,0.4174870550632477,0.3727756440639496,0.43858039379119873,0.179725781083107,0.22068053483963013
same,0.3764382302761078,0.34768232703208923,0.3035244047641754,0.3205692768096924,0.2588421106338501,0.29180359840393066,0.3692481815814972,0.4048157036304474,0.37407663464546204,0.24305599927902222,0.3205692768096924,0.2650908827781677,0.4583131968975067,1.0,0.22282686829566956,0.29338136315345764,0.37462225556373596,0.36380261182785034,0.31402209401130676,0.45866870880126953,0.3296116292476654,0.22649677097797394
