,what,was,the,name,of,theodore,roosevelt,’,s,policy,of,imperialism,?
however,0.4480680823326111,0.37327632308006287,0.49814513325691223,0.22817681729793549,0.3800618350505829,0.16543984413146973,0.18645218014717102,0.026477377861738205,0.3762508034706116,0.2708236277103424,0.3800618350505829,0.28847217559814453,0.2152075469493866
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.2160727083683014,0.2197905331850052,0.09620588272809982,0.361433744430542,0.2903050184249878,0.4946078956127167,0.2420617640018463,0.31091248989105225
beginning,0.3351518511772156,0.35191401839256287,0.49622642993927,0.21464361250400543,0.36558160185813904,0.18907418847084045,0.13967978954315186,0.04464903846383095,0.2674119770526886,0.2638886868953705,0.36558160185813904,0.30684593319892883,0.19413669407367706
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.17624835669994354,0.16593888401985168,-0.04677301645278931,0.3340029716491699,0.1459147185087204,0.5696388483047485,0.2081184834241867,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,0.23792807757854462,0.24111860990524292,-0.04090067744255066,0.46610721945762634,0.2358427494764328,0.733189046382904,0.2716025412082672,0.22068053483963013
late,0.1576872020959854,0.4393066465854645,0.31481194496154785,0.19757506251335144,0.21690747141838074,0.1707812249660492,0.19326165318489075,-0.0024942976888269186,0.3113569915294647,0.1299673169851303,0.21690747141838074,0.24195796251296997,0.11339222639799118
19th,0.11525199562311172,0.24231374263763428,0.24964287877082825,0.16284297406673431,0.16605104506015778,0.1362275332212448,0.1459372192621231,0.08078812062740326,0.22726987302303314,0.11067662388086319,0.16605104506015778,0.05005332827568054,0.004712673369795084
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.23405344784259796,0.26093611121177673,-0.0002844194823410362,0.36742347478866577,0.2148873209953308,0.5116966962814331,0.19073538482189178,0.20544172823429108
early,0.2454567849636078,0.4148794412612915,0.34442198276519775,0.1594075858592987,0.30937549471855164,0.20330365002155304,0.18811170756816864,-0.02556285262107849,0.2695535123348236,0.10061527043581009,0.30937549471855164,0.2828732430934906,0.15272949635982513
20th,0.1850772649049759,0.258506178855896,0.3097512125968933,0.20028391480445862,0.21726468205451965,0.13951462507247925,0.1346295028924942,0.0996362641453743,0.287196546792984,0.17080999910831451,0.21726468205451965,0.08483610302209854,0.14985637366771698
century,0.20422613620758057,0.3521432876586914,0.3617299497127533,0.17616520822048187,0.2826060354709625,0.1678176373243332,0.1340416967868805,0.011082588694989681,0.3475249111652374,0.17394305765628815,0.2826060354709625,0.31104740500450134,0.1026201918721199
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.2160727083683014,0.2197905331850052,0.09620588272809982,0.361433744430542,0.2903050184249878,0.4946078956127167,0.2420617640018463,0.31091248989105225
policies,0.37312451004981995,0.1756630539894104,0.22566401958465576,0.13182298839092255,0.210641011595726,0.11643032729625702,0.23096320033073425,0.0010895757004618645,0.22705408930778503,0.745130181312561,0.210641011595726,0.41587334871292114,0.2969106435775757
such,0.23989605903625488,0.12487147748470306,0.3575236201286316,0.14280109107494354,0.3209529519081116,0.06546168774366379,0.0731731504201889,-0.07686081528663635,0.18941958248615265,0.18322822451591492,0.3209529519081116,0.16803118586540222,0.17851735651493073
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.20759724080562592,0.16526176035404205,0.040084436535835266,0.3269108533859253,0.2869105041027069,0.3886612355709076,0.2192956656217575,0.27043893933296204
theodore,0.20693151652812958,0.28910377621650696,0.23792807757854462,0.1578473150730133,0.22704511880874634,0.9999999403953552,0.5434585213661194,0.13372549414634705,0.15142197906970978,0.11940479278564453,0.22704511880874634,0.1397523581981659,0.18631982803344727
roosevelt,0.1785549521446228,0.20901189744472504,0.24111860990524292,0.0939309149980545,0.20685116946697235,0.5434585213661194,0.9999999403953552,0.05717146769165993,0.17730960249900818,0.24632875621318817,0.20685116946697235,0.2489018589258194,0.1271335333585739
’,-0.01733604073524475,0.023636873811483383,-0.04090067744255066,0.08563591539859772,-0.062016043812036514,0.13372549414634705,0.05717146769165993,1.0,-0.007914066314697266,-0.0005245760548859835,-0.062016043812036514,-0.08137310296297073,0.045561522245407104
s,0.3634900748729706,0.3674983084201813,0.46610721945762634,0.21873673796653748,0.42263656854629517,0.15142197906970978,0.17730960249900818,-0.007914066314697266,1.0,0.2731717526912689,0.42263656854629517,0.25646671652793884,0.25130221247673035
interventionism,0.3939257562160492,0.2176390141248703,0.22994466125965118,0.06690993160009384,0.202065572142601,0.1895282119512558,0.2222733497619629,-0.00021069374633952975,0.21407479047775269,0.4765586256980896,0.202065572142601,0.5017389059066772,0.2692239284515381
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.17624835669994354,0.16593888401985168,-0.04677301645278931,0.3340029716491699,0.1459147185087204,0.5696388483047485,0.2081184834241867,0.20430970191955566
central,0.17723965644836426,0.21519865095615387,0.3417201042175293,0.1127941831946373,0.3415789008140564,0.06328009068965912,0.1502116173505783,-0.003931940533220768,0.20207618176937103,0.18990366160869598,0.3415789008140564,0.1795354187488556,0.14787602424621582
america,0.2517423629760742,0.2850865423679352,0.37090015411376953,0.15000012516975403,0.28803038597106934,0.1531180590391159,0.2422325760126114,-0.07381857186555862,0.26720649003982544,0.19716408848762512,0.28803038597106934,0.26281532645225525,0.19333907961845398
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.23405344784259796,0.26093611121177673,-0.0002844194823410362,0.36742347478866577,0.2148873209953308,0.5116966962814331,0.19073538482189178,0.20544172823429108
woodrow,0.1740734875202179,0.2865031063556671,0.2778104841709137,0.12406039983034134,0.2642464339733124,0.41626569628715515,0.5744045972824097,0.049024950712919235,0.23023536801338196,0.31438684463500977,0.2642464339733124,0.2352876216173172,0.14176151156425476
wilson,0.1282895803451538,0.1931360512971878,0.20745839178562164,0.08722321689128876,0.17700797319412231,0.2691434919834137,0.3804703652858734,0.02007497288286686,0.22785413265228271,0.08495481312274933,0.17700797319412231,0.18346412479877472,0.1055358424782753
’,-0.01733604073524475,0.023636873811483383,-0.04090067744255066,0.08563591539859772,-0.062016043812036514,0.13372549414634705,0.05717146769165993,1.0,-0.007914066314697266,-0.0005245760548859835,-0.062016043812036514,-0.08137310296297073,0.045561522245407104
