,what,was,given,as,the,cause,of,death,?
wembly,0.22788719832897186,0.28895577788352966,0.18762055039405823,0.1836952567100525,0.32880085706710815,0.15131564438343048,0.293584406375885,0.14088961482048035,0.19619792699813843
examined,0.24823111295700073,0.22609460353851318,0.27078574895858765,0.23433153331279755,0.27524587512016296,0.2389516532421112,0.2503494322299957,0.13304872810840607,0.13838334381580353
the,0.42745697498321533,0.48711544275283813,0.37508252263069153,0.48381632566452026,1.0,0.2551237642765045,0.733189046382904,0.21438048779964447,0.22068053483963013
body,0.2143840193748474,0.19372783601284027,0.1768728792667389,0.24814960360527039,0.31682634353637695,0.2858249247074127,0.25063133239746094,0.21721474826335907,0.20136451721191406
and,0.31309178471565247,0.3740963041782379,0.30185943841934204,0.49487000703811646,0.5171257257461548,0.2858448028564453,0.5116966962814331,0.1816639006137848,0.20544172823429108
ruled,0.23168525099754333,0.3318201005458832,0.24308982491493225,0.16731548309326172,0.2668108344078064,0.16036882996559143,0.29798635840415955,0.2951144278049469,0.19970785081386566
that,0.6297725439071655,0.33670201897621155,0.3486595153808594,0.4735107421875,0.5473989248275757,0.40003344416618347,0.41498205065727234,0.25607815384864807,0.32716336846351624
the,0.42745697498321533,0.48711544275283813,0.37508252263069153,0.48381632566452026,1.0,0.2551237642765045,0.733189046382904,0.21438048779964447,0.22068053483963013
cause,0.24883218109607697,0.1555917114019394,0.18794883787631989,0.22159208357334137,0.2551237642765045,1.0000001192092896,0.25979894399642944,0.2642045021057129,0.240532785654068
of,0.33290785551071167,0.4069072902202606,0.39388060569763184,0.3886612355709076,0.733189046382904,0.25979894399642944,1.0,0.23778599500656128,0.1826142966747284
death,0.2267695665359497,0.28516459465026855,0.1797260344028473,0.19013920426368713,0.21438048779964447,0.2642045021057129,0.23778599500656128,0.9999998807907104,0.21149799227714539
had,0.23849567770957947,0.5927209258079529,0.33721059560775757,0.3393979072570801,0.3875846862792969,0.25153225660324097,0.37755560874938965,0.2926282584667206,0.20728366076946259
been,0.2567804455757141,0.518218457698822,0.26774612069129944,0.3975982367992401,0.3563927710056305,0.22147269546985626,0.31685134768486023,0.19054771959781647,0.24354910850524902
coronary,0.25580301880836487,0.2138630747795105,0.2473306655883789,0.19417327642440796,0.27770552039146423,0.3611776828765869,0.3126358985900879,0.22148331999778748,0.1800190806388855
thrombosis,0.1679447442293167,0.1712232381105423,0.14333218336105347,0.12388014793395996,0.23319606482982635,0.4517948031425476,0.27028751373291016,0.3743402361869812,0.17146852612495422
.,0.3567904531955719,0.40146201848983765,0.3169408142566681,0.515582263469696,0.5934505462646484,0.267557293176651,0.5352458953857422,0.24631039798259735,0.4130953550338745
