,how,much,more,land,does,the,school,own,in,allston,than,cambridge,?
the,0.33890387415885925,0.35023224353790283,0.39758381247520447,0.28587454557418823,0.35928019881248474,1.0,0.22953221201896667,0.334675133228302,0.6662389636039734,0.23489287495613098,0.3227543234825134,0.21810851991176605,0.22068053483963013
university,0.12992997467517853,0.18962399661540985,0.16529905796051025,0.15340852737426758,0.09909145534038544,0.263973206281662,0.48676231503486633,0.13172514736652374,0.3201795518398285,0.2896674573421478,0.1508307009935379,0.5480287075042725,0.11887256056070328
now,0.2802366018295288,0.32794100046157837,0.26616397500038147,0.23429442942142487,0.2695499658584595,0.38266420364379883,0.22630786895751953,0.29011252522468567,0.3619694113731384,0.13028240203857422,0.22105416655540466,0.19439102709293365,0.29641881585121155
owns,0.09119682759046555,0.1700156331062317,0.1669948250055313,0.23092840611934662,0.2569397985935211,0.19328729808330536,0.15199695527553558,0.36743292212486267,0.19753509759902954,0.21711058914661407,0.18493738770484924,0.15459589660167694,0.18703800439834595
approximately,0.17167454957962036,0.24894006550312042,0.3425437808036804,0.27334487438201904,0.16432708501815796,0.33137547969818115,0.1535337269306183,0.14298537373542786,0.3145860731601715,0.12406788766384125,0.3712998330593109,0.1971350461244583,0.10237617790699005
fifty,0.21776624023914337,0.18841643631458282,0.2630322277545929,0.1818903684616089,0.09343118220567703,0.30128780007362366,0.17749018967151642,0.22197578847408295,0.2593686282634735,0.17847788333892822,0.30729347467422485,0.2316812127828598,0.14250896871089935
percent,0.21959637105464935,0.2951783537864685,0.3395844101905823,0.22441795468330383,0.2483300119638443,0.277066707611084,0.12953023612499237,0.16825179755687714,0.24886950850486755,0.15698572993278503,0.38231900334358215,0.12684844434261322,0.14671556651592255
more,0.4319567084312439,0.5936280488967896,1.0,0.22462385892868042,0.2897747755050659,0.39758381247520447,0.1141543760895729,0.25653573870658875,0.32563260197639465,0.15118800103664398,0.726518988609314,0.14335499703884125,0.27894994616508484
land,0.1918935328722,0.21933935582637787,0.22462385892868042,1.0000001192092896,0.20495885610580444,0.28587454557418823,0.1146826520562172,0.2225065380334854,0.22871792316436768,0.09889812767505646,0.1792590618133545,0.0920945331454277,0.1432059109210968
in,0.2601168751716614,0.2725222110748291,0.32563260197639465,0.22871792316436768,0.214483380317688,0.6662389636039734,0.26157811284065247,0.31893372535705566,1.0,0.3258543908596039,0.3270052373409271,0.25785043835639954,0.20430970191955566
allston,0.19668368995189667,0.15588751435279846,0.15118800103664398,0.09889812767505646,0.1763981729745865,0.23489287495613098,0.283164918422699,0.1429423689842224,0.3258543908596039,1.0000001192092896,0.1379338949918747,0.37226545810699463,0.17989090085029602
than,0.29763275384902954,0.632695198059082,0.726518988609314,0.1792590618133545,0.32178643345832825,0.3227543234825134,0.08622075617313385,0.2092447727918625,0.3270052373409271,0.1379338949918747,1.0,0.19436615705490112,0.24917294085025787
in,0.2601168751716614,0.2725222110748291,0.32563260197639465,0.22871792316436768,0.214483380317688,0.6662389636039734,0.26157811284065247,0.31893372535705566,1.0,0.3258543908596039,0.3270052373409271,0.25785043835639954,0.20430970191955566
cambridge,0.16430410742759705,0.22533972561359406,0.14335499703884125,0.0920945331454277,0.18356823921203613,0.21810851991176605,0.2573782205581665,0.19422753155231476,0.25785043835639954,0.37226545810699463,0.19436615705490112,1.0,0.14006337523460388
.,0.3287222981452942,0.3374604284763336,0.4070230722427368,0.259204238653183,0.3022993505001068,0.5934505462646484,0.24214158952236176,0.3061371147632599,0.5591574311256409,0.3425585627555847,0.3594527542591095,0.26304754614830017,0.4130953550338745
