,who,normally,supervises,a,construction,job,?
an,0.2848317325115204,0.20402824878692627,0.18133023381233215,0.44552403688430786,0.13825856149196625,0.16033436357975006,0.19793890416622162
architect,0.23530325293540955,0.02282947301864624,0.22600947320461273,0.15499725937843323,0.38390594720840454,0.18414755165576935,0.11996878683567047
normally,0.27320173382759094,1.0,0.24988646805286407,0.37473243474960327,0.14357687532901764,0.22933979332447052,0.20675471425056458
manages,0.2819932997226715,0.17803770303726196,0.3900139331817627,0.306881308555603,0.16805893182754517,0.31082791090011597,0.10891501605510712
the,0.3733934462070465,0.3523634970188141,0.24878403544425964,0.5829201340675354,0.2671978175640106,0.24242734909057617,0.22068053483963013
job,0.3535488247871399,0.22933979332447052,0.39914900064468384,0.2834402620792389,0.1871495544910431,1.0,0.22160480916500092
",",0.3365725874900818,0.28092333674430847,0.24452191591262817,0.427140474319458,0.23704268038272858,0.27190712094306946,0.31091248989105225
and,0.41279885172843933,0.3715205192565918,0.3600349724292755,0.3739250600337982,0.22762417793273926,0.2592610716819763,0.20544172823429108
a,0.36608949303627014,0.37473243474960327,0.22640126943588257,1.0,0.25036895275115967,0.2834402620792389,0.23916715383529663
construction,0.08125896006822586,0.14357687532901764,0.29196563363075256,0.25036895275115967,1.0,0.1871495544910431,0.13494056463241577
manager,0.22238492965698242,0.10386653244495392,0.24769708514213562,0.2452516406774521,0.17752067744731903,0.2873273193836212,0.11875338107347488
",",0.3365725874900818,0.28092333674430847,0.24452191591262817,0.427140474319458,0.23704268038272858,0.27190712094306946,0.31091248989105225
design,0.12787467241287231,0.1493060141801834,0.29906919598579407,0.25211480259895325,0.44344785809516907,0.22826236486434937,0.16351860761642456
engineer,0.24997320771217346,0.08988197147846222,0.2787993252277374,0.2112695723772049,0.29536160826683044,0.23721487820148468,0.12995383143424988
",",0.3365725874900818,0.28092333674430847,0.24452191591262817,0.427140474319458,0.23704268038272858,0.27190712094306946,0.31091248989105225
construction,0.08125896006822586,0.14357687532901764,0.29196563363075256,0.25036895275115967,1.0,0.1871495544910431,0.13494056463241577
engineer,0.24997320771217346,0.08988197147846222,0.2787993252277374,0.2112695723772049,0.29536160826683044,0.23721487820148468,0.12995383143424988
or,0.31144875288009644,0.5445803999900818,0.2585904002189636,0.48853766918182373,0.20974527299404144,0.20071177184581757,0.32389625906944275
project,0.2255522608757019,0.1666128933429718,0.2966771721839905,0.2328382134437561,0.39453527331352234,0.24513015151023865,0.30569031834602356
manager,0.22238492965698242,0.10386653244495392,0.24769708514213562,0.2452516406774521,0.17752067744731903,0.2873273193836212,0.11875338107347488
supervises,0.3206116855144501,0.24988646805286407,1.0,0.22640126943588257,0.29196563363075256,0.39914900064468384,0.16277171671390533
it,0.2868398427963257,0.41406571865081787,0.20067930221557617,0.5452592968940735,0.22723008692264557,0.23606760799884796,0.25732165575027466
.,0.3541337847709656,0.33750930428504944,0.244375079870224,0.50484299659729,0.23682771623134613,0.2807863652706146,0.4130953550338745
