,what,type,of,motivators,are,food,and,shelter,considered,?
necessity-based,0.4043339192867279,0.2921549081802368,0.3805050253868103,0.2944219708442688,0.3631153702735901,0.2878085970878601,0.3177894055843353,0.2232375293970108,0.3372591435909271,0.2936074435710907
entrepreneurship,0.1474476456642151,0.14684566855430603,0.21051692962646484,0.27967560291290283,0.14073073863983154,0.30577191710472107,0.3030710518360138,0.19503584504127502,0.2301187366247177,0.20703251659870148
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.14615075290203094,0.5330929756164551,0.20563258230686188,0.3859752118587494,0.1782059222459793,0.4096149802207947,0.22961433231830597
motivated,0.35559260845184326,0.15296980738639832,0.21040669083595276,0.6783007383346558,0.2038947343826294,0.167781263589859,0.24743202328681946,0.1475837677717209,0.3360242545604706,0.33650898933410645
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.21120955049991608,0.37842893600463867,0.18961425125598907,0.4289871156215668,0.17822569608688354,0.23957760632038116,0.17966607213020325
survival,0.2852509021759033,0.18893903493881226,0.25278621912002563,0.32557734847068787,0.24023079872131348,0.23305673897266388,0.22748760879039764,0.2679976522922516,0.26640671491622925,0.21398140490055084
needs,0.3272848129272461,0.2467174381017685,0.17594867944717407,0.25149184465408325,0.36136168241500854,0.21804583072662354,0.305831640958786,0.24296236038208008,0.24778598546981812,0.34586572647094727
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.2177574634552002,0.4654397666454315,0.24158473312854767,0.44540345668792725,0.21930688619613647,0.32339993119239807,0.17851735651493073
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.21770812571048737,0.3826591968536377,0.22014351189136505,0.49487000703811646,0.17734366655349731,0.4031961262226105,0.27043893933296204
income,0.21837803721427917,0.16370734572410583,0.2581324577331543,0.15866629779338837,0.20486517250537872,0.2648291289806366,0.2518245577812195,0.20948854088783264,0.1915818750858307,0.14935168623924255
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.28230488300323486,0.3895993232727051,0.3431052565574646,0.5064792633056641,0.2551981806755066,0.3214476406574249,0.264628142118454
food,0.23540689051151276,0.14571574330329895,0.2602803111076355,0.20102381706237793,0.26481935381889343,1.0,0.31356173753738403,0.4023534059524536,0.19151301681995392,0.15376032888889313
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.23802025616168976,0.48576638102531433,0.31356173753738403,1.0,0.27857768535614014,0.3359341621398926,0.20544172823429108
shelter,0.2279900163412094,0.1770942062139511,0.1947731077671051,0.15777137875556946,0.22030644118785858,0.4023534059524536,0.27857768535614014,1.0,0.14099879562854767,0.13403624296188354
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.13308370113372803,0.23263892531394958,0.1459987312555313,0.4862271547317505,0.14171291887760162,0.22818490862846375,0.40561532974243164
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,-0.016849512234330177,0.12624181807041168,0.011689690873026848,0.036644238978624344,-0.04261922091245651,0.06466352939605713,0.0685480609536171
push,0.3135983347892761,0.17592939734458923,0.160488098859787,0.2330792099237442,0.20548786222934723,0.202747642993927,0.24296659231185913,0.18099689483642578,0.16101649403572083,0.19372594356536865
'',0.08143015950918198,0.054222505539655685,0.13035868108272552,0.025280393660068512,0.0263817198574543,-0.03098057024180889,0.021612688899040222,-0.02707173489034176,0.15465481579303741,0.018684765323996544
motivations,0.3228442072868347,0.1464751660823822,0.20043295621871948,0.722292959690094,0.2919030785560608,0.265438050031662,0.3104759454727173,0.17226804792881012,0.25673651695251465,0.2695050835609436
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.15571239590644836,0.2373749315738678,0.16337907314300537,0.4961937665939331,0.16370117664337158,0.2430245578289032,0.42300865054130554
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2339218705892563,0.4062570035457611,0.2870374023914337,0.6633074283599854,0.2408304214477539,0.32932984828948975,0.31091248989105225
whereas,0.32338035106658936,0.21191877126693726,0.34012725949287415,0.284866064786911,0.3145461976528168,0.20614871382713318,0.36380821466445923,0.17110276222229004,0.2958444654941559,0.1950923502445221
opportunity-based,0.3247430622577667,0.17828994989395142,0.2928767502307892,0.3619115352630615,0.2418302446603775,0.2926624119281769,0.2935773432254791,0.33433201909065247,0.2328939139842987,0.25033992528915405
entrepreneurship,0.1474476456642151,0.14684566855430603,0.21051692962646484,0.27967560291290283,0.14073073863983154,0.30577191710472107,0.3030710518360138,0.19503584504127502,0.2301187366247177,0.20703251659870148
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.14615075290203094,0.5330929756164551,0.20563258230686188,0.3859752118587494,0.1782059222459793,0.4096149802207947,0.22961433231830597
driven,0.22595059871673584,0.1181829571723938,0.21381598711013794,0.32186469435691833,0.15796291828155518,0.20252014696598053,0.23903653025627136,0.24491411447525024,0.25921887159347534,0.08021858334541321
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.21120955049991608,0.37842893600463867,0.18961425125598907,0.4289871156215668,0.17822569608688354,0.23957760632038116,0.17966607213020325
achievement-oriented,0.21045540273189545,0.1126023530960083,0.3110272288322449,0.2859807312488556,0.1949087381362915,0.12363781034946442,0.2956417500972748,0.15572358667850494,0.338797926902771,0.17006243765354156
motivations,0.3228442072868347,0.1464751660823822,0.20043295621871948,0.722292959690094,0.2919030785560608,0.265438050031662,0.3104759454727173,0.17226804792881012,0.25673651695251465,0.2695050835609436
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.13308370113372803,0.23263892531394958,0.1459987312555313,0.4862271547317505,0.14171291887760162,0.22818490862846375,0.40561532974243164
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,-0.016849512234330177,0.12624181807041168,0.011689690873026848,0.036644238978624344,-0.04261922091245651,0.06466352939605713,0.0685480609536171
pull,0.27961546182632446,0.1769447922706604,0.20078323781490326,0.28852424025535583,0.24050328135490417,0.20730745792388916,0.25653940439224243,0.2875906527042389,0.13644103705883026,0.15722201764583588
'',0.08143015950918198,0.054222505539655685,0.13035868108272552,0.025280393660068512,0.0263817198574543,-0.03098057024180889,0.021612688899040222,-0.02707173489034176,0.15465481579303741,0.018684765323996544
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.15571239590644836,0.2373749315738678,0.16337907314300537,0.4961937665939331,0.16370117664337158,0.2430245578289032,0.42300865054130554
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.2177574634552002,0.4654397666454315,0.24158473312854767,0.44540345668792725,0.21930688619613647,0.32339993119239807,0.17851735651493073
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.21770812571048737,0.3826591968536377,0.22014351189136505,0.49487000703811646,0.17734366655349731,0.4031961262226105,0.27043893933296204
vocation,0.2951297461986542,0.21167682111263275,0.28892406821250916,0.28196507692337036,0.1664791852235794,0.24928542971611023,0.28504759073257446,0.29188233613967896,0.18706606328487396,0.22352787852287292
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.23802025616168976,0.48576638102531433,0.31356173753738403,1.0,0.27857768535614014,0.3359341621398926,0.20544172823429108
more,0.3484537899494171,0.2277899980545044,0.30478984117507935,0.30517399311065674,0.4066504240036011,0.24661481380462646,0.39880692958831787,0.25671350955963135,0.34512007236480713,0.27894994616508484
likely,0.4101858139038086,0.20120690762996674,0.2704482078552246,0.2849939465522766,0.35167670249938965,0.2200036197900772,0.3069725036621094,0.18680645525455475,0.3544844388961792,0.35971182584762573
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.3155730664730072,0.3504326641559601,0.2816076874732971,0.48971283435821533,0.2908878028392792,0.2954166829586029,0.29463258385658264
involve,0.2820183336734772,0.25222596526145935,0.29347991943359375,0.31584516167640686,0.3884688913822174,0.17532339692115784,0.3079969584941864,0.16145636141300201,0.2586551904678345,0.21596334874629974
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.19854459166526794,0.40399202704429626,0.3025728166103363,0.5171257257461548,0.22816789150238037,0.4028765559196472,0.22068053483963013
pursue,0.21410717070102692,0.10572675615549088,0.17194563150405884,0.23317161202430725,0.15331785380840302,0.18373550474643707,0.33660218119621277,0.20924626290798187,0.2316633015871048,0.1284760683774948
of,0.33290785551071167,0.18112817406654358,1.0,0.13665078580379486,0.39081433415412903,0.2602803111076355,0.5116966962814331,0.1947731077671051,0.4190242290496826,0.1826142966747284
new,0.2130378633737564,0.20896777510643005,0.343457967042923,0.1296534240245819,0.1899496167898178,0.16474249958992004,0.31402453780174255,0.15406154096126556,0.12316255271434784,0.14782847464084625
products,0.2088814079761505,0.23243467509746552,0.21450084447860718,0.1882329285144806,0.34028032422065735,0.40398329496383667,0.27309057116508484,0.17060008645057678,0.1923120617866516,0.20429900288581848
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2339218705892563,0.4062570035457611,0.2870374023914337,0.6633074283599854,0.2408304214477539,0.32932984828948975,0.31091248989105225
services,0.16048473119735718,0.15156874060630798,0.23787347972393036,0.16386952996253967,0.26135778427124023,0.3007180690765381,0.30811867117881775,0.30434274673461914,0.1408206969499588,0.1328447163105011
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2339218705892563,0.4062570035457611,0.2870374023914337,0.6633074283599854,0.2408304214477539,0.32932984828948975,0.31091248989105225
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.2472967803478241,0.5374364256858826,0.2771800458431244,0.4713204801082611,0.30313414335250854,0.35840076208114624,0.32389625906944275
underserved,0.3714505732059479,0.2509586215019226,0.3316451907157898,0.20510663092136383,0.3564813435077667,0.28009048104286194,0.3264079689979553,0.307370126247406,0.39230111241340637,0.2854955494403839
market,0.12116116285324097,0.13423770666122437,0.1694333702325821,0.11196823418140411,0.18948231637477875,0.2296416014432907,0.23057621717453003,0.18588435649871826,0.20506130158901215,0.12805593013763428
needs,0.3272848129272461,0.2467174381017685,0.17594867944717407,0.25149184465408325,0.36136168241500854,0.21804583072662354,0.305831640958786,0.24296236038208008,0.24778598546981812,0.34586572647094727
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.18485257029533386,0.3452940285205841,0.27541688084602356,0.588965117931366,0.18193921446800232,0.29356086254119873,0.4130953550338745
