,what,is,the,moniker,that,is,being,used,to,describe,the,region,'s,diversified,technology,?
the,0.42745697498321533,0.5823672413825989,1.0,0.14551545679569244,0.5473989248275757,0.5823672413825989,0.419739305973053,0.3718377649784088,0.535392165184021,0.26495152711868286,1.0,0.35020557045936584,-0.01540423184633255,0.2821139991283417,0.21669498085975647,0.22068053483963013
tech,0.15585371851921082,0.1655074954032898,0.2296874225139618,0.11891757696866989,0.2005990892648697,0.1655074954032898,0.10939756780862808,0.12890152633190155,0.1553376019001007,0.08843313902616501,0.2296874225139618,0.14246107637882233,0.10240127891302109,0.09971591085195541,0.47771331667900085,0.17427054047584534
coast,0.2200622260570526,0.25204822421073914,0.28366661071777344,0.1146966964006424,0.19411782920360565,0.25204822421073914,0.2286212146282196,0.17168493568897247,0.23308983445167542,0.12462984025478363,0.28366661071777344,0.27730435132980347,0.02010589838027954,0.21820203959941864,0.12533698976039886,0.15869849920272827
is,0.28837618231773376,1.0,0.5823672413825989,0.14707694947719574,0.3995479643344879,1.0,0.4445112943649292,0.3288823366165161,0.42745086550712585,0.27898338437080383,0.5823672413825989,0.3317503035068512,0.02396530658006668,0.16932843625545502,0.20767556130886078,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.24851103127002716,0.47537946701049805,0.658733606338501,0.3727131485939026,0.3864384889602661,0.45503583550453186,0.3062607944011688,0.5829201340675354,0.23209655284881592,0.04866964742541313,0.23330137133598328,0.21604947745800018,0.23916715383529663
moniker,0.1562960296869278,0.14707694947719574,0.14551545679569244,1.0,0.19713278114795685,0.14707694947719574,0.26335662603378296,0.131809800863266,0.16918498277664185,0.194625124335289,0.14551545679569244,0.13095593452453613,0.07914290577173233,0.18489991128444672,0.16792479157447815,0.17967860400676727
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.19713278114795685,1.0,0.3995479643344879,0.46201252937316895,0.37621384859085083,0.5436353087425232,0.3340485394001007,0.5473989248275757,0.20183102786540985,0.04397977516055107,0.28641006350517273,0.24191969633102417,0.32716336846351624
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.18598443269729614,0.41272613406181335,0.5668748617172241,0.41100069880485535,0.23367926478385925,0.3619994819164276,0.191810742020607,0.4177538752555847,0.18160095810890198,-0.040683966130018234,0.21072769165039062,0.21032026410102844,0.15994466841220856
gained,0.15457381308078766,0.2201099395751953,0.29543522000312805,0.13943925499916077,0.18878613412380219,0.2201099395751953,0.2638281285762787,0.23308366537094116,0.22058042883872986,0.17596378922462463,0.29543522000312805,0.12352490425109863,0.021438589319586754,0.2584943473339081,0.1829584836959839,0.11261032521724701
use,0.3453877568244934,0.3357410430908203,0.34342584013938904,0.12848423421382904,0.3939064145088196,0.3357410430908203,0.307609498500824,0.7127541303634644,0.47261837124824524,0.3490910530090332,0.34342584013938904,0.18071889877319336,0.004619393963366747,0.15677157044410706,0.29364532232284546,0.32795652747154236
