,in,what,time,frame,did,tesla,weigh,almost,exactly,the,same,amount,?
tesla,0.17097744345664978,0.23221199214458466,0.14928559958934784,0.24308685958385468,0.09757418930530548,0.9999999403953552,0.19137847423553467,0.12138834595680237,0.26700079441070557,0.1324402391910553,0.1633947193622589,0.24955591559410095,0.10250775516033173
was,0.45514053106307983,0.22111038863658905,0.3641340136528015,0.15633782744407654,0.41399896144866943,0.16455206274986267,0.17012493312358856,0.2474903166294098,0.19652102887630463,0.48711544275283813,0.27172183990478516,0.18062427639961243,0.18412111699581146
6,-0.0005521549028344452,0.05088282376527786,0.05731755867600441,0.11144541203975677,-0.0043754540383815765,-0.016751687973737717,0.08600963652133942,0.07231736928224564,0.03634711727499962,0.041227471083402634,0.03469471633434296,0.04620080813765526,0.045001473277807236
feet,0.18039943277835846,0.18749791383743286,0.20780156552791595,0.22544467449188232,0.15399667620658875,0.10718390345573425,0.46615904569625854,0.19256292283535004,0.22927261888980865,0.24407297372817993,0.18033549189567566,0.1492636799812317,0.14855161309242249
2,0.01447046548128128,-0.049862053245306015,-0.01869712583720684,-0.08849988877773285,-0.044790901243686676,-0.05035991594195366,-0.03812922164797783,-0.044409964233636856,-0.06446114927530289,-0.019434669986367226,0.03379283472895622,-0.06168443337082863,0.001977203879505396
inches,0.21515873074531555,0.18465489149093628,0.20399411022663116,0.23790526390075684,0.11995062977075577,0.19464583694934845,0.5813021063804626,0.22350971400737762,0.22110530734062195,0.23460479080677032,0.21955005824565887,0.22925421595573425,0.17945347726345062
(,0.3087427020072937,0.2411840260028839,0.28391751646995544,0.2091388702392578,0.18979617953300476,0.2156914919614792,0.23141393065452576,0.18666274845600128,0.22742481529712677,0.33289089798927307,0.2173650562763214,0.1956038922071457,0.40561532974243164
1.88,0.054355114698410034,0.027911407873034477,0.032504040747880936,0.1158444955945015,0.002943700412288308,0.08253437280654907,0.015865029767155647,0.0002492472995072603,0.0011293087154626846,0.060020726174116135,0.04021276533603668,0.023025212809443474,0.14245392382144928
m,0.12893682718276978,0.23871465027332306,0.19130094349384308,0.1497509777545929,0.18840010464191437,0.13009487092494965,0.2700933814048767,0.15303434431552887,0.2303803712129593,0.15156042575836182,0.15876711905002594,0.15808966755867004,0.2618667185306549
),0.3326910734176636,0.26259949803352356,0.2857224941253662,0.21571995317935944,0.18584993481636047,0.22692398726940155,0.21772557497024536,0.19630536437034607,0.25682908296585083,0.3456730246543884,0.22932277619838715,0.19204795360565186,0.42300865054130554
tall,0.20393341779708862,0.18232308328151703,0.17993882298469543,0.2480776160955429,0.11108577996492386,0.1271316409111023,0.5238726139068604,0.16145728528499603,0.13899654150009155,0.1970994472503662,0.18274660408496857,0.15120013058185577,0.16138394176959991
and,0.4954058527946472,0.31309178471565247,0.3025408685207367,0.20931656658649445,0.34479495882987976,0.19560420513153076,0.2325696498155594,0.36736544966697693,0.19439062476158142,0.5171257257461548,0.3205644488334656,0.2668909728527069,0.20544172823429108
weighed,0.13698893785476685,0.22953751683235168,0.24286964535713196,0.28509312868118286,0.1960470825433731,0.21967799961566925,0.7753283977508545,0.21848809719085693,0.2249126136302948,0.17468127608299255,0.21274055540561676,0.2881530523300171,0.1759321093559265
142,0.12966328859329224,0.07480905205011368,0.12563322484493256,0.1399705410003662,0.09747834503650665,0.1697787344455719,0.012490447610616684,0.08699702471494675,0.038796499371528625,0.14187711477279663,0.14234782755374908,0.009733125567436218,0.01836930215358734
pounds,0.1508542150259018,0.16925819218158722,0.2974769175052643,0.16707226634025574,0.18286636471748352,0.20686990022659302,0.6147064566612244,0.17342635989189148,0.22822721302509308,0.18430368602275848,0.20909667015075684,0.35333436727523804,0.1807934194803238
(,0.3087427020072937,0.2411840260028839,0.28391751646995544,0.2091388702392578,0.18979617953300476,0.2156914919614792,0.23141393065452576,0.18666274845600128,0.22742481529712677,0.33289089798927307,0.2173650562763214,0.1956038922071457,0.40561532974243164
64,-0.028212236240506172,-0.02265792526304722,0.0462995283305645,0.08861353248357773,-0.04041893407702446,0.13419459760189056,0.11106884479522705,-0.05885658785700798,-0.06646455824375153,-0.042559195309877396,-0.062346793711185455,-0.04217219725251198,0.12340229004621506
kg,0.1480094939470291,0.08752016723155975,0.2061888873577118,0.1846495419740677,0.10675673186779022,0.19112491607666016,0.5982378125190735,0.12789449095726013,0.15006467700004578,0.14337459206581116,0.16941212117671967,0.26163506507873535,0.14374905824661255
),0.3326910734176636,0.26259949803352356,0.2857224941253662,0.21571995317935944,0.18584993481636047,0.22692398726940155,0.21772557497024536,0.19630536437034607,0.25682908296585083,0.3456730246543884,0.22932277619838715,0.19204795360565186,0.42300865054130554
",",0.5201468467712402,0.3087472915649414,0.3029961884021759,0.15437807142734528,0.3015086054801941,0.20599327981472015,0.21546107530593872,0.3425607979297638,0.2190619707107544,0.4933079481124878,0.3207721710205078,0.21125462651252747,0.31091248989105225
with,0.4080928862094879,0.2464839518070221,0.31862112879753113,0.15726658701896667,0.25472134351730347,0.16424812376499176,0.21174193918704987,0.3421899080276489,0.26854681968688965,0.4223487675189972,0.33861321210861206,0.30051055550575256,0.2433311939239502
almost,0.3422279357910156,0.2467888444662094,0.25709155201911926,0.16366294026374817,0.29008886218070984,0.12138834595680237,0.20997239649295807,0.9999999403953552,0.3829788267612457,0.3341992199420929,0.4140365421772003,0.27937155961990356,0.1372147500514984
no,0.24372287094593048,0.339326947927475,0.2929181158542633,0.18845899403095245,0.23735837638378143,0.12855590879917145,0.2085265964269638,0.28686487674713135,0.2723028361797333,0.3461136817932129,0.2655576169490814,0.2784077525138855,0.32165053486824036
weight,0.14912216365337372,0.20223349332809448,0.243515282869339,0.28504830598831177,0.15234823524951935,0.26736944913864136,0.6878871321678162,0.1805914044380188,0.23985722661018372,0.19469641149044037,0.24561753869056702,0.406739205121994,0.18111222982406616
