,what,was,the,first,television,series,to,feature,an,openly,gay,character,?
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.3120559751987457,0.2825660705566406,0.23828625679016113,0.41031414270401,0.29385992884635925,0.3192969560623169,0.1890537142753601,0.14891333878040314,0.15834535658359528,0.2714994251728058
september,0.2153792530298233,0.4425655007362366,0.2516939043998718,0.2735162377357483,0.26159191131591797,0.17910413444042206,0.22485187649726868,0.15508264303207397,0.2150862067937851,0.22762523591518402,0.15239104628562927,0.16751344501972198,0.2665146589279175
13,-0.0796622633934021,0.020193999633193016,-0.007407139986753464,0.07735034078359604,-0.03910903260111809,0.04291941598057747,0.05182816833257675,-0.046888839453458786,0.017115678638219833,0.006023843307048082,0.0261840857565403,-0.01910499669611454,-0.11384815722703934
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.27995240688323975,0.24060699343681335,0.44245919585227966,0.22241170704364777,0.3581022024154663,0.29348745942115784,0.22805914282798767,0.21002258360385895,0.31091248989105225
1977,-0.14419497549533844,0.047073230147361755,0.06613131612539291,-0.04330724850296974,-0.015097829513251781,0.009428768418729305,0.04582442715764046,0.07717117667198181,-0.04555710032582283,-0.01093200407922268,0.025817858055233955,-0.04921930655837059,-0.059247612953186035
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.27995240688323975,0.24060699343681335,0.44245919585227966,0.22241170704364777,0.3581022024154663,0.29348745942115784,0.22805914282798767,0.21002258360385895,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.49448907375335693,0.24569597840309143,0.31376904249191284,0.535392165184021,0.3053930699825287,0.4207492768764496,0.19510823488235474,0.21040017902851105,0.25992274284362793,0.22068053483963013
network,0.16917307674884796,0.1994880586862564,0.27187061309814453,0.2069581300020218,0.4371747076511383,0.38316288590431213,0.25940340757369995,0.2398252934217453,0.22587502002716064,0.19068244099617004,0.17973272502422333,0.17407208681106567,0.17853789031505585
debuted,0.08543460816144943,0.3357197344303131,0.28418588638305664,0.35306718945503235,0.30273041129112244,0.2802524268627167,0.17721480131149292,0.14286993443965912,0.19938445091247559,0.22149822115898132,0.15933094918727875,0.18164733052253723,0.12089905142784119
soap,0.17847999930381775,0.13256825506687164,0.19385820627212524,0.1608956903219223,0.42396280169487,0.34729132056236267,0.16551382839679718,0.10683511942625046,0.1746242195367813,0.18019895255565643,0.20652249455451965,0.33158305287361145,0.1800997406244278
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.27995240688323975,0.24060699343681335,0.44245919585227966,0.22241170704364777,0.3581022024154663,0.29348745942115784,0.22805914282798767,0.21002258360385895,0.31091248989105225
