,what,did,bach,base,entirely,on,luther,chorales,?
johann,0.14257463812828064,0.20292572677135468,0.5590640902519226,0.09368149936199188,0.18523149192333221,0.17273928225040436,0.3837730586528778,0.35817426443099976,0.1194499209523201
sebastian,0.09078362584114075,0.16970297694206238,0.5161586999893188,0.029635608196258545,0.0649041011929512,0.09162798523902893,0.24701139330863953,0.415085107088089,0.12673193216323853
bach,0.2060634046792984,0.2409050166606903,0.9999999403953552,0.08618619292974472,0.17215336859226227,0.19077323377132416,0.34631797671318054,0.5027369856834412,0.23872415721416473
included,0.2288810908794403,0.32908451557159424,0.17237111926078796,0.16272220015525818,0.23277106881141663,0.3028073012828827,0.14399166405200958,0.18520024418830872,0.14385655522346497
several,0.22446060180664062,0.24080568552017212,0.23716099560260773,0.17891792953014374,0.29156386852264404,0.33774417638778687,0.2095126509666443,0.21812555193901062,0.15595775842666626
verses,0.21191509068012238,0.12473994493484497,0.23460879921913147,0.08605726063251495,0.2066323459148407,0.18525086343288422,0.20480051636695862,0.40782392024993896,0.21770696341991425
as,0.31749409437179565,0.3596470057964325,0.23173552751541138,0.20152351260185242,0.24206675589084625,0.36047765612602234,0.20242992043495178,0.25208207964897156,0.27043893933296204
chorales,0.18097981810569763,0.17018257081508636,0.5027369856834412,0.09943168610334396,0.1813799887895584,0.15203756093978882,0.30232128500938416,0.9999998807907104,0.20826344192028046
in,0.30808621644973755,0.2593238651752472,0.19327521324157715,0.2292785793542862,0.28567442297935486,0.46853652596473694,0.20523880422115326,0.20672595500946045,0.20430970191955566
his,0.26976513862609863,0.3546801507472992,0.2507949471473694,0.16151882708072662,0.20873697102069855,0.32064297795295715,0.27093374729156494,0.2656589150428772,0.18075084686279297
cantatas,0.22735777497291565,0.2450895756483078,0.5977134108543396,0.08162693679332733,0.21054089069366455,0.19814665615558624,0.24660377204418182,0.6340908408164978,0.23913320899009705
and,0.31309178471565247,0.34479495882987976,0.21089112758636475,0.23155631124973297,0.350101500749588,0.4077630043029785,0.20796556770801544,0.28411614894866943,0.20544172823429108
based,0.274813175201416,0.15722841024398804,0.13364368677139282,0.3259027600288391,0.3190883696079254,0.36055147647857666,0.11297188699245453,0.11430996656417847,0.134929820895195
chorale,0.19436827301979065,0.15076908469200134,0.5248245000839233,0.11822415888309479,0.1790449172258377,0.12134583294391632,0.2823675572872162,0.8919451832771301,0.1843545287847519
cantatas,0.22735777497291565,0.2450895756483078,0.5977134108543396,0.08162693679332733,0.21054089069366455,0.19814665615558624,0.24660377204418182,0.6340908408164978,0.23913320899009705
entirely,0.38249561190605164,0.19654057919979095,0.17215336859226227,0.22642715275287628,1.0,0.32423076033592224,0.13761961460113525,0.1813799887895584,0.19651781022548676
on,0.34226128458976746,0.2670976221561432,0.19077323377132416,0.22809679806232452,0.32423076033592224,0.9999999403953552,0.19090485572814941,0.15203756093978882,0.2714994251728058
them,0.4994642734527588,0.44189682602882385,0.23708978295326233,0.2090718001127243,0.3301357626914978,0.30083513259887695,0.1940135955810547,0.2409380078315735,0.35435691475868225
",",0.3087472915649414,0.3015086054801941,0.23254862427711487,0.24008820950984955,0.3141396641731262,0.49057599902153015,0.23255878686904907,0.3130653500556946,0.31091248989105225
namely,0.25631916522979736,0.1600792407989502,0.12258546054363251,0.1629350334405899,0.339778870344162,0.1133258044719696,0.12908446788787842,0.10365752130746841,0.18782232701778412
christ,0.2615339457988739,0.17013269662857056,0.2632921040058136,0.1761777698993683,0.15346992015838623,0.16157518327236176,0.2758595049381256,0.31319475173950195,0.13772203028202057
lag,0.2257317453622818,0.13878828287124634,0.12368867546319962,0.15915407240390778,0.21704284846782684,0.18518345057964325,0.10435406118631363,0.12197697907686234,0.2170206904411316
in,0.30808621644973755,0.2593238651752472,0.19327521324157715,0.2292785793542862,0.28567442297935486,0.46853652596473694,0.20523880422115326,0.20672595500946045,0.20430970191955566
todes,0.19504253566265106,0.16004100441932678,0.2384418547153473,0.2756602466106415,0.28693845868110657,0.201085165143013,0.13328097760677338,0.37883996963500977,0.2020115703344345
banden,0.07215093076229095,0.025816896930336952,0.3294254541397095,0.1764703392982483,0.15404552221298218,0.18440476059913635,0.24274879693984985,0.3028782308101654,0.10398679226636887
