,who,made,up,19,%,of,the,student,body,in,the,2012,spring,quarter,?
in,0.2792111933231354,0.25271502137184143,0.3120773434638977,-0.1978580802679062,0.19465309381484985,0.5696388483047485,0.6662389636039734,0.254856139421463,0.2549867033958435,1.0,0.6662389636039734,0.3800647258758545,0.3244975805282593,0.2899305522441864,0.20430970191955566
the,0.3733934462070465,0.3885267674922943,0.38423117995262146,-0.17766842246055603,0.21490740776062012,0.733189046382904,1.0,0.21259291470050812,0.31682634353637695,0.6662389636039734,1.0,0.46885523200035095,0.316989928483963,0.3659466803073883,0.22068053483963013
2012,0.23490679264068604,0.21649956703186035,0.23487414419651031,-0.3790201246738434,0.2653188109397888,0.4422316551208496,0.46885523200035095,0.15706612169742584,0.2116956263780594,0.3800647258758545,0.46885523200035095,1.0,0.16575708985328674,0.2863294184207916,0.18042556941509247
spring,0.12822824716567993,0.11799497902393341,0.22208015620708466,-0.09074361622333527,0.0617687962949276,0.2455621361732483,0.316989928483963,0.23762379586696625,0.12032173573970795,0.3244975805282593,0.316989928483963,0.16575708985328674,1.0,0.16877470910549164,0.06767474114894867
quarter,0.1549677699804306,0.14601773023605347,0.258023738861084,-0.10370828956365585,0.2756749391555786,0.30494412779808044,0.3659466803073883,0.2040940374135971,0.13282665610313416,0.2899305522441864,0.3659466803073883,0.2863294184207916,0.16877470910549164,1.0,0.1356993168592453
",",0.3365725874900818,0.32507219910621643,0.34193792939186096,-0.22645433247089386,0.22757403552532196,0.4946078956127167,0.4933079481124878,0.2261858433485031,0.22437527775764465,0.5201468467712402,0.4933079481124878,0.42079734802246094,0.30197975039482117,0.2742914855480194,0.31091248989105225
international,0.14208874106407166,0.15391333401203156,0.14176760613918304,-0.09757748246192932,0.07978177070617676,0.23367412388324738,0.23719607293605804,0.17629525065422058,0.16187478601932526,0.26377472281455994,0.23719607293605804,0.14709502458572388,0.16137339174747467,0.11482308804988861,0.15335838496685028
students,0.3510516881942749,0.13892392814159393,0.2028108537197113,-0.04851827025413513,0.22348105907440186,0.25513339042663574,0.25268980860710144,0.7746244072914124,0.15162448585033417,0.2676171064376831,0.25268980860710144,0.2074812352657318,0.1874249279499054,0.21022437512874603,0.18017297983169556
comprised,0.08053780347108841,0.2694392502307892,0.2343934178352356,-0.1031751036643982,0.18958541750907898,0.3694441318511963,0.28885143995285034,0.16008758544921875,0.12296237051486969,0.27253109216690063,0.28885143995285034,0.2743995487689972,0.1552906334400177,0.28758925199508667,0.04354364052414894
almost,0.27838051319122314,0.2637576162815094,0.2946622669696808,0.011529898270964622,0.32992181181907654,0.3144364058971405,0.3341992199420929,0.0959087610244751,0.198625385761261,0.3422279357910156,0.3341992199420929,0.26217734813690186,0.14847955107688904,0.2377864271402359,0.1372147500514984
19,-0.12102775275707245,-0.09225960820913315,-0.09550341218709946,1.0,0.032592639327049255,-0.18954584002494812,-0.17766842246055603,-0.03879706934094429,-0.04722670838236809,-0.1978580802679062,-0.17766842246055603,-0.3790201246738434,-0.09074361622333527,-0.10370828956365585,0.008002291433513165
%,0.15813837945461273,0.1488196700811386,0.21216745674610138,0.032592639327049255,1.0,0.19953428208827972,0.21490740776062012,0.10459349304437637,0.15585565567016602,0.19465309381484985,0.21490740776062012,0.2653188109397888,0.0617687962949276,0.2756749391555786,0.21441808342933655
