,what,famous,writer,was,tesla,'s,good,friend,?
in,0.30808621644973755,0.34673580527305603,0.19054412841796875,0.45514053106307983,0.17097744345664978,-0.037580832839012146,0.2152448445558548,0.12977886199951172,0.20430970191955566
middle,0.18312302231788635,0.16254432499408722,0.14257021248340607,0.21038298308849335,0.08926539123058319,-0.017355401068925858,0.16825775802135468,0.10621948540210724,0.13139553368091583
age,0.1895245760679245,0.14998072385787964,0.1837032288312912,0.27072176337242126,0.07816897332668304,0.004176773596554995,0.21114078164100647,0.15348923206329346,0.16859300434589386
",",0.3087472915649414,0.2816491723060608,0.2910175621509552,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.3217065632343292,0.23495455086231232,0.31091248989105225
tesla,0.23221199214458466,0.1464218646287918,0.1422584056854248,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.17454461753368378,0.14410300552845,0.10250775516033173
became,0.1434093862771988,0.37223827838897705,0.22377294301986694,0.6575068235397339,0.12976884841918945,0.0067522358149290085,0.1454779952764511,0.21262803673744202,0.11374033987522125
a,0.3320399522781372,0.26728492975234985,0.2671267092227936,0.4508470594882965,0.2211925983428955,0.04866964742541313,0.3146486282348633,0.2761116921901703,0.23916715383529663
close,0.23424343764781952,0.1841503530740738,0.09847193956375122,0.2393932342529297,0.08207103610038757,0.07968296110630035,0.2506449818611145,0.34144631028175354,0.1908312737941742
friend,0.21574655175209045,0.21443812549114227,0.3085017204284668,0.28420519828796387,0.14410300552845,0.11368956416845322,0.2714569866657257,0.9999998807907104,0.12953594326972961
of,0.33290785551071167,0.3074295222759247,0.14383116364479065,0.4069072902202606,0.18837453424930573,-0.03817026689648628,0.2696770131587982,0.13773126900196075,0.1826142966747284
mark,0.16941310465335846,0.08204186707735062,0.20792435109615326,0.19058461487293243,0.19376379251480103,-0.0162014439702034,0.14306388795375824,0.11542470008134842,0.11634156107902527
twain,0.22511076927185059,0.24123772978782654,0.36255478858947754,0.26137295365333557,0.18854016065597534,-0.020761432126164436,0.2068374902009964,0.2639409601688385,0.1620187759399414
;,0.10986888408660889,0.05179762840270996,0.01593388058245182,0.0754367932677269,-0.03835732489824295,0.006909397430717945,0.08563853055238724,-0.02030533365905285,0.10349778085947037
they,0.4431931674480438,0.19014933705329895,0.10237107425928116,0.3300964832305908,0.1470530778169632,0.03738465905189514,0.3366175889968872,0.1841537058353424,0.2753053903579712
spent,0.17218980193138123,0.23255087435245514,0.19136403501033783,0.37391069531440735,0.06432446837425232,0.03144516423344612,0.2235909104347229,0.23040805757045746,0.09774520993232727
a,0.3320399522781372,0.26728492975234985,0.2671267092227936,0.4508470594882965,0.2211925983428955,0.04866964742541313,0.3146486282348633,0.2761116921901703,0.23916715383529663
lot,0.3255569636821747,0.295250803232193,0.1353418231010437,0.19211715459823608,0.16089829802513123,0.03971879556775093,0.38922762870788574,0.19828975200653076,0.219394251704216
of,0.33290785551071167,0.3074295222759247,0.14383116364479065,0.4069072902202606,0.18837453424930573,-0.03817026689648628,0.2696770131587982,0.13773126900196075,0.1826142966747284
time,0.36319252848625183,0.2560559809207916,0.15112216770648956,0.3641340136528015,0.14928559958934784,0.01301188487559557,0.3060314655303955,0.24584360420703888,0.27391523122787476
together,0.22179445624351501,0.19742338359355927,0.0899520069360733,0.14391832053661346,0.2026316523551941,0.06855551898479462,0.23786738514900208,0.21186643838882446,0.1690303236246109
in,0.30808621644973755,0.34673580527305603,0.19054412841796875,0.45514053106307983,0.17097744345664978,-0.037580832839012146,0.2152448445558548,0.12977886199951172,0.20430970191955566
his,0.26976513862609863,0.28745037317276,0.2610515058040619,0.4405253231525421,0.1580733060836792,0.047556519508361816,0.2863979637622833,0.4291400909423828,0.18075084686279297
lab,0.20529143512248993,0.11398541182279587,0.1253020465373993,0.22224277257919312,0.24769280850887299,0.011517631821334362,0.17056846618652344,0.17937147617340088,0.15959888696670532
and,0.31309178471565247,0.2970265746116638,0.2668316066265106,0.3740963041782379,0.19560420513153076,0.06895173341035843,0.3426591157913208,0.2752458155155182,0.20544172823429108
elsewhere,0.40968769788742065,0.11188600957393646,0.15238648653030396,0.2300332635641098,0.08733204007148743,0.014210804365575314,0.2455834001302719,0.09630702435970306,0.33915433287620544
.,0.3567904531955719,0.2322506159543991,0.1906910538673401,0.40146201848983765,0.17949827015399933,-0.003708066651597619,0.29664117097854614,0.18085046112537384,0.4130953550338745
