,who,lost,to,the,panthers,in,the,divisional,round,of,the,playoffs,?
the,0.3733934462070465,0.3376973867416382,0.535392165184021,1.0,0.2602776288986206,0.6662389636039734,1.0,0.29866886138916016,0.19933617115020752,0.733189046382904,1.0,0.21945282816886902,0.22068053483963013
panthers,0.2132880985736847,0.1813974380493164,0.2185782641172409,0.2602776288986206,0.9999999403953552,0.2115829735994339,0.2602776288986206,0.31217241287231445,0.2859363555908203,0.23357392847537994,0.2602776288986206,0.4255627989768982,0.16608978807926178
beat,0.19657617807388306,0.37574276328086853,0.24239139258861542,0.24951939284801483,0.2554819583892822,0.16871558129787445,0.24951939284801483,0.2122587412595749,0.31973010301589966,0.15358257293701172,0.24951939284801483,0.2726280689239502,0.19461682438850403
the,0.3733934462070465,0.3376973867416382,0.535392165184021,1.0,0.2602776288986206,0.6662389636039734,1.0,0.29866886138916016,0.19933617115020752,0.733189046382904,1.0,0.21945282816886902,0.22068053483963013
seattle,0.22585025429725647,0.2026440054178238,0.2056986689567566,0.2813572883605957,0.32939714193344116,0.24961012601852417,0.2813572883605957,0.19648867845535278,0.12267432361841202,0.1965828686952591,0.2813572883605957,0.32555654644966125,0.16032689809799194
seahawks,0.22294078767299652,0.2554403841495514,0.20907588303089142,0.24584239721298218,0.6191272139549255,0.17017868161201477,0.24584239721298218,0.34633976221084595,0.31914040446281433,0.16790448129177094,0.24584239721298218,0.5582406520843506,0.20517028868198395
in,0.2792111933231354,0.3167656362056732,0.45010748505592346,0.6662389636039734,0.2115829735994339,1.0,0.6662389636039734,0.27742800116539,0.17063008248806,0.5696388483047485,0.6662389636039734,0.187225341796875,0.20430970191955566
the,0.3733934462070465,0.3376973867416382,0.535392165184021,1.0,0.2602776288986206,0.6662389636039734,1.0,0.29866886138916016,0.19933617115020752,0.733189046382904,1.0,0.21945282816886902,0.22068053483963013
divisional,0.12287947535514832,0.21822777390480042,0.19002176821231842,0.29866886138916016,0.31217241287231445,0.27742800116539,0.29866886138916016,1.0,0.23850208520889282,0.3047286868095398,0.29866886138916016,0.32525140047073364,0.08093056827783585
round,0.14290806651115417,0.24792149662971497,0.22003763914108276,0.19933617115020752,0.2859363555908203,0.17063008248806,0.19933617115020752,0.23850208520889282,1.0,0.15754494071006775,0.19933617115020752,0.38154932856559753,0.17003268003463745
",",0.3365725874900818,0.26788443326950073,0.44245919585227966,0.4933079481124878,0.2494642585515976,0.5201468467712402,0.4933079481124878,0.26088419556617737,0.2113574892282486,0.4946078956127167,0.4933079481124878,0.20110727846622467,0.31091248989105225
running,0.2064424604177475,0.24410411715507507,0.23381315171718597,0.28883472084999084,0.1742893010377884,0.2874506413936615,0.28883472084999084,0.12703709304332733,0.15093263983726501,0.2329012006521225,0.28883472084999084,0.18050988018512726,0.15679655969142914
up,0.26056501269340515,0.22022384405136108,0.40375280380249023,0.38423117995262146,0.22487294673919678,0.3120773434638977,0.38423117995262146,0.21477630734443665,0.21007707715034485,0.32945773005485535,0.38423117995262146,0.20973925292491913,0.1819818764925003
a,0.36608949303627014,0.24504798650741577,0.45503583550453186,0.5829201340675354,0.2255268394947052,0.539380669593811,0.5829201340675354,0.21646836400032043,0.16263510286808014,0.5052502155303955,0.5829201340675354,0.1341041624546051,0.23916715383529663
31–0,-0.27903100848197937,-0.22300763428211212,-0.16976644098758698,-0.2617221772670746,-0.11012716591358185,-0.1932193636894226,-0.2617221772670746,-0.15916165709495544,0.12301968783140182,-0.20049697160720825,-0.2617221772670746,-0.023407964035868645,-0.012736250646412373
halftime,0.19379067420959473,0.2768383324146271,0.2790384590625763,0.31780552864074707,0.4050578474998474,0.2745802700519562,0.31780552864074707,0.20658640563488007,0.2799694538116455,0.2234645038843155,0.31780552864074707,0.408297061920166,0.21138669550418854
lead,0.19455209374427795,0.18365353345870972,0.23490607738494873,0.21995973587036133,0.19878502190113068,0.2055644989013672,0.21995973587036133,0.1502722054719925,0.09396806359291077,0.19835850596427917,0.21995973587036133,0.2079288810491562,0.14552436769008636
and,0.41279885172843933,0.25558507442474365,0.48971283435821533,0.5171257257461548,0.2230100929737091,0.4954058527946472,0.5171257257461548,0.23339633643627167,0.23684285581111908,0.5116966962814331,0.5171257257461548,0.18765310943126678,0.20544172823429108
then,0.29952746629714966,0.281472384929657,0.5203860402107239,0.4297412931919098,0.1711401343345642,0.36253848671913147,0.4297412931919098,0.11642491817474365,0.24983663856983185,0.2937326431274414,0.4297412931919098,0.2637876272201538,0.2884598970413208
holding,0.2884242832660675,0.1841016709804535,0.256712406873703,0.31092849373817444,0.19714322686195374,0.23142732679843903,0.31092849373817444,0.18320629000663757,0.20323732495307922,0.25994744896888733,0.31092849373817444,0.17482240498065948,0.17956523597240448
off,0.16363953053951263,0.2683907747268677,0.3533020317554474,0.2773582935333252,0.15033701062202454,0.25627145171165466,0.2773582935333252,0.1523633599281311,0.1849031001329422,0.20023372769355774,0.2773582935333252,0.20594745874404907,0.12937544286251068
a,0.36608949303627014,0.24504798650741577,0.45503583550453186,0.5829201340675354,0.2255268394947052,0.539380669593811,0.5829201340675354,0.21646836400032043,0.16263510286808014,0.5052502155303955,0.5829201340675354,0.1341041624546051,0.23916715383529663
furious,0.31836268305778503,0.25946730375289917,0.24351929128170013,0.2583010196685791,0.18741931021213531,0.1850520372390747,0.2583010196685791,0.18476682901382446,0.1493859738111496,0.1786048710346222,0.2583010196685791,0.22224217653274536,0.1803043633699417
second,0.21920166909694672,0.2747306525707245,0.3098561465740204,0.4620301127433777,0.2124287188053131,0.34510284662246704,0.4620301127433777,0.19943247735500336,0.2828505039215088,0.353416383266449,0.4620301127433777,0.23067082464694977,0.17239587008953094
half,0.2674400806427002,0.18918713927268982,0.21248666942119598,0.3189295828342438,0.17097704112529755,0.25644969940185547,0.3189295828342438,0.20478270947933197,0.18969157338142395,0.2784358561038971,0.3189295828342438,0.1568686068058014,0.07471233606338501
comeback,0.22864589095115662,0.2291993647813797,0.20946598052978516,0.2754713296890259,0.355731338262558,0.21606028079986572,0.2754713296890259,0.19797225296497345,0.1955237239599228,0.20024171471595764,0.2754713296890259,0.3577551543712616,0.1894063800573349
attempt,0.2894035577774048,0.18554933369159698,0.4458620846271515,0.2614527940750122,0.14837057888507843,0.1812446564435959,0.2614527940750122,0.15004928410053253,0.0914003923535347,0.21525268256664276,0.2614527940750122,0.20288148522377014,0.16559520363807678
to,0.42656609416007996,0.23270919919013977,1.0,0.535392165184021,0.2185782641172409,0.45010748505592346,0.535392165184021,0.19002176821231842,0.22003763914108276,0.41548454761505127,0.535392165184021,0.255110502243042,0.29463258385658264
win,0.25592827796936035,0.45128166675567627,0.2910063862800598,0.28308698534965515,0.2894786596298218,0.2503834664821625,0.28308698534965515,0.23858554661273956,0.22705447673797607,0.18048720061779022,0.28308698534965515,0.4400138556957245,0.1873117983341217
31–24,0.11375551670789719,0.251926064491272,0.094014972448349,0.08104430139064789,-0.005339892581105232,0.05530508980154991,0.08104430139064789,0.06207910180091858,0.062234845012426376,0.01976653002202511,0.08104430139064789,0.10936766117811203,0.0053295171819627285
",",0.3365725874900818,0.26788443326950073,0.44245919585227966,0.4933079481124878,0.2494642585515976,0.5201468467712402,0.4933079481124878,0.26088419556617737,0.2113574892282486,0.4946078956127167,0.4933079481124878,0.20110727846622467,0.31091248989105225
