,what,did,pegasus,satellites,measure,to,propose,the,safety,of,the,environment,in,space,and,on,the,moon,?
the,0.42745697498321533,0.34736719727516174,0.18383702635765076,0.22091621160507202,0.2528008222579956,0.535392165184021,0.2302119880914688,1.0,0.25972458720207214,0.733189046382904,1.0,0.25819888710975647,0.6662389636039734,0.24495907127857208,0.5171257257461548,0.5107308030128479,1.0,0.23613092303276062,0.22068053483963013
last,0.23175878822803497,0.30895525217056274,0.14857076108455658,0.11473574489355087,0.146482914686203,0.30156898498535156,0.1478879451751709,0.3698786795139313,0.1482333242893219,0.3052992522716522,0.3698786795139313,0.12136922031641006,0.30714505910873413,0.18698951601982117,0.25967320799827576,0.2517152428627014,0.3698786795139313,0.2400616854429245,0.22371746599674225
three,0.24888746440410614,0.2043166607618332,0.15174651145935059,0.1627936065196991,0.18879275023937225,0.3043823838233948,0.17461614310741425,0.43452659249305725,0.16096605360507965,0.3844621181488037,0.43452659249305725,0.10355831682682037,0.34828072786331177,0.19709010422229767,0.3826501965522766,0.2742598354816437,0.43452659249305725,0.15777833759784698,0.20928427577018738
of,0.33290785551071167,0.2513895630836487,0.13332834839820862,0.1548984944820404,0.22469913959503174,0.41548454761505127,0.2539187967777252,0.733189046382904,0.18446403741836548,1.0,0.733189046382904,0.2659151554107666,0.5696388483047485,0.21300287544727325,0.5116966962814331,0.3966929316520691,0.733189046382904,0.18815091252326965,0.1826142966747284
these,0.4164220690727234,0.38755595684051514,0.1410084217786789,0.30450695753097534,0.2835148572921753,0.46852558851242065,0.2951856851577759,0.49086877703666687,0.2258792668581009,0.42684608697891235,0.49086877703666687,0.2700546383857727,0.3791837692260742,0.20008286833763123,0.5314885973930359,0.32800400257110596,0.49086877703666687,0.19515039026737213,0.2571668326854706
further,0.30867868661880493,0.216647207736969,0.1097545251250267,0.20569750666618347,0.20778624713420868,0.4001762866973877,0.293612003326416,0.32531118392944336,0.17786607146263123,0.24797867238521576,0.32531118392944336,0.1828509420156479,0.233941450715065,0.2102172076702118,0.3426179587841034,0.2951144874095917,0.32531118392944336,0.13223765790462494,0.20960763096809387
supported,0.16402992606163025,0.3048703968524933,0.08300799131393433,0.1120009571313858,0.1377284973859787,0.19981899857521057,0.3041679263114929,0.27276676893234253,0.1639472246170044,0.30414751172065735,0.27276676893234253,0.20024117827415466,0.22075232863426208,0.0992002859711647,0.3113573491573334,0.2748899757862091,0.27276676893234253,0.1465349793434143,0.11593948304653168
the,0.42745697498321533,0.34736719727516174,0.18383702635765076,0.22091621160507202,0.2528008222579956,0.535392165184021,0.2302119880914688,1.0,0.25972458720207214,0.733189046382904,1.0,0.25819888710975647,0.6662389636039734,0.24495907127857208,0.5171257257461548,0.5107308030128479,1.0,0.23613092303276062,0.22068053483963013
apollo,0.13561789691448212,0.1976410299539566,0.4120802581310272,0.39113613963127136,0.18733084201812744,0.23190522193908691,0.11892704665660858,0.2169172167778015,0.23332646489143372,0.1786269098520279,0.2169172167778015,0.18894262611865997,0.1461767554283142,0.3076713979244232,0.15251155197620392,0.16069947183132172,0.2169172167778015,0.512973427772522,0.191528782248497
program,0.25047802925109863,0.18915289640426636,0.24027924239635468,0.30602139234542847,0.2098396271467209,0.23681028187274933,0.20927384495735168,0.22986935079097748,0.21744857728481293,0.17376001179218292,0.22986935079097748,0.3393157124519348,0.1994907110929489,0.27222728729248047,0.24895258247852325,0.23327119648456573,0.22986935079097748,0.20258519053459167,0.1440187245607376
by,0.2455483376979828,0.18574509024620056,0.09142188727855682,0.20971977710723877,0.2567248046398163,0.33534231781959534,0.16760826110839844,0.4408751428127289,0.19907283782958984,0.3646814823150635,0.4408751428127289,0.15333500504493713,0.370934396982193,0.16067887842655182,0.4289871156215668,0.33887791633605957,0.4408751428127289,0.2189643681049347,0.17966607213020325
also,0.42747777700424194,0.39334940910339355,0.22539757192134857,0.22124437987804413,0.25485968589782715,0.5348826050758362,0.20575056970119476,0.6021018624305725,0.22965975105762482,0.4924938678741455,0.6021018624305725,0.2566490173339844,0.5073733329772949,0.17468027770519257,0.5755972862243652,0.3762153089046478,0.6021018624305725,0.20976969599723816,0.21848613023757935
carrying,0.14636102318763733,0.14129848778247833,0.22122597694396973,0.20245680212974548,0.22097016870975494,0.26513856649398804,0.10079169273376465,0.24629071354866028,0.2853301167488098,0.2647595703601837,0.24629071354866028,0.18142768740653992,0.20725233852863312,0.19992570579051971,0.2537338435649872,0.24775874614715576,0.24629071354866028,0.18475696444511414,0.1526285707950592
pegasus,0.09876807034015656,0.11042187362909317,1.0000001192092896,0.35226568579673767,0.18738646805286407,0.2092151939868927,0.17895101010799408,0.18383702635765076,0.21200880408287048,0.13332834839820862,0.18383702635765076,0.08782556653022766,0.12849821150302887,0.2014636993408203,0.20631076395511627,0.18043945729732513,0.18383702635765076,0.2753579914569855,0.13457128405570984
satellites,0.1955558806657791,0.20184746384620667,0.35226568579673767,1.0,0.29986774921417236,0.219989612698555,0.25298646092414856,0.22091621160507202,0.1738780289888382,0.1548984944820404,0.22091621160507202,0.22937430441379547,0.15050876140594482,0.35180652141571045,0.194405198097229,0.24012160301208496,0.22091621160507202,0.48710376024246216,0.18280646204948425
",",0.3087472915649414,0.3015086054801941,0.22253833711147308,0.21846163272857666,0.18738344311714172,0.44245919585227966,0.25586456060409546,0.4933079481124878,0.22221899032592773,0.4946078956127167,0.4933079481124878,0.2742449939250946,0.5201468467712402,0.2285580337047577,0.6633074283599854,0.49057599902153015,0.4933079481124878,0.18567080795764923,0.31091248989105225
which,0.5261979103088379,0.2750149369239807,0.16478583216667175,0.24143706262111664,0.3194787800312042,0.5345056653022766,0.23578482866287231,0.6521818041801453,0.25007596611976624,0.5011631846427917,0.6521818041801453,0.301195353269577,0.4840516746044159,0.2025344967842102,0.506277859210968,0.4245251417160034,0.6521818041801453,0.19790339469909668,0.25814583897590637
verified,0.2454034686088562,0.22328567504882812,0.10849596560001373,0.22559602558612823,0.21544140577316284,0.21959666907787323,0.22282522916793823,0.21752820909023285,0.1228308230638504,0.1795356571674347,0.21752820909023285,0.14604587852954865,0.20510222017765045,0.16424717009067535,0.19335797429084778,0.2773393392562866,0.21752820909023285,0.15754543244838715,0.3340679705142975
the,0.42745697498321533,0.34736719727516174,0.18383702635765076,0.22091621160507202,0.2528008222579956,0.535392165184021,0.2302119880914688,1.0,0.25972458720207214,0.733189046382904,1.0,0.25819888710975647,0.6662389636039734,0.24495907127857208,0.5171257257461548,0.5107308030128479,1.0,0.23613092303276062,0.22068053483963013
safety,0.1898718774318695,0.19075745344161987,0.21200880408287048,0.1738780289888382,0.278037965297699,0.254177987575531,0.16667619347572327,0.25972458720207214,1.0000001192092896,0.18446403741836548,0.25972458720207214,0.30297330021858215,0.182920441031456,0.14724192023277283,0.27546536922454834,0.20992831885814667,0.25972458720207214,0.1125267967581749,0.1443338692188263
of,0.33290785551071167,0.2513895630836487,0.13332834839820862,0.1548984944820404,0.22469913959503174,0.41548454761505127,0.2539187967777252,0.733189046382904,0.18446403741836548,1.0,0.733189046382904,0.2659151554107666,0.5696388483047485,0.21300287544727325,0.5116966962814331,0.3966929316520691,0.733189046382904,0.18815091252326965,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.18383702635765076,0.22091621160507202,0.2528008222579956,0.535392165184021,0.2302119880914688,1.0,0.25972458720207214,0.733189046382904,1.0,0.25819888710975647,0.6662389636039734,0.24495907127857208,0.5171257257461548,0.5107308030128479,1.0,0.23613092303276062,0.22068053483963013
translunar,0.26625320315361023,0.14291997253894806,0.32245877385139465,0.42970675230026245,0.28120502829551697,0.20362171530723572,0.1991969794034958,0.33685752749443054,0.13055096566677094,0.26793456077575684,0.33685752749443054,0.2219742387533188,0.23528465628623962,0.28986576199531555,0.279305100440979,0.20909816026687622,0.33685752749443054,0.42244622111320496,0.23503059148788452
environment,0.213022843003273,0.10747723281383514,0.08782556653022766,0.22937430441379547,0.26244333386421204,0.274095743894577,0.1956055760383606,0.25819888710975647,0.30297330021858215,0.2659151554107666,0.25819888710975647,0.9999998807907104,0.2854640781879425,0.21811065077781677,0.2753470242023468,0.20899061858654022,0.25819888710975647,0.15910902619361877,0.19478057324886322
by,0.2455483376979828,0.18574509024620056,0.09142188727855682,0.20971977710723877,0.2567248046398163,0.33534231781959534,0.16760826110839844,0.4408751428127289,0.19907283782958984,0.3646814823150635,0.4408751428127289,0.15333500504493713,0.370934396982193,0.16067887842655182,0.4289871156215668,0.33887791633605957,0.4408751428127289,0.2189643681049347,0.17966607213020325
measuring,0.2584631145000458,0.12658174335956573,0.19301077723503113,0.3423088788986206,0.8148848414421082,0.2159111499786377,0.19147101044654846,0.29231998324394226,0.19882377982139587,0.30754444003105164,0.29231998324394226,0.29692769050598145,0.23497642576694489,0.16242386400699615,0.2606194317340851,0.2022051066160202,0.29231998324394226,0.20484527945518494,0.16787901520729065
the,0.42745697498321533,0.34736719727516174,0.18383702635765076,0.22091621160507202,0.2528008222579956,0.535392165184021,0.2302119880914688,1.0,0.25972458720207214,0.733189046382904,1.0,0.25819888710975647,0.6662389636039734,0.24495907127857208,0.5171257257461548,0.5107308030128479,1.0,0.23613092303276062,0.22068053483963013
frequency,0.2807137370109558,0.13498257100582123,0.19542816281318665,0.2944415509700775,0.46910157799720764,0.2516654431819916,0.2343161404132843,0.20417852699756622,0.21245147287845612,0.1939978003501892,0.20417852699756622,0.2638092339038849,0.17656390368938446,0.19883789122104645,0.18055053055286407,0.20327851176261902,0.20417852699756622,0.21685251593589783,0.17067383229732513
and,0.31309178471565247,0.34479495882987976,0.20631076395511627,0.194405198097229,0.23739957809448242,0.48971283435821533,0.2163882553577423,0.5171257257461548,0.27546536922454834,0.5116966962814331,0.5171257257461548,0.2753470242023468,0.4954058527946472,0.22901733219623566,1.0,0.4077630043029785,0.5171257257461548,0.2018347829580307,0.20544172823429108
severity,0.2504546046257019,0.09302554279565811,0.08487845212221146,0.1223478838801384,0.3259585499763489,0.2516503930091858,0.16537529230117798,0.2892438471317291,0.31919246912002563,0.27589738368988037,0.2892438471317291,0.3087593913078308,0.20947714149951935,0.1370779573917389,0.28601595759391785,0.2809808552265167,0.2892438471317291,0.11183997243642807,0.19661511480808258
of,0.33290785551071167,0.2513895630836487,0.13332834839820862,0.1548984944820404,0.22469913959503174,0.41548454761505127,0.2539187967777252,0.733189046382904,0.18446403741836548,1.0,0.733189046382904,0.2659151554107666,0.5696388483047485,0.21300287544727325,0.5116966962814331,0.3966929316520691,0.733189046382904,0.18815091252326965,0.1826142966747284
micrometeorite,0.2503683865070343,0.1229790523648262,0.23059380054473877,0.5132653713226318,0.3500351905822754,0.21810974180698395,0.20364199578762054,0.23075911402702332,0.19786137342453003,0.23036785423755646,0.23075911402702332,0.2788850963115692,0.2205243557691574,0.32951828837394714,0.19222883880138397,0.2043134868144989,0.23075911402702332,0.4014982581138611,0.17215271294116974
impacts,0.2337489128112793,0.21154911816120148,0.11994770914316177,0.28710657358169556,0.26137468218803406,0.2222287803888321,0.19065026938915253,0.23250022530555725,0.20419588685035706,0.2371099293231964,0.23250022530555725,0.39836442470550537,0.1669047772884369,0.24338002502918243,0.25870150327682495,0.274610698223114,0.23250022530555725,0.2816218137741089,0.14372354745864868
