,when,is,the,first,reference,in,history,to,warsaw,?
the,0.5091903209686279,0.5823672413825989,1.0,0.49448907375335693,0.26254498958587646,0.6662389636039734,0.33215048909187317,0.535392165184021,0.23137180507183075,0.22068053483963013
first,0.4282494783401489,0.30889374017715454,0.49448907375335693,1.0,0.2230263352394104,0.4127444326877594,0.3202230632305145,0.3792489171028137,0.19408388435840607,0.18701928853988647
historical,0.151133731007576,0.23039913177490234,0.30835282802581787,0.1561516970396042,0.20628978312015533,0.30350539088249207,0.46176716685295105,0.22193273901939392,0.14238855242729187,0.1665111482143402
reference,0.16803410649299622,0.2599010765552521,0.26254498958587646,0.2230263352394104,1.0,0.22640638053417206,0.22648650407791138,0.25784367322921753,0.11314188688993454,0.2950310707092285
to,0.5423505902290344,0.42745086550712585,0.535392165184021,0.3792489171028137,0.25784367322921753,0.45010748505592346,0.24226762354373932,1.0,0.1953994333744049,0.29463258385658264
warsaw,0.1615014374256134,0.09741193056106567,0.23137180507183075,0.19408388435840607,0.11314188688993454,0.22642600536346436,0.14789769053459167,0.1953994333744049,1.0,0.09769917279481888
dates,0.22044897079467773,0.19036540389060974,0.3088380992412567,0.2531071901321411,0.35929152369499207,0.2340383380651474,0.2961502969264984,0.2791856825351715,0.11795183271169662,0.2331625074148178
back,0.4184971749782562,0.20263513922691345,0.3612101674079895,0.26990386843681335,0.14453360438346863,0.25397348403930664,0.23530350625514984,0.4675939381122589,0.11803382635116577,0.2397768795490265
to,0.5423505902290344,0.42745086550712585,0.535392165184021,0.3792489171028137,0.25784367322921753,0.45010748505592346,0.24226762354373932,1.0,0.1953994333744049,0.29463258385658264
the,0.5091903209686279,0.5823672413825989,1.0,0.49448907375335693,0.26254498958587646,0.6662389636039734,0.33215048909187317,0.535392165184021,0.23137180507183075,0.22068053483963013
year,0.3014719784259796,0.2402215600013733,0.3609684407711029,0.3099139928817749,0.16993319988250732,0.3359307050704956,0.20572951436042786,0.23523004353046417,0.15561209619045258,0.18315006792545319
1313,0.016037097200751305,0.06822964549064636,0.04571828246116638,0.011426468379795551,-0.0676230862736702,0.05276709794998169,0.03890931233763695,0.09184106439352036,-0.028149865567684174,-0.09352541714906693
",",0.36674630641937256,0.4691906273365021,0.4933079481124878,0.34503069519996643,0.24524281919002533,0.5201468467712402,0.2728564441204071,0.44245919585227966,0.25300899147987366,0.31091248989105225
at,0.38876327872276306,0.25906258821487427,0.457212895154953,0.3138778805732727,0.24143698811531067,0.4374977946281433,0.25440460443496704,0.36524343490600586,0.20140162110328674,0.21978627145290375
a,0.44397395849227905,0.658733606338501,0.5829201340675354,0.4287874400615692,0.2766492962837219,0.539380669593811,0.2123815417289734,0.45503583550453186,0.19591784477233887,0.23916715383529663
time,0.4363728165626526,0.25187405943870544,0.43061500787734985,0.4013477563858032,0.2579501271247864,0.3431483507156372,0.36719411611557007,0.3679993152618408,0.1637357622385025,0.27391523122787476
when,0.9999999403953552,0.3471449911594391,0.5091903209686279,0.4282494783401489,0.16803410649299622,0.4431333839893341,0.24001719057559967,0.5423505902290344,0.1615014374256134,0.22841128706932068
kraków,0.11460823565721512,0.14373372495174408,0.19051972031593323,0.14653079211711884,0.0982312485575676,0.269519180059433,0.19075201451778412,0.15587858855724335,0.6385058164596558,0.17615953087806702
served,0.1625121384859085,0.21776750683784485,0.25209251046180725,0.24579095840454102,0.10342506319284439,0.24299493432044983,0.18889673054218292,0.13321098685264587,0.17756235599517822,0.117141492664814
as,0.4437963366508484,0.43216490745544434,0.48381632566452026,0.33842000365257263,0.23965704441070557,0.3887844979763031,0.2152104675769806,0.42092081904411316,0.14492812752723694,0.27043893933296204
the,0.5091903209686279,0.5823672413825989,1.0,0.49448907375335693,0.26254498958587646,0.6662389636039734,0.33215048909187317,0.535392165184021,0.23137180507183075,0.22068053483963013
polish,0.12293745577335358,0.14989061653614044,0.17708231508731842,0.1414358913898468,0.10720176249742508,0.1896398365497589,0.14442862570285797,0.1475636065006256,0.6311136484146118,0.14012759923934937
capital,0.20230671763420105,0.2849797308444977,0.3049491047859192,0.19939085841178894,0.03891018033027649,0.3233928978443146,0.21807457506656647,0.1844596415758133,0.15139155089855194,0.0907452180981636
city,0.19592350721359253,0.3186660706996918,0.35769423842430115,0.20456640422344208,0.09141988307237625,0.3911624252796173,0.2610187232494354,0.20300441980361938,0.25006377696990967,0.13423943519592285
.,0.475719153881073,0.4569662809371948,0.5934505462646484,0.4345304071903229,0.2742740213871002,0.5591574311256409,0.30310705304145813,0.4645031690597534,0.26825499534606934,0.4130953550338745
