,what,months,out,of,the,year,is,woodward,park,open,?
the,0.42745697498321533,0.2680157423019409,0.39404502511024475,0.733189046382904,1.0,0.3609684407711029,0.5823672413825989,0.2085409164428711,0.24748283624649048,0.2764171361923218,0.22068053483963013
park,0.13500720262527466,0.15469984710216522,0.13221469521522522,0.24561640620231628,0.24748283624649048,0.19919338822364807,0.2076987773180008,0.1324821412563324,1.0,0.13301892578601837,0.13508929312229156
is,0.28837618231773376,0.20294976234436035,0.2817855477333069,0.4854315221309662,0.5823672413825989,0.2402215600013733,1.0,0.19685564935207367,0.2076987773180008,0.1846783459186554,0.22961433231830597
open,0.2022915631532669,0.1756051480770111,0.26037395000457764,0.17970167100429535,0.2764171361923218,0.16091930866241455,0.1846783459186554,0.05863726884126663,0.13301892578601837,1.0000001192092896,0.20715104043483734
april,0.21502700448036194,0.3267226815223694,0.2145104557275772,0.18706536293029785,0.23232673108577728,0.27374204993247986,0.2219124734401703,0.14226622879505157,0.13862137496471405,0.18214105069637299,0.25704094767570496
through,0.23167094588279724,0.21616774797439575,0.3849549889564514,0.3647414743900299,0.44071322679519653,0.14608070254325867,0.27805060148239136,0.128761425614357,0.19645912945270538,0.3105227053165436,0.16913433372974396
october,0.24927909672260284,0.3429621458053589,0.1686478704214096,0.20846129953861237,0.2621108889579773,0.25504976511001587,0.24397309124469757,0.16682276129722595,0.11470483988523483,0.15450675785541534,0.29706719517707825
",",0.3087472915649414,0.28694233298301697,0.3161109685897827,0.4946078956127167,0.4933079481124878,0.28560417890548706,0.4691906273365021,0.2896799147129059,0.22495080530643463,0.28863707184791565,0.31091248989105225
6am,0.1205902174115181,0.11423397064208984,0.03583851084113121,0.020581334829330444,0.042071666568517685,0.04542487859725952,0.12918110191822052,0.10366606712341309,0.0808490738272667,0.15044428408145905,0.16167937219142914
to,0.455847829580307,0.2831858992576599,0.42386990785598755,0.41548454761505127,0.535392165184021,0.23523004353046417,0.42745086550712585,0.21017755568027496,0.14257338643074036,0.2593059837818146,0.29463258385658264
10pm,0.14098845422267914,0.19501028954982758,0.1708802729845047,0.15465258061885834,0.185694620013237,0.22204218804836273,0.1503140777349472,0.21467506885528564,0.12675517797470093,0.2052384465932846,0.160981684923172
and,0.31309178471565247,0.2746278941631317,0.3881998062133789,0.5116966962814331,0.5171257257461548,0.2506658732891083,0.3859752118587494,0.2664565145969391,0.21340665221214294,0.27364909648895264,0.20544172823429108
november,0.23963461816310883,0.34472769498825073,0.16176289319992065,0.19941139221191406,0.25734350085258484,0.2922213673591614,0.24317221343517303,0.1776578277349472,0.12788140773773193,0.17621645331382751,0.3159552216529846
through,0.23167094588279724,0.21616774797439575,0.3849549889564514,0.3647414743900299,0.44071322679519653,0.14608070254325867,0.27805060148239136,0.128761425614357,0.19645912945270538,0.3105227053165436,0.16913433372974396
march,0.20529508590698242,0.3179546594619751,0.18912550806999207,0.20692677795886993,0.2680487632751465,0.27447643876075745,0.22987359762191772,0.15144501626491547,0.15950530767440796,0.1857151836156845,0.2802562415599823
",",0.3087472915649414,0.28694233298301697,0.3161109685897827,0.4946078956127167,0.4933079481124878,0.28560417890548706,0.4691906273365021,0.2896799147129059,0.22495080530643463,0.28863707184791565,0.31091248989105225
6am,0.1205902174115181,0.11423397064208984,0.03583851084113121,0.020581334829330444,0.042071666568517685,0.04542487859725952,0.12918110191822052,0.10366606712341309,0.0808490738272667,0.15044428408145905,0.16167937219142914
to,0.455847829580307,0.2831858992576599,0.42386990785598755,0.41548454761505127,0.535392165184021,0.23523004353046417,0.42745086550712585,0.21017755568027496,0.14257338643074036,0.2593059837818146,0.29463258385658264
7pm,0.023692863062024117,0.1857908070087433,0.09363173693418503,0.2060335874557495,0.21668614447116852,0.11921032518148422,0.17516206204891205,0.03134245425462723,0.08981386572122574,0.18223218619823456,0.07112312316894531
.,0.3567904531955719,0.32207444310188293,0.34234723448753357,0.5352458953857422,0.5934505462646484,0.32538118958473206,0.4569662809371948,0.2645300328731537,0.22825266420841217,0.28460413217544556,0.4130953550338745
