,what,senate,committee,did,singer,speak,to,in,july,2000,?
even,0.40872135758399963,0.15893420577049255,0.15316349267959595,0.45816805958747864,0.18947568535804749,0.23652386665344238,0.46467068791389465,0.29146435856819153,0.17102867364883423,-0.07897879183292389,0.30082517862319946
at,0.2838611304759979,0.1717224270105362,0.21561488509178162,0.28390252590179443,0.1398063749074936,0.17956554889678955,0.36524343490600586,0.4374977946281433,0.2789842486381531,-0.06926931440830231,0.21978627145290375
the,0.42745697498321533,0.23380520939826965,0.24322165548801422,0.34736719727516174,0.14885097742080688,0.2565973103046417,0.535392165184021,0.6662389636039734,0.2371699959039688,-0.015081177465617657,0.22068053483963013
draft,0.20352119207382202,0.19578438997268677,0.23031646013259888,0.22930853068828583,0.11339157819747925,0.13063275814056396,0.20236501097679138,0.19735127687454224,0.2704249322414398,-0.03541838005185127,0.1941390335559845
stage,0.15168409049510956,0.11080992966890335,0.10081899166107178,0.1994115114212036,0.33052438497543335,0.16146397590637207,0.1484832912683487,0.2011467069387436,0.21538203954696655,0.13485920429229736,0.14916576445102692
",",0.3087472915649414,0.22473450005054474,0.20982497930526733,0.3015086054801941,0.3160518407821655,0.2902714014053345,0.44245919585227966,0.5201468467712402,0.4269406795501709,-0.03465369716286659,0.31091248989105225
this,0.5489566326141357,0.18280409276485443,0.17773574590682983,0.3609912693500519,0.12673695385456085,0.1907663643360138,0.5759071707725525,0.45205554366111755,0.2439165860414505,-0.10233435779809952,0.3155723512172699
finding,0.3211895525455475,0.08446763455867767,0.1333453506231308,0.2513088285923004,0.13030274212360382,0.1441987156867981,0.29713475704193115,0.24054329097270966,0.16472618281841278,-0.08557312935590744,0.18021653592586517
was,0.22111038863658905,0.21166695654392242,0.25449851155281067,0.41399896144866943,0.3099033236503601,0.16471432149410248,0.3636345863342285,0.45514053106307983,0.40724116563796997,0.06843073666095734,0.18412111699581146
disputed,0.3041055202484131,0.1914672553539276,0.20453126728534698,0.18744073808193207,0.09332795441150665,0.18380115926265717,0.22312502562999725,0.23450717329978943,0.16212916374206543,-0.24598044157028198,0.2165134698152542
by,0.2455483376979828,0.1709672212600708,0.18816545605659485,0.18574509024620056,0.1773979812860489,0.12778501212596893,0.33534231781959534,0.370934396982193,0.16927224397659302,0.028724920004606247,0.17966607213020325
contrarians,0.36193200945854187,0.27276790142059326,0.16392681002616882,0.3411285877227783,0.16472935676574707,0.3485012948513031,0.2723267078399658,0.2152300775051117,0.1318538784980774,-0.08700267225503922,0.2285989224910736
:,-0.12022944539785385,0.025640593841671944,0.0967167317867279,-0.05305134505033493,0.011876801960170269,0.0019923828076571226,-0.09243495017290115,0.020521078258752823,0.02036431059241295,-0.035688042640686035,-0.07156077772378922
in,0.30808621644973755,0.1815723329782486,0.2107008546590805,0.2593238651752472,0.18326447904109955,0.2336738109588623,0.45010748505592346,1.0,0.26500701904296875,-0.0435720756649971,0.20430970191955566
may,0.25739946961402893,0.16349510848522186,0.09478174149990082,0.3038632869720459,0.20564529299736023,0.1367657482624054,0.391582727432251,0.3424151837825775,0.4987334609031677,-0.010245288722217083,0.2768254578113556
2000,-0.10562582314014435,0.07237492501735687,-0.09491179883480072,0.028451859951019287,0.13227805495262146,-0.09444765001535416,-0.05413077399134636,-0.0435720756649971,0.03407485783100128,1.0,-0.0824366956949234
fred,0.17992258071899414,0.17230798304080963,0.14354898035526276,0.12262141704559326,0.21718710660934448,0.09489636868238449,0.14767210185527802,0.2077977955341339,0.20746098458766937,0.138967365026474,0.20597071945667267
