,how,long,was,the,longest,doctor,who,christmas,special,?
826,0.047380223870277405,0.06242287904024124,0.13434964418411255,0.09173509478569031,0.08863873034715652,0.13131941854953766,0.15535438060760498,0.11517748981714249,0.01045724656432867,-0.05733815208077431
doctor,0.2004029005765915,0.1046028733253479,0.19672659039497375,0.2820442318916321,0.17905649542808533,0.9999999403953552,0.3504868149757385,0.1539488285779953,0.16843044757843018,0.1462511420249939
who,0.4070430099964142,0.18512077629566193,0.3318818509578705,0.3733934462070465,0.22225111722946167,0.3504868149757385,0.9999998807907104,0.19243934750556946,0.21519862115383148,0.26220351457595825
instalments,0.28239840269088745,0.22215622663497925,0.24756896495819092,0.3647617697715759,0.24998211860656738,0.2002898007631302,0.31713196635246277,0.2740911543369293,0.2535187602043152,0.2969202697277069
have,0.4370637536048889,0.3668093681335449,0.2863433063030243,0.40389683842658997,0.16795991361141205,0.17649078369140625,0.39246654510498047,0.17985796928405762,0.28018882870674133,0.32991164922714233
been,0.26456597447395325,0.3324016332626343,0.518218457698822,0.3563927710056305,0.21373771131038666,0.12184444069862366,0.3295723795890808,0.21513761579990387,0.2598821520805359,0.24354910850524902
televised,0.20968028903007507,0.1949138641357422,0.2756940424442291,0.32855433225631714,0.24607861042022705,0.21246404945850372,0.17628686130046844,0.2359321266412735,0.22394394874572754,0.12888526916503906
since,0.2347431182861328,0.2609017491340637,0.4384658932685852,0.4054957628250122,0.32667118310928345,0.10913390666246414,0.27765995264053345,0.21487246453762054,0.22352218627929688,0.2876587212085724
1963,-0.09255906939506531,0.03776786848902702,0.0005160232540220022,0.03728247061371803,0.09569651633501053,0.008513279259204865,-0.045281361788511276,0.00851986464112997,0.02050739713013172,0.03411978855729103
",",0.22659391164779663,0.3431144952774048,0.45456063747406006,0.4933079481124878,0.21878951787948608,0.20407600700855255,0.3365725874900818,0.2420792281627655,0.23880577087402344,0.31091248989105225
ranging,0.1890265941619873,0.31822219491004944,0.15409442782402039,0.23484160006046295,0.171207457780838,0.05589593946933746,0.10510164499282837,0.19282634556293488,0.17080490291118622,0.09338733553886414
between,0.2747800648212433,0.2935289144515991,0.24048170447349548,0.39067012071609497,0.27736443281173706,0.13923875987529755,0.20718061923980713,0.03070908971130848,0.0979929119348526,0.12887074053287506
25-minute,0.24868223071098328,0.3758295476436615,0.20774318277835846,0.23112405836582184,0.21643273532390594,0.24677492678165436,0.2085275501012802,0.1909760981798172,0.19608454406261444,0.14471937716007233
episodes,0.16633862257003784,0.22244980931282043,0.157072052359581,0.1889590173959732,0.2362373173236847,0.2920081615447998,0.20461446046829224,0.27025192975997925,0.17448042333126068,0.21740183234214783
(,0.1676948219537735,0.2487790733575821,0.2980341613292694,0.33289089798927307,0.16613268852233887,0.1570640504360199,0.2443375140428543,0.20888812839984894,0.1810780167579651,0.40561532974243164
the,0.33890387415885925,0.3075225353240967,0.48711544275283813,1.0,0.36807993054389954,0.2820442318916321,0.3733934462070465,0.2044597715139389,0.3027077615261078,0.22068053483963013
most,0.311336874961853,0.26111042499542236,0.29933857917785645,0.47635307908058167,0.3751823902130127,0.17011499404907227,0.35393568873405457,0.11837593466043472,0.1966545283794403,0.2107497900724411
common,0.17140580713748932,0.24444225430488586,0.0880795493721962,0.2705984115600586,0.14511051774024963,0.08306191116571426,0.12067393958568573,0.1495506465435028,0.1978183388710022,0.20434872806072235
