,where,can,a,tribute,to,the,fall,of,warsaw,be,found,?
a,0.40997210144996643,0.3915780484676361,1.0,0.1783589869737625,0.45503583550453186,0.5829201340675354,0.21384748816490173,0.5052502155303955,0.19591784477233887,0.39883795380592346,0.2869448959827423,0.23916715383529663
fine,0.23969756066799164,0.2539444863796234,0.25295814871788025,0.16534757614135742,0.2511158287525177,0.21014350652694702,0.17768937349319458,0.2549513578414917,0.1447848677635193,0.3112475574016571,0.17893020808696747,0.3000907599925995
tribute,0.08888065069913864,0.04724816605448723,0.1783589869737625,1.0,0.23745302855968475,0.22281517088413239,0.1702812761068344,0.19614990055561066,0.16412094235420227,0.17280736565589905,0.14202365279197693,0.1341906636953354
to,0.47735077142715454,0.4979398250579834,0.45503583550453186,0.23745302855968475,1.0,0.535392165184021,0.1966593861579895,0.41548454761505127,0.1953994333744049,0.4972836375236511,0.25225648283958435,0.29463258385658264
the,0.5003893971443176,0.312528520822525,0.5829201340675354,0.22281517088413239,0.535392165184021,1.0,0.3639753758907318,0.733189046382904,0.23137180507183075,0.4248143136501312,0.3452354073524475,0.22068053483963013
fall,0.2028142660856247,0.19658499956130981,0.21384748816490173,0.1702812761068344,0.1966593861579895,0.3639753758907318,1.0,0.2854328155517578,0.2739686071872711,0.21775756776332855,0.0988984927535057,0.1656162142753601
of,0.38066378235816956,0.2603091299533844,0.5052502155303955,0.19614990055561066,0.41548454761505127,0.733189046382904,0.2854328155517578,1.0,0.19253842532634735,0.33904364705085754,0.2982911467552185,0.1826142966747284
warsaw,0.1062634214758873,0.1348499357700348,0.19591784477233887,0.16412094235420227,0.1953994333744049,0.23137180507183075,0.2739686071872711,0.19253842532634735,1.0,0.17432227730751038,0.05098890885710716,0.09769917279481888
and,0.43859338760375977,0.3675691485404968,0.3739250600337982,0.12866657972335815,0.48971283435821533,0.5171257257461548,0.25737735629081726,0.5116966962814331,0.2083624005317688,0.41766801476478577,0.27978911995887756,0.20544172823429108
history,0.20361927151679993,0.14679282903671265,0.2123815417289734,0.1852070391178131,0.24226762354373932,0.33215048909187317,0.15929803252220154,0.31014925241470337,0.14789769053459167,0.19400513172149658,0.14470048248767853,0.2501974403858185
of,0.38066378235816956,0.2603091299533844,0.5052502155303955,0.19614990055561066,0.41548454761505127,0.733189046382904,0.2854328155517578,1.0,0.19253842532634735,0.33904364705085754,0.2982911467552185,0.1826142966747284
poland,0.1504354476928711,0.13501888513565063,0.19834734499454498,0.21888576447963715,0.18661348521709442,0.24871079623699188,0.21205301582813263,0.26632049679756165,0.6352760195732117,0.16963458061218262,0.115387462079525,0.14259830117225647
can,0.3773181736469269,1.0,0.3915780484676361,0.04724816605448723,0.4979398250579834,0.312528520822525,0.19658499956130981,0.2603091299533844,0.1348499357700348,0.5791122913360596,0.24230946600437164,0.3226337134838104
be,0.3651217818260193,0.5791122913360596,0.39883795380592346,0.17280736565589905,0.4972836375236511,0.4248143136501312,0.21775756776332855,0.33904364705085754,0.17432227730751038,1.0,0.23313552141189575,0.3324260413646698
found,0.2867223024368286,0.24230946600437164,0.2869448959827423,0.14202365279197693,0.25225648283958435,0.3452354073524475,0.0988984927535057,0.2982911467552185,0.05098890885710716,0.23313552141189575,0.9999999403953552,0.16790300607681274
in,0.5344807505607605,0.26527702808380127,0.539380669593811,0.19132359325885773,0.45010748505592346,0.6662389636039734,0.22958555817604065,0.5696388483047485,0.22642600536346436,0.3481820821762085,0.39141854643821716,0.20430970191955566
the,0.5003893971443176,0.312528520822525,0.5829201340675354,0.22281517088413239,0.535392165184021,1.0,0.3639753758907318,0.733189046382904,0.23137180507183075,0.4248143136501312,0.3452354073524475,0.22068053483963013
warsaw,0.1062634214758873,0.1348499357700348,0.19591784477233887,0.16412094235420227,0.1953994333744049,0.23137180507183075,0.2739686071872711,0.19253842532634735,1.0,0.17432227730751038,0.05098890885710716,0.09769917279481888
uprising,0.13492228090763092,0.05199481174349785,0.17451336979866028,0.22156983613967896,0.21161708235740662,0.2853594124317169,0.3012137711048126,0.2703337073326111,0.4463900625705719,0.1595078408718109,0.08857552707195282,0.13645027577877045
museum,0.17054861783981323,0.09301101416349411,0.14725451171398163,0.19037692248821259,0.1640389859676361,0.24861779808998108,0.1365918666124344,0.23314370214939117,0.24001078307628632,0.1328076720237732,0.1381998509168625,0.14128351211547852
