,what,can,block,a,legislation,?
this,0.5489566326141357,0.4006461203098297,0.31793323159217834,0.5422310829162598,0.2748169004917145,0.3155723512172699
means,0.2553325295448303,0.40289559960365295,0.13395139575004578,0.34418490529060364,0.215547576546669,0.21233566105365753
",",0.3087472915649414,0.3139454126358032,0.24290941655635834,0.427140474319458,0.221862331032753,0.31091248989105225
legislation,0.26615777611732483,0.19313418865203857,0.2061028778553009,0.23395681381225586,0.9999998807907104,0.21123437583446503
can,0.34502777457237244,1.0,0.30871737003326416,0.3915780484676361,0.19313418865203857,0.3226337134838104
be,0.3929833769798279,0.5791122913360596,0.29812389612197876,0.39883795380592346,0.2503572702407837,0.3324260413646698
blocked,0.349711537361145,0.28382983803749084,0.7064225077629089,0.19739380478858948,0.19496558606624603,0.3316977918148041
by,0.2455483376979828,0.29642900824546814,0.13997070491313934,0.32094135880470276,0.17084915935993195,0.17966607213020325
a,0.3320399522781372,0.3915780484676361,0.2515272796154022,1.0,0.23395681381225586,0.23916715383529663
majority,0.25967487692832947,0.24783922731876373,0.1543341875076294,0.227370023727417,0.34311336278915405,0.220119908452034
in,0.30808621644973755,0.26527702808380127,0.1659933477640152,0.539380669593811,0.2219952940940857,0.20430970191955566
parliament,0.21650300920009613,0.1599172055721283,0.18661954998970032,0.22951169312000275,0.5930427312850952,0.1586504578590393
",",0.3087472915649414,0.3139454126358032,0.24290941655635834,0.427140474319458,0.221862331032753,0.31091248989105225
a,0.3320399522781372,0.3915780484676361,0.2515272796154022,1.0,0.23395681381225586,0.23916715383529663
minority,0.18657594919204712,0.15906088054180145,0.06364806741476059,0.22573496401309967,0.3081216812133789,0.22200141847133636
in,0.30808621644973755,0.26527702808380127,0.1659933477640152,0.539380669593811,0.2219952940940857,0.20430970191955566
the,0.42745697498321533,0.312528520822525,0.20056472718715668,0.5829201340675354,0.2839483618736267,0.22068053483963013
council,0.16933071613311768,0.12142665684223175,0.19174253940582275,0.16385574638843536,0.391418993473053,0.1160062924027443
",",0.3087472915649414,0.3139454126358032,0.24290941655635834,0.427140474319458,0.221862331032753,0.31091248989105225
and,0.31309178471565247,0.3675691485404968,0.19999995827674866,0.3739250600337982,0.2457927167415619,0.20544172823429108
a,0.3320399522781372,0.3915780484676361,0.2515272796154022,1.0,0.23395681381225586,0.23916715383529663
majority,0.25967487692832947,0.24783922731876373,0.1543341875076294,0.227370023727417,0.34311336278915405,0.220119908452034
in,0.30808621644973755,0.26527702808380127,0.1659933477640152,0.539380669593811,0.2219952940940857,0.20430970191955566
the,0.42745697498321533,0.312528520822525,0.20056472718715668,0.5829201340675354,0.2839483618736267,0.22068053483963013
commission,0.22273972630500793,0.1267329305410385,0.13343706727027893,0.18981990218162537,0.4362846910953522,0.16231559216976166
:,-0.12022944539785385,-0.18125738203525543,-0.1061275526881218,-0.0007584693375974894,-0.11700159311294556,-0.07156077772378922
it,0.45803478360176086,0.3819273114204407,0.2823525071144104,0.5452592968940735,0.24862082302570343,0.25732165575027466
is,0.28837618231773376,0.44256699085235596,0.2306692898273468,0.658733606338501,0.17952819168567657,0.22961433231830597
harder,0.2937192916870117,0.42446041107177734,0.2590181827545166,0.25577613711357117,0.1365600973367691,0.20031365752220154
to,0.455847829580307,0.4979398250579834,0.30297139286994934,0.45503583550453186,0.25758448243141174,0.29463258385658264
change,0.3690716028213501,0.38303205370903015,0.2952381670475006,0.3047741651535034,0.22218261659145355,0.24115969240665436
eu,0.15409135818481445,0.15144599974155426,0.10895195603370667,0.13932566344738007,0.24656285345554352,0.21586786210536957
law,0.2145031988620758,0.13600260019302368,0.1580873727798462,0.2212858349084854,0.459128201007843,0.1528988480567932
than,0.29388150572776794,0.3532506823539734,0.22061005234718323,0.3126874566078186,0.18384535610675812,0.24917294085025787
stay,0.30565327405929565,0.3147687613964081,0.2427234798669815,0.27986037731170654,0.14172348380088806,0.22141321003437042
the,0.42745697498321533,0.312528520822525,0.20056472718715668,0.5829201340675354,0.2839483618736267,0.22068053483963013
same,0.3764382302761078,0.3393253982067108,0.2907056212425232,0.4048157036304474,0.17535185813903809,0.22649677097797394
.,0.3567904531955719,0.35783761739730835,0.24829226732254028,0.50484299659729,0.23787342011928558,0.4130953550338745
,what,can,block,a,legislation,?
the,0.42745697498321533,0.312528520822525,0.20056472718715668,0.5829201340675354,0.2839483618736267,0.22068053483963013
