,in,autoimmune,disorders,",",the,immune,system,does,n't,distinguish,between,what,types,of,cells,?
here,0.3649226427078247,0.2308277189731598,0.2271454632282257,0.37759533524513245,0.37885698676109314,0.18911036849021912,0.1757235825061798,0.360707551240921,0.0005693761631846428,0.23465371131896973,0.2479473203420639,0.5220553874969482,0.21069712936878204,0.29118096828460693,0.22021378576755524,0.5686008334159851
",",0.5201468467712402,0.2261451780796051,0.2126695066690445,1.0000001192092896,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.28617382049560547,0.11016341298818588,0.24225640296936035,0.27714940905570984,0.3087472915649414,0.24108222126960754,0.4946078956127167,0.20582014322280884,0.31091248989105225
the,0.6662389636039734,0.23308201134204865,0.23239798843860626,0.4933079481124878,1.0,0.21364226937294006,0.3233085572719574,0.35928019881248474,-0.11449059844017029,0.2407100945711136,0.39067012071609497,0.42745697498321533,0.23509301245212555,0.733189046382904,0.19095487892627716,0.22068053483963013
immune,0.14682820439338684,0.796642005443573,0.3924263119697571,0.15102852880954742,0.21364226937294006,1.0,0.3962631821632385,0.22944720089435577,0.012366925366222858,0.1990751326084137,0.13957767188549042,0.2410416603088379,0.2538298964500427,0.16620753705501556,0.5300963521003723,0.16080476343631744
system,0.21978288888931274,0.3583897352218628,0.2879990339279175,0.18439900875091553,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.2021704614162445,-0.0648522898554802,0.10701602697372437,0.1696578860282898,0.23557309806346893,0.2489754855632782,0.25597915053367615,0.29856014251708984,0.15556083619594574
fails,0.11617383360862732,0.23448829352855682,0.11575864255428314,0.27187231183052063,0.2538469433784485,0.23608066141605377,0.19969519972801208,0.47713807225227356,0.014593233354389668,0.12452042102813721,0.07783779501914978,0.30627402663230896,0.08949100971221924,0.15488888323307037,0.17831024527549744,0.27496176958084106
to,0.45010748505592346,0.2364400327205658,0.21753479540348053,0.44245919585227966,0.535392165184021,0.2541976273059845,0.26662686467170715,0.4391997456550598,-0.14541994035243988,0.2675764262676239,0.3639189600944519,0.455847829580307,0.20054484903812408,0.41548454761505127,0.26320719718933105,0.29463258385658264
properly,0.23806145787239075,0.32596760988235474,0.3051351010799408,0.2634517252445221,0.28738877177238464,0.2336363047361374,0.2825813889503479,0.3755761981010437,-0.010262704454362392,0.20700053870677948,0.16485249996185303,0.37598976492881775,0.2439596951007843,0.1735050082206726,0.25902754068374634,0.3050191104412079
distinguish,0.22530090808868408,0.16618871688842773,0.23986095190048218,0.24225640296936035,0.2407100945711136,0.1990751326084137,0.10701602697372437,0.24098840355873108,-0.02318170852959156,1.0,0.27727365493774414,0.26580512523651123,0.24770666658878326,0.2740761637687683,0.21318042278289795,0.13488887250423431
between,0.41100412607192993,0.17507785558700562,0.20302733778953552,0.27714940905570984,0.39067012071609497,0.13957767188549042,0.1696578860282898,0.16966454684734344,-0.08981748670339584,0.27727365493774414,0.9999999403953552,0.2462156116962433,0.2015795111656189,0.3737983703613281,0.14604967832565308,0.12887074053287506
self,0.19085843861103058,0.23148992657661438,0.18618829548358917,0.15860484540462494,0.15625660121440887,0.1875615268945694,0.11796959489583969,0.2222995162010193,0.05503528565168381,0.21954543888568878,0.12236975878477097,0.24097146093845367,0.07084721326828003,0.16502705216407776,0.17783845961093903,0.13157562911510468
and,0.4954058527946472,0.20667199790477753,0.23304784297943115,0.6633074283599854,0.5171257257461548,0.14400269091129303,0.231138214468956,0.3461615741252899,-0.0602874718606472,0.2634124457836151,0.40645647048950195,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.24033623933792114,0.20544172823429108
non-self,0.22045454382896423,0.3525055944919586,0.31023818254470825,0.2976972758769989,0.27000007033348083,0.3004506528377533,0.21916721761226654,0.4049183428287506,0.08703901618719101,0.2612256705760956,0.15693144500255585,0.38723137974739075,0.18707719445228577,0.25677213072776794,0.2712012231349945,0.3134685158729553
",",0.5201468467712402,0.2261451780796051,0.2126695066690445,1.0000001192092896,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.28617382049560547,0.11016341298818588,0.24225640296936035,0.27714940905570984,0.3087472915649414,0.24108222126960754,0.4946078956127167,0.20582014322280884,0.31091248989105225
and,0.4954058527946472,0.20667199790477753,0.23304784297943115,0.6633074283599854,0.5171257257461548,0.14400269091129303,0.231138214468956,0.3461615741252899,-0.0602874718606472,0.2634124457836151,0.40645647048950195,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.24033623933792114,0.20544172823429108
attacks,0.223388671875,0.2861102223396301,0.2234080582857132,0.25300389528274536,0.2845265567302704,0.31198155879974365,0.18609555065631866,0.17400863766670227,0.014456515200436115,0.105853371322155,0.2005220651626587,0.19946885108947754,0.22183261811733246,0.18891674280166626,0.1404615044593811,0.14532065391540527
part,0.4499994218349457,0.1897825002670288,0.16433914005756378,0.3376222252845764,0.527681291103363,0.165080264210701,0.2814725935459137,0.26684749126434326,-0.05619708076119423,0.14473292231559753,0.3291641175746918,0.3476244807243347,0.1977820098400116,0.452393114566803,0.16026201844215393,0.08557961881160736
of,0.5696388483047485,0.24011005461215973,0.2104933112859726,0.4946078956127167,0.733189046382904,0.16620753705501556,0.25597915053367615,0.3119818866252899,-0.021397603675723076,0.2740761637687683,0.3737983703613281,0.33290785551071167,0.2447618544101715,1.0,0.21305565536022186,0.1826142966747284
the,0.6662389636039734,0.23308201134204865,0.23239798843860626,0.4933079481124878,1.0,0.21364226937294006,0.3233085572719574,0.35928019881248474,-0.11449059844017029,0.2407100945711136,0.39067012071609497,0.42745697498321533,0.23509301245212555,0.733189046382904,0.19095487892627716,0.22068053483963013
