,what,dictionary,contains,a,non-,violent,definition,?
there,0.35085538029670715,0.2450040727853775,0.3203219175338745,0.4214206337928772,0.17258977890014648,0.2024405300617218,0.2667218744754791,0.29405656456947327
have,0.39808809757232666,0.199338898062706,0.35270652174949646,0.338716596364975,0.24523307383060455,0.16504426300525665,0.3240226209163666,0.32991164922714233
been,0.2567804455757141,0.18641994893550873,0.21239565312862396,0.3315402865409851,0.20597314834594727,0.14188794791698456,0.22375765442848206,0.24354910850524902
debates,0.2959657907485962,0.311876118183136,0.20785720646381378,0.25301557779312134,0.16757610440254211,0.17409713566303253,0.361965149641037,0.23877738416194916
as,0.31749409437179565,0.24445785582065582,0.24164676666259766,0.39550232887268066,0.21388085186481476,0.20834365487098694,0.30895569920539856,0.27043893933296204
to,0.455847829580307,0.20776325464248657,0.22413384914398193,0.45503583550453186,0.12268844991922379,0.19071756303310394,0.2924377918243408,0.29463258385658264
whether,0.5516265630722046,0.14944499731063843,0.1632222980260849,0.38829004764556885,0.21351276338100433,0.12481856346130371,0.3595164716243744,0.3150278329849243
civil,0.15091551840305328,0.15444257855415344,0.09888426214456558,0.21693918108940125,0.09952078014612198,0.25602176785469055,0.11440393328666687,0.1494513899087906
disobedience,0.3298627436161041,0.21349599957466125,0.12295499444007874,0.25352153182029724,0.26191169023513794,0.45211172103881836,0.20017720758914948,0.19890835881233215
must,0.30362528562545776,0.10552354902029037,0.22577407956123352,0.3016769587993622,0.1647859513759613,0.1233091726899147,0.2681424915790558,0.23707495629787445
necessarily,0.4277169704437256,0.22575925290584564,0.21442514657974243,0.2749404311180115,0.3025102913379669,0.1828591376543045,0.4245627820491791,0.32468926906585693
be,0.3929833769798279,0.20612336695194244,0.2981097102165222,0.39883795380592346,0.1934346854686737,0.18722368776798248,0.333861380815506,0.3324260413646698
non-violent,0.25295090675354004,0.13030706346035004,0.1346728354692459,0.2797098457813263,0.4323568344116211,0.9102089405059814,0.22566980123519897,0.21288378536701202
.,0.3567904531955719,0.21014665067195892,0.22984972596168518,0.50484299659729,0.1900116503238678,0.2466752529144287,0.2228187918663025,0.4130953550338745
