,when,did,the,bantu,expansion,reach,the,area,from,west-central,africa,?
the,0.5091903209686279,0.34736719727516174,1.0,0.23456738889217377,0.31353142857551575,0.31808504462242126,1.0,0.37834644317626953,0.40150508284568787,0.4039836823940277,0.2903064787387848,0.22068053483963013
african,0.15139542520046234,0.20085735619068146,0.23305515944957733,0.49532097578048706,0.1109684556722641,0.16520924866199493,0.23305515944957733,0.16481193900108337,0.20832249522209167,0.3195997178554535,0.6826803088188171,0.11862778663635254
great,0.2342798113822937,0.2083706259727478,0.2822027802467346,0.1418127864599228,0.21928773820400238,0.176422581076622,0.2822027802467346,0.12584024667739868,0.18041135370731354,0.2709478735923767,0.24199768900871277,0.13135133683681488
lakes,0.19048361480236053,0.13834857940673828,0.26104623079299927,0.17291922867298126,0.20693671703338623,0.16704998910427094,0.26104623079299927,0.3228933811187744,0.1577576845884323,0.33346274495124817,0.2440427541732788,0.12022668123245239
region,0.21040433645248413,0.06474873423576355,0.35020557045936584,0.2594549357891083,0.22423827648162842,0.14626874029636383,0.35020557045936584,0.4801144301891327,0.2132602334022522,0.3776226341724396,0.23408927023410797,0.13441751897335052
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.20856545865535736,0.15777990221977234,0.2441277652978897,0.4933079481124878,0.2664283812046051,0.39760664105415344,0.34070685505867004,0.2545008063316345,0.31091248989105225
which,0.572554349899292,0.2750149369239807,0.6521818041801453,0.17143893241882324,0.2851024270057678,0.2537740468978882,0.6521818041801453,0.3276861011981964,0.38755592703819275,0.31882745027542114,0.23808510601520538,0.25814583897590637
kenya,0.11853623390197754,0.16214214265346527,0.21657514572143555,0.34187376499176025,0.04786863923072815,0.14806605875492096,0.21657514572143555,0.17133374512195587,0.15824314951896667,0.19810102880001068,0.4904056489467621,0.17197901010513306
is,0.3471449911594391,0.19247472286224365,0.5823672413825989,0.15635377168655396,0.16577079892158508,0.2189902812242508,0.5823672413825989,0.29283958673477173,0.27355384826660156,0.31665337085723877,0.18992355465888977,0.22961433231830597
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.20229671895503998,0.21807987987995148,0.19834883511066437,0.5829201340675354,0.2782127559185028,0.322764128446579,0.299888014793396,0.18140724301338196,0.23916715383529663
