,how,did,luther,describe,the,university,of,erfurt,?
in,0.2601168751716614,0.2593238651752472,0.20523880422115326,0.2910135090351105,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.2858373522758484,0.20430970191955566
1501,-0.061893902719020844,-0.07444874942302704,-0.10736945271492004,-0.12832628190517426,-0.0286103505641222,-0.04223603010177612,-0.04724709689617157,0.022149505093693733,-0.04949088394641876
",",0.22659391164779663,0.3015086054801941,0.23255878686904907,0.18910212814807892,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.26545068621635437,0.31091248989105225
at,0.2154216170310974,0.28390252590179443,0.13834704458713531,0.15475328266620636,0.457212895154953,0.30386853218078613,0.42558613419532776,0.2725435197353363,0.21978627145290375
the,0.33890387415885925,0.34736719727516174,0.1759674996137619,0.26495152711868286,1.0,0.263973206281662,0.733189046382904,0.30728837847709656,0.22068053483963013
age,0.17137715220451355,0.1816447526216507,0.15318405628204346,0.10814035683870316,0.24711290001869202,0.21253585815429688,0.2372717410326004,0.10981009900569916,0.16859300434589386
of,0.2480744868516922,0.2513895630836487,0.1719115972518921,0.2764313519001007,0.733189046382904,0.30646374821662903,1.0,0.24919012188911438,0.1826142966747284
19,0.08316059410572052,-0.056934259831905365,-0.005236808676272631,0.0405907928943634,-0.17766842246055603,-0.13556797802448273,-0.18954584002494812,-0.17585453391075134,0.008002291433513165
",",0.22659391164779663,0.3015086054801941,0.23255878686904907,0.18910212814807892,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.26545068621635437,0.31091248989105225
he,0.2594625651836395,0.3292143940925598,0.2454872578382492,0.14869676530361176,0.4571082592010498,0.31377843022346497,0.38706058263778687,0.3044400215148926,0.2089974731206894
entered,0.11919467151165009,0.24553436040878296,0.0916198119521141,0.13169369101524353,0.3258282542228699,0.14966796338558197,0.2438427358865738,0.14284364879131317,0.10335487127304077
the,0.33890387415885925,0.34736719727516174,0.1759674996137619,0.26495152711868286,1.0,0.263973206281662,0.733189046382904,0.30728837847709656,0.22068053483963013
university,0.12992997467517853,0.15114416182041168,0.2046351283788681,0.15607310831546783,0.263973206281662,1.0,0.30646374821662903,0.2470306158065796,0.11887256056070328
of,0.2480744868516922,0.2513895630836487,0.1719115972518921,0.2764313519001007,0.733189046382904,0.30646374821662903,1.0,0.24919012188911438,0.1826142966747284
erfurt,0.1467273235321045,0.18035399913787842,0.3450588285923004,0.07729162275791168,0.30728837847709656,0.2470306158065796,0.24919012188911438,1.0,0.15730193257331848
",",0.22659391164779663,0.3015086054801941,0.23255878686904907,0.18910212814807892,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.26545068621635437,0.31091248989105225
which,0.4852597713470459,0.2750149369239807,0.17501473426818848,0.313366174697876,0.6521818041801453,0.17800195515155792,0.5011631846427917,0.2347228080034256,0.25814583897590637
he,0.2594625651836395,0.3292143940925598,0.2454872578382492,0.14869676530361176,0.4571082592010498,0.31377843022346497,0.38706058263778687,0.3044400215148926,0.2089974731206894
later,0.2534695267677307,0.38386887311935425,0.23796728253364563,0.16864992678165436,0.4060266613960266,0.26517948508262634,0.3458743393421173,0.3087776005268097,0.1417175978422165
described,0.2526073157787323,0.23657096922397614,0.14043772220611572,0.653712809085846,0.2878154516220093,0.13307857513427734,0.297532320022583,0.08507794141769409,0.1374269425868988
as,0.33782753348350525,0.3596470057964325,0.20242992043495178,0.32652774453163147,0.48381632566452026,0.21858684718608856,0.3886612355709076,0.1322377771139145,0.27043893933296204
a,0.29312583804130554,0.2552328109741211,0.17967689037322998,0.3062607944011688,0.5829201340675354,0.20256656408309937,0.5052502155303955,0.217139333486557,0.23916715383529663
beerhouse,0.2105303704738617,0.23036201298236847,0.2902834415435791,0.18261297047138214,0.275527685880661,0.36585140228271484,0.29895079135894775,0.33268338441848755,0.22379226982593536
and,0.33647966384887695,0.34479495882987976,0.20796556770801544,0.24788004159927368,0.5171257257461548,0.2665814459323883,0.5116966962814331,0.26178956031799316,0.20544172823429108
whorehouse,0.24545827507972717,0.22159376740455627,0.28402018547058105,0.12162672728300095,0.31429433822631836,0.33243289589881897,0.27375397086143494,0.17945779860019684,0.2807481586933136
.,0.3287222981452942,0.35288307070732117,0.24907569587230682,0.17917026579380035,0.5934505462646484,0.290679007768631,0.5352458953857422,0.2888825237751007,0.4130953550338745
