,why,does,a,lower,level,of,economic,growth,occur,due,to,high-end,consumption,?
effects,0.20888088643550873,0.2582561671733856,0.20917339622974396,0.16256918013095856,0.17437562346458435,0.21244898438453674,0.25325119495391846,0.2771943509578705,0.3246915936470032,0.3052076995372772,0.2419324368238449,0.22375787794589996,0.3471803069114685,0.16749060153961182
of,0.28464117646217346,0.3119818866252899,0.5052502155303955,0.31757521629333496,0.23504668474197388,1.0,0.3030148148536682,0.2679378092288971,0.24223870038986206,0.2533245384693146,0.41548454761505127,0.3288215100765228,0.249590665102005,0.1826142966747284
inequality,0.25264453887939453,0.24271976947784424,0.1783585250377655,0.260497123003006,0.24342113733291626,0.27910974621772766,0.4401332437992096,0.3248327970504761,0.21080268919467926,0.20805203914642334,0.24361056089401245,0.2865616977214813,0.399875670671463,0.23619021475315094
researchers,0.264701247215271,0.17889507114887238,0.23162437975406647,0.19614183902740479,0.14755968749523163,0.23457743227481842,0.3003608286380768,0.3275001049041748,0.302348792552948,0.15289941430091858,0.320869117975235,0.24211589992046356,0.29635918140411377,0.14480042457580566
have,0.4418443739414215,0.3709583580493927,0.338716596364975,0.2959109842777252,0.28482067584991455,0.3802283704280853,0.18631099164485931,0.2734212279319763,0.37601369619369507,0.2766067385673523,0.4544740617275238,0.3191794753074646,0.2777251899242401,0.32991164922714233
found,0.2321753203868866,0.13407401740550995,0.2869448959827423,0.20702838897705078,0.14395658671855927,0.2982911467552185,0.0887618139386177,0.17911212146282196,0.3248732388019562,0.15563172101974487,0.25225648283958435,0.23685291409492493,0.14520275592803955,0.16790300607681274
include,0.23134571313858032,0.26005542278289795,0.18765322864055634,0.1439075767993927,0.09505061060190201,0.37431180477142334,0.250311940908432,0.18958072364330292,0.26527848839759827,0.19548039138317108,0.1820748895406723,0.2632867693901062,0.21177241206169128,0.14925788342952728
higher,0.17308205366134644,0.32568827271461487,0.2608921229839325,0.5770463347434998,0.46231552958488464,0.3096220791339874,0.20971091091632843,0.24618519842624664,0.26746925711631775,0.22215762734413147,0.3279348313808441,0.5355585813522339,0.27636945247650146,0.15679465234279633
rates,0.19132044911384583,0.27952635288238525,0.24341748654842377,0.33435893058776855,0.3301304876804352,0.2585311233997345,0.26850640773773193,0.4353044331073761,0.31494036316871643,0.3233972489833832,0.25232431292533875,0.3261355757713318,0.4589041471481323,0.13808594644069672
of,0.28464117646217346,0.3119818866252899,0.5052502155303955,0.31757521629333496,0.23504668474197388,1.0,0.3030148148536682,0.2679378092288971,0.24223870038986206,0.2533245384693146,0.41548454761505127,0.3288215100765228,0.249590665102005,0.1826142966747284
