,what,do,other,smaller,venues,of,newcastle,tend,to,feature,?
the,0.42745697498321533,0.30239659547805786,0.44152235984802246,0.3588939607143402,0.28291937708854675,0.733189046382904,0.2253497689962387,0.2505027651786804,0.535392165184021,0.3053930699825287,0.22068053483963013
mill,0.16196684539318085,0.08208240568637848,0.1443091332912445,0.14908328652381897,0.11397802829742432,0.163768470287323,0.20769523084163666,0.08351117372512817,0.20757123827934265,0.058294255286455154,0.11453486233949661
volvo,0.18848219513893127,0.19317787885665894,0.159049853682518,0.18501922488212585,0.16094350814819336,0.2258927822113037,0.2187523990869522,0.06592012196779251,0.24037446081638336,0.14671771228313446,0.19696608185768127
tyne,0.14296641945838928,0.09270419925451279,0.18074655532836914,0.1374581754207611,0.20018434524536133,0.2296384871006012,0.6070957183837891,0.15025503933429718,0.20691312849521637,0.06868916749954224,0.07377036660909653
theatre,0.12211663275957108,0.05377455800771713,0.12831121683120728,0.1401701271533966,0.35186707973480225,0.19807180762290955,0.17483371496200562,0.12754815816879272,0.1744728684425354,0.18386420607566833,0.1159285232424736
hosts,0.07549575716257095,0.17224392294883728,0.2760343551635742,0.193264439702034,0.413009375333786,0.20728319883346558,0.17034777998924255,0.17375926673412323,0.17537491023540497,0.20426684617996216,0.0862068235874176
smaller,0.23730900883674622,0.21029867231845856,0.42919793725013733,1.0000001192092896,0.17153160274028778,0.30439993739128113,0.1261647343635559,0.3261552155017853,0.2597835958003998,0.18814432621002197,0.17881669104099274
touring,0.10975378006696701,0.1073916032910347,0.2211044877767563,0.17612294852733612,0.33574971556663513,0.22376912832260132,0.2111213654279709,0.1343948096036911,0.20041227340698242,0.11801362782716751,0.08766266703605652
productions,0.18529511988162994,0.11583561450242996,0.23149017989635468,0.1461302638053894,0.3258269727230072,0.18559667468070984,0.13494835793972015,0.09474463015794754,0.19399814307689667,0.3129763603210449,0.22681239247322083
",",0.3087472915649414,0.3283645510673523,0.4446498453617096,0.24995659291744232,0.23623239994049072,0.4946078956127167,0.251589834690094,0.21972282230854034,0.44245919585227966,0.22241170704364777,0.31091248989105225
whilst,0.24058668315410614,0.182874396443367,0.24463877081871033,0.17585884034633636,0.21143171191215515,0.24168513715267181,0.2495872527360916,0.2760184407234192,0.353153795003891,0.19120703637599945,0.12100983411073685
other,0.341873437166214,0.34946969151496887,0.9999999403953552,0.42919793725013733,0.2725267708301544,0.38583824038505554,0.1582431048154831,0.3858351707458496,0.4193183183670044,0.26183944940567017,0.24682199954986572
venues,0.14964675903320312,0.12935885787010193,0.2725267708301544,0.17153160274028778,0.9999999403953552,0.23005232214927673,0.20357301831245422,0.13971014320850372,0.26719433069229126,0.2667917013168335,0.1424274891614914
feature,0.23320603370666504,0.1817546933889389,0.26183944940567017,0.18814432621002197,0.2667917013168335,0.2117752879858017,0.06564312428236008,0.21455135941505432,0.25759002566337585,0.9999998807907104,0.2893312871456146
local,0.18981902301311493,0.18505971133708954,0.2676697075366974,0.18072760105133057,0.2365751713514328,0.20668989419937134,0.22142958641052246,0.11641310900449753,0.2207600325345993,0.15193867683410645,0.15022775530815125
talent,0.20876705646514893,0.1693313866853714,0.20549382269382477,0.102220319211483,0.24307897686958313,0.17099088430404663,0.1861027032136917,0.13655635714530945,0.22952765226364136,0.23302799463272095,0.16550226509571075
.,0.3567904531955719,0.3613996207714081,0.41511186957359314,0.24807988107204437,0.22095073759555817,0.5352458953857422,0.2714749276638031,0.21436026692390442,0.4645031690597534,0.25145211815834045,0.4130953550338745
