,what,is,the,highest,level,of,the,umc,?
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.31442487239837646,0.733189046382904,1.0,0.21262750029563904,0.22068053483963013
highest,0.19637788832187653,0.27460670471191406,0.36945265531539917,1.0,0.3755190372467041,0.3223685622215271,0.36945265531539917,0.09092486649751663,0.11527936160564423
level,0.27376922965049744,0.24803997576236725,0.31442487239837646,0.3755190372467041,0.9999998807907104,0.23504668474197388,0.31442487239837646,0.09382687509059906,0.20528386533260345
is,0.28837618231773376,1.0,0.5823672413825989,0.27460670471191406,0.24803997576236725,0.4854315221309662,0.5823672413825989,0.21909049153327942,0.22961433231830597
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.21343322098255157,0.17928017675876617,0.4222904443740845,0.489897221326828,0.22966033220291138,0.18963319063186646
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.31442487239837646,0.733189046382904,1.0,0.21262750029563904,0.22068053483963013
general,0.24928055703639984,0.20144300162792206,0.28634732961654663,0.16025148332118988,0.17045973241329193,0.28352999687194824,0.28634732961654663,0.14920271933078766,0.1972234547138214
conference,0.15329721570014954,0.13909097015857697,0.25393402576446533,0.13324689865112305,0.19722123444080353,0.19579021632671356,0.25393402576446533,0.2516375780105591,0.11172781884670258
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22372882068157196,0.29463574290275574,0.5116966962814331,0.5171257257461548,0.21982228755950928,0.20544172823429108
is,0.28837618231773376,1.0,0.5823672413825989,0.27460670471191406,0.24803997576236725,0.4854315221309662,0.5823672413825989,0.21909049153327942,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.31442487239837646,0.733189046382904,1.0,0.21262750029563904,0.22068053483963013
only,0.41415658593177795,0.44708555936813354,0.5497692227363586,0.25128400325775146,0.25969839096069336,0.49632513523101807,0.5497692227363586,0.23502708971500397,0.2767370045185089
organization,0.22617296874523163,0.20597060024738312,0.311172217130661,0.20538762211799622,0.20523427426815033,0.25438958406448364,0.311172217130661,0.2980722486972809,0.2069297879934311
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.2561801075935364,0.3123716711997986,0.5011631846427917,0.6521818041801453,0.22190320491790771,0.25814583897590637
may,0.25739946961402893,0.322792649269104,0.2694292366504669,0.12394668161869049,0.20910172164440155,0.26447007060050964,0.2694292366504669,0.1511158049106598,0.2768254578113556
speak,0.3106061816215515,0.24546261131763458,0.2565973103046417,0.10987870395183563,0.14015285670757294,0.2317851483821869,0.2565973103046417,0.17990326881408691,0.2619509994983673
officially,0.17107035219669342,0.2830421030521393,0.36343514919281006,0.2238251268863678,0.1192551702260971,0.27491217851638794,0.36343514919281006,0.28170451521873474,0.15603435039520264
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.2320692539215088,0.23426367342472076,0.4185989499092102,0.4739971458911896,0.20637543499469757,0.264628142118454
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.31442487239837646,0.733189046382904,1.0,0.21262750029563904,0.22068053483963013
church,0.1944202184677124,0.203276589512825,0.23846197128295898,0.1251726597547531,0.11508837342262268,0.3079429268836975,0.23846197128295898,0.20494024455547333,0.18081501126289368
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2254713773727417,0.26056769490242004,0.5352458953857422,0.5934505462646484,0.23154163360595703,0.4130953550338745
