,what,are,the,weakly,filled,higher,orbitals,of,oxygen,?
[,0.010752761736512184,0.021565506234765053,0.07130392640829086,-0.09515642374753952,0.10426140576601028,0.07194941490888596,0.033824268728494644,0.010817250236868858,0.10739564150571823,0.011015460826456547
b,0.13329443335533142,0.10115936398506165,0.16891296207904816,0.06849956512451172,-0.03612758591771126,0.13342271745204926,0.18372952938079834,0.22055713832378387,0.10977936536073685,0.1975182741880417
],-0.03775298595428467,-0.02216748520731926,-0.04779602214694023,0.02028718777000904,0.0006612889119423926,-0.058963946998119354,0.07856833189725876,-0.035044461488723755,-0.003092464292421937,-0.0022520492784678936
the,0.42745697498321533,0.40399202704429626,1.0,0.2424534410238266,0.2674119770526886,0.3292480409145355,0.18628978729248047,0.733189046382904,0.20428593456745148,0.22068053483963013
highest,0.19637788832187653,0.16502201557159424,0.36945265531539917,0.08064563572406769,0.07983886450529099,0.5144107937812805,0.18155521154403687,0.3223685622215271,0.1633642315864563,0.11527936160564423
energy,0.190252885222435,0.24820072948932648,0.26756542921066284,0.2091522067785263,0.1946643888950348,0.3268532454967499,0.3633967339992523,0.26257598400115967,0.4261608421802521,0.14860127866268158
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.29835045337677,0.2098689079284668,0.251458078622818,0.2209123820066452,0.4946078956127167,0.21812842786312103,0.31091248989105225
partially,0.24273231625556946,0.3132396340370178,0.27405473589897156,0.38721388578414917,0.2949542999267578,0.19908401370048523,0.24568741023540497,0.23981168866157532,0.20053385198116302,0.10232327878475189
filled,0.17941854894161224,0.27002009749412537,0.2674119770526886,0.1908913254737854,1.0,0.1147795021533966,0.19073213636875153,0.24504315853118896,0.241263747215271,0.1782117635011673
orbitals,0.2508775591850281,0.27703624963760376,0.18628978729248047,0.27451270818710327,0.19073213636875153,0.26476600766181946,1.0,0.21017666161060333,0.3968796730041504,0.20797790586948395
are,0.29724663496017456,1.0,0.40399202704429626,0.3291510045528412,0.27002009749412537,0.2964613437652588,0.27703624963760376,0.39081433415412903,0.24342744052410126,0.24591213464736938
antibonding,0.2299177646636963,0.27310633659362793,0.27316707372665405,0.3344831168651581,0.1545044630765915,0.2919875979423523,0.5824970006942749,0.2757584750652313,0.46442803740501404,0.1791793406009674
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.29835045337677,0.2098689079284668,0.251458078622818,0.2209123820066452,0.4946078956127167,0.21812842786312103,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.2893882989883423,0.28747713565826416,0.3147866129875183,0.23144769668579102,0.5116966962814331,0.22261030972003937,0.20544172823429108
so,0.539469838142395,0.420413613319397,0.4296516180038452,0.4423862099647522,0.3144192099571228,0.36089441180229187,0.30430248379707336,0.3184450566768646,0.3034515082836151,0.43163934350013733
their,0.35142919421195984,0.46887820959091187,0.516537070274353,0.21200570464134216,0.24052222073078156,0.3047930598258972,0.2071402370929718,0.4329940676689148,0.2067125290632248,0.1898253709077835
filling,0.2489190697669983,0.27617883682250977,0.27447065711021423,0.17577701807022095,0.6188884973526001,0.13057899475097656,0.20731206238269806,0.23377564549446106,0.2319445163011551,0.21185900270938873
weakens,0.17970260977745056,0.17861701548099518,0.24481873214244843,0.49699121713638306,0.11471409350633621,0.24069716036319733,0.26288315653800964,0.1867220103740692,0.17574694752693176,0.10328258574008942
the,0.42745697498321533,0.40399202704429626,1.0,0.2424534410238266,0.2674119770526886,0.3292480409145355,0.18628978729248047,0.733189046382904,0.20428593456745148,0.22068053483963013
bond,0.19208040833473206,0.16686198115348816,0.17178761959075928,0.16238129138946533,0.07400854676961899,0.2161388099193573,0.39160433411598206,0.16458465158939362,0.30479973554611206,0.13208535313606262
order,0.16634008288383484,0.22330260276794434,0.3284194767475128,0.13461269438266754,0.14205066859722137,0.2316090315580368,0.17697769403457642,0.31287699937820435,0.18800169229507446,0.13725648820400238
from,0.2737620174884796,0.2674213647842407,0.40150508284568787,0.16828569769859314,0.15158241987228394,0.2177213728427887,0.14028224349021912,0.4249346852302551,0.23457925021648407,0.19969791173934937
three,0.24888746440410614,0.38895705342292786,0.43452659249305725,0.1734778732061386,0.18362681567668915,0.2124238908290863,0.2328975796699524,0.3844621181488037,0.20057295262813568,0.20928427577018738
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.3139072358608246,0.19863495230674744,0.3279348313808441,0.2417067140340805,0.41548454761505127,0.24193501472473145,0.29463258385658264
two,0.23363454639911652,0.46276170015335083,0.43858039379119873,0.24633315205574036,0.20943626761436462,0.24243386089801788,0.29519808292388916,0.37726253271102905,0.22778019309043884,0.19645625352859497
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.28132838010787964,0.2040669023990631,0.2524722218513489,0.25267332792282104,0.5352458953857422,0.2554275095462799,0.4130953550338745
