,to,reduce,the,chances,of,combustion,___,is,required,for,safely,handeling,pure,o,.
steel,0.18879587948322296,0.2068961262702942,0.23159778118133545,0.16105122864246368,0.21713677048683167,0.287641704082489,0.13090568780899048,0.17788487672805786,0.232559472322464,0.2408265471458435,0.1663004755973816,0.20846295356750488,0.21627472341060638,0.1458836942911148,0.21769289672374725
pipes,0.2517993748188019,0.312663733959198,0.21330536901950836,0.21485315263271332,0.1556324064731598,0.3627987802028656,0.1457889974117279,0.20837338268756866,0.16045168042182922,0.25363650918006897,0.22075015306472778,0.3192359507083893,0.21775099635124207,0.11509494483470917,0.23103192448616028
and,0.48971283435821533,0.2456025630235672,0.5171257257461548,0.31288644671440125,0.5116966962814331,0.21818570792675018,0.27950772643089294,0.3859752118587494,0.25104308128356934,0.5064792633056641,0.27500662207603455,0.2706626355648041,0.2798963785171509,0.2051020711660385,0.588965117931366
storage,0.2797470688819885,0.26804816722869873,0.22913692891597748,0.17647486925125122,0.24337847530841827,0.37861016392707825,0.16065439581871033,0.23896168172359467,0.3043448328971863,0.2736855447292328,0.22709546983242035,0.3025008738040924,0.15472617745399475,0.04044133797287941,0.14469996094703674
vessels,0.21986442804336548,0.26497694849967957,0.2874694764614105,0.23433148860931396,0.23589366674423218,0.32650861144065857,0.1082867830991745,0.1639316976070404,0.226436585187912,0.15615026652812958,0.27254050970077515,0.22360728681087494,0.12643347680568695,0.13635218143463135,0.17611970007419586
used,0.40058770775794983,0.3338667154312134,0.3718377649784088,0.241182342171669,0.3075267970561981,0.3667973577976227,0.2046900987625122,0.3288823366165161,0.39368924498558044,0.4236139953136444,0.226065993309021,0.25875335931777954,0.30671048164367676,0.11275003105401993,0.33111312985420227
to,1.0,0.35182690620422363,0.535392165184021,0.3493832051753998,0.41548454761505127,0.21775685250759125,0.28368300199508667,0.42745086550712585,0.3613971471786499,0.4451248347759247,0.40653085708618164,0.27512964606285095,0.2610398232936859,0.1644444614648819,0.4645031690597534
store,0.303510457277298,0.212775319814682,0.2639283239841461,0.14804570376873016,0.21870145201683044,0.25571689009666443,0.14439257979393005,0.24926087260246277,0.1634141355752945,0.24443665146827698,0.17083141207695007,0.2114349901676178,0.0636061429977417,0.13313153386116028,0.2638673484325409
and,0.48971283435821533,0.2456025630235672,0.5171257257461548,0.31288644671440125,0.5116966962814331,0.21818570792675018,0.27950772643089294,0.3859752118587494,0.25104308128356934,0.5064792633056641,0.27500662207603455,0.2706626355648041,0.2798963785171509,0.2051020711660385,0.588965117931366
transmit,0.22685226798057556,0.31250104308128357,0.2503734529018402,0.21172183752059937,0.20769038796424866,0.36252206563949585,0.2677265703678131,0.20121359825134277,0.19079916179180145,0.20460611581802368,0.1760181337594986,0.2318243682384491,0.0839277133345604,0.05115626007318497,0.20934782922267914
both,0.3897709250450134,0.24423643946647644,0.4931981563568115,0.3507698178291321,0.3565710783004761,0.2529316544532776,0.22775985300540924,0.31409940123558044,0.27342280745506287,0.3887220323085785,0.2721605598926544,0.2300070971250534,0.14245563745498657,0.19223138689994812,0.42281273007392883
