,what,is,justifying,grace,also,known,as,today,?
today,0.3814660608768463,0.3404538929462433,0.15943969786167145,0.08772848546504974,0.44338786602020264,0.33643534779548645,0.33237552642822266,1.0000001192092896,0.17338968813419342
",",0.3087472915649414,0.4691906273365021,0.2573125660419464,0.2696996033191681,0.4717654287815094,0.3604377806186676,0.48816442489624023,0.3282252550125122,0.31091248989105225
justifying,0.43036285042762756,0.17693863809108734,1.0,0.24163131415843964,0.20953510701656342,0.1787286251783371,0.2885998785495758,0.15943969786167145,0.43052729964256287
grace,0.16722138226032257,0.17061445116996765,0.24163131415843964,1.0,0.1605507880449295,0.12664222717285156,0.17881780862808228,0.08772848546504974,0.16775278747081757
is,0.28837618231773376,1.0,0.17693863809108734,0.17061445116996765,0.5012649297714233,0.41921812295913696,0.43216490745544434,0.3404538929462433,0.22961433231830597
also,0.42747777700424194,0.5012649297714233,0.20953510701656342,0.1605507880449295,1.0000001192092896,0.4766203761100769,0.5774298906326294,0.44338786602020264,0.21848613023757935
known,0.20381177961826324,0.41921812295913696,0.1787286251783371,0.12664222717285156,0.4766203761100769,1.0,0.4815765619277954,0.33643534779548645,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.2885998785495758,0.17881780862808228,0.5774298906326294,0.4815765619277954,1.0,0.33237552642822266,0.27043893933296204
conversion,0.21660274267196655,0.24206408858299255,0.2582821547985077,0.1585133969783783,0.20392635464668274,0.11582394689321518,0.2696652412414551,0.14606589078903198,0.1924358606338501
",",0.3087472915649414,0.4691906273365021,0.2573125660419464,0.2696996033191681,0.4717654287815094,0.3604377806186676,0.48816442489624023,0.3282252550125122,0.31091248989105225
``,0.008517155423760414,0.058766357600688934,0.1198989748954773,-0.010277505964040756,0.000636551936622709,0.00922766886651516,0.03910288214683533,0.036287181079387665,0.0685480609536171
accepting,0.34480366110801697,0.13422909379005432,0.39724019169807434,0.17163637280464172,0.25112229585647583,0.2032586932182312,0.31431183218955994,0.24398374557495117,0.2116347998380661
jesus,0.307744562625885,0.18866516649723053,0.26853594183921814,0.2662196755409241,0.1983538120985031,0.11761701852083206,0.18451310694217682,0.158399760723114,0.19975169003009796
as,0.31749409437179565,0.43216490745544434,0.2885998785495758,0.17881780862808228,0.5774298906326294,0.4815765619277954,1.0,0.33237552642822266,0.27043893933296204
your,0.4207797646522522,0.23122729361057281,0.3606506586074829,0.27297884225845337,0.29064276814460754,0.12887270748615265,0.22067010402679443,0.1664927899837494,0.41889458894729614
personal,0.3188508450984955,0.11115145683288574,0.3003319203853607,0.24335697293281555,0.22686348855495453,0.12089374661445618,0.175374835729599,0.17293433845043182,0.206199511885643
lord,0.15077504515647888,0.14423592388629913,0.15516453981399536,0.29457199573516846,0.17240314185619354,0.14128296077251434,0.18802540004253387,0.1290491819381714,0.09544310718774796
and,0.31309178471565247,0.3859752118587494,0.2349795401096344,0.21748536825180054,0.5755972862243652,0.3468935489654541,0.49487000703811646,0.37503334879875183,0.20544172823429108
savior,0.30994105339050293,0.2569485008716583,0.24523963034152985,0.33813604712486267,0.3232000470161438,0.22349779307842255,0.25722554326057434,0.1650959998369217,0.17049013078212738
",",0.3087472915649414,0.4691906273365021,0.2573125660419464,0.2696996033191681,0.4717654287815094,0.3604377806186676,0.48816442489624023,0.3282252550125122,0.31091248989105225
'',0.08143015950918198,0.0793738141655922,0.06456871330738068,-0.03233484551310539,0.05102188512682915,0.06905213743448257,0.006628023460507393,0.005411121994256973,0.018684765323996544
or,0.33867141604423523,0.41870999336242676,0.3536773920059204,0.12373790889978409,0.46319106221199036,0.2710355222225189,0.4400654137134552,0.2427249252796173,0.32389625906944275
being,0.3760843276977539,0.4445112943649292,0.3812030255794525,0.1982395499944687,0.45938754081726074,0.24268263578414917,0.46524563431739807,0.2885189950466156,0.26743772625923157
``,0.008517155423760414,0.058766357600688934,0.1198989748954773,-0.010277505964040756,0.000636551936622709,0.00922766886651516,0.03910288214683533,0.036287181079387665,0.0685480609536171
born,0.16581368446350098,0.2600996494293213,0.07534146308898926,0.21203002333641052,0.27652594447135925,0.3922918140888214,0.2520121932029724,0.1927737593650818,0.19166848063468933
again,0.3921525180339813,0.2348884791135788,0.19386756420135498,0.2345181107521057,0.3939340114593506,0.10394146293401718,0.33001670241355896,0.2637636661529541,0.2679590880870819
'',0.08143015950918198,0.0793738141655922,0.06456871330738068,-0.03233484551310539,0.05102188512682915,0.06905213743448257,0.006628023460507393,0.005411121994256973,0.018684765323996544
.,0.3567904531955719,0.4569662809371948,0.22618795931339264,0.22931961715221405,0.49166762828826904,0.283290296792984,0.515582263469696,0.30348071455955505,0.4130953550338745
