,how,much,money,did,dillon,",",read,&,co,offer,mark,woods,for,nbc,blue,?
investment,0.20220409333705902,0.2809155285358429,0.5758501887321472,0.17448295652866364,0.20149974524974823,0.2384718954563141,0.12550164759159088,0.12976451218128204,0.20717036724090576,0.3040190041065216,0.12266909331083298,0.12287735939025879,0.2421431541442871,0.23649120330810547,0.0865631103515625,0.17811161279678345
firm,0.14827068150043488,0.1563820242881775,0.26667922735214233,0.1511942446231842,0.22910955548286438,0.21962358057498932,0.09891677647829056,0.23477216064929962,0.15890878438949585,0.2585376501083374,0.13210779428482056,0.16227209568023682,0.1946931630373001,0.24933527410030365,0.060879625380039215,0.08762375265359879
dillon,0.15142306685447693,0.1360737681388855,0.19633299112319946,0.22915032505989075,1.0000001192092896,0.29365456104278564,0.10762158781290054,0.19608166813850403,0.20735511183738708,0.2384635955095291,0.2749963700771332,0.26886042952537537,0.20479454100131989,0.29340124130249023,0.097213976085186,0.17064180970191956
",",0.22659391164779663,0.36182254552841187,0.24156853556632996,0.3015086054801941,0.29365456104278564,1.0000001192092896,0.26081135869026184,0.2516871392726898,0.22721807658672333,0.2830800712108612,0.2642361521720886,0.2992924749851227,0.4464869201183319,0.17508727312088013,0.23822021484375,0.31091248989105225
read,0.3989526331424713,0.3367243707180023,0.18938438594341278,0.2702803909778595,0.10762158781290054,0.26081135869026184,1.0,0.052151598036289215,0.1294844150543213,0.32795387506484985,0.2431311309337616,0.17057180404663086,0.26768913865089417,0.08146798610687256,0.15053407847881317,0.30917879939079285
&,0.1377509981393814,0.07631460577249527,0.09475331008434296,0.160298690199852,0.19608166813850403,0.2516871392726898,0.052151598036289215,0.9999998807907104,0.22056622803211212,0.1427270770072937,0.11746809631586075,0.08140351623296738,0.15479104220867157,0.20783045887947083,0.13568058609962463,0.12596383690834045
co.,0.20664231479167938,0.23542146384716034,0.22492247819900513,0.15557317435741425,0.27210912108421326,0.2790045142173767,0.16372022032737732,0.10104633867740631,0.390634149312973,0.1253487914800644,0.15711107850074768,0.28376826643943787,0.19402846693992615,0.24071229994297028,0.2226666361093521,0.10775839537382126
(,0.1676948219537735,0.21788647770881653,0.14543579518795013,0.18979617953300476,0.2727316915988922,0.6363511681556702,0.1900641918182373,0.21434709429740906,0.21426981687545776,0.17126749455928802,0.24017108976840973,0.15803395211696625,0.3357032239437103,0.19500088691711426,0.25301891565322876,0.40561532974243164
which,0.4852597713470459,0.4274604916572571,0.2905809283256531,0.2750149369239807,0.17085735499858856,0.3658004403114319,0.2771969437599182,0.16294614970684052,0.20025289058685303,0.25176212191581726,0.1689654439687729,0.2251991480588913,0.44095608592033386,0.17917364835739136,0.28615784645080566,0.25814583897590637
was,0.16678167879581451,0.2580166161060333,0.26597723364830017,0.41399896144866943,0.28835245966911316,0.45456063747406006,0.20066320896148682,0.12134000658988953,0.20617061853408813,0.1559375524520874,0.19058461487293243,0.2265947014093399,0.3863949179649353,0.251334547996521,0.15539668500423431,0.18412111699581146
later,0.2534695267677307,0.2834562659263611,0.23501525819301605,0.38386887311935425,0.2461104840040207,0.35016918182373047,0.18847724795341492,0.1510971635580063,0.17819267511367798,0.27238646149635315,0.20860441029071808,0.2113792449235916,0.3573088049888611,0.2201584279537201,0.15683458745479584,0.1417175978422165
acquired,0.11872366070747375,0.11464312672615051,0.18234670162200928,0.13529880344867706,0.1359528750181198,0.19564154744148254,0.13280320167541504,0.09193792939186096,0.1622762233018875,0.23163771629333496,0.09671276062726974,0.1279430240392685,0.13643644750118256,0.11396524310112,0.08633635938167572,0.09366346150636673
by,0.34370526671409607,0.24959969520568848,0.2333964854478836,0.18574509024620056,0.19573450088500977,0.3680937886238098,0.20275580883026123,0.17475149035453796,0.2048637568950653,0.15273679792881012,0.26215243339538574,0.19302546977996826,0.3248702883720398,0.16605262458324432,0.18874850869178772,0.17966607213020325
