,what,is,the,largest,sensory,feature,of,the,ctenophora,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.22443465888500214,0.3053930699825287,0.733189046382904,1.0,0.2430446892976761,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.11994374543428421,0.16013316810131073,0.36650770902633667,0.3757036626338959,0.23668429255485535,0.12401245534420013
single,0.24458327889442444,0.27151715755462646,0.29338565468788147,0.18855375051498413,0.18482372164726257,0.2697334587574005,0.22455744445323944,0.29338565468788147,0.21199987828731537,0.2151121199131012
sensory,0.25429636240005493,0.17710483074188232,0.22443465888500214,0.11994374543428421,1.0,0.21922922134399414,0.2043476402759552,0.22443465888500214,0.3731822371482849,0.13986726105213165
feature,0.23320603370666504,0.2553035318851471,0.3053930699825287,0.16013316810131073,0.21922922134399414,0.9999998807907104,0.2117752879858017,0.3053930699825287,0.24518732726573944,0.2893312871456146
is,0.28837618231773376,1.0,0.5823672413825989,0.3413417339324951,0.17710483074188232,0.2553035318851471,0.4854315221309662,0.5823672413825989,0.20774365961551666,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.22443465888500214,0.3053930699825287,0.733189046382904,1.0,0.2430446892976761,0.22068053483963013
aboral,0.3328080177307129,0.1954440027475357,0.24541665613651276,0.1332956850528717,0.3205251693725586,0.15326273441314697,0.27554333209991455,0.24541665613651276,0.34871211647987366,0.24511504173278809
organ,0.1739589422941208,0.15513595938682556,0.2017442286014557,0.12198399752378464,0.35882797837257385,0.14094968140125275,0.22419366240501404,0.2017442286014557,0.30802878737449646,0.15820808708667755
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.14214102923870087,0.19058150053024292,0.1903994381427765,0.35032153129577637,0.33289089798927307,0.21480697393417358,0.40561532974243164
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.17044749855995178,0.15924081206321716,0.20065684616565704,0.42558613419532776,0.457212895154953,0.10954401642084122,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.22443465888500214,0.3053930699825287,0.733189046382904,1.0,0.2430446892976761,0.22068053483963013
opposite,0.2760887145996094,0.34369879961013794,0.2730693221092224,0.11022916436195374,0.23264335095882416,0.19691766798496246,0.2534274458885193,0.2730693221092224,0.18777833878993988,0.0778411254286766
end,0.29234179854393005,0.2179071456193924,0.39658910036087036,0.10196071863174438,0.19302593171596527,0.12306880205869675,0.2215006798505783,0.39658910036087036,0.14917384088039398,0.12543344497680664
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.20374812185764313,0.15068407356739044,0.16614282131195068,0.4249346852302551,0.40150508284568787,0.1317715346813202,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.22443465888500214,0.3053930699825287,0.733189046382904,1.0,0.2430446892976761,0.22068053483963013
mouth,0.18337541818618774,0.2722901999950409,0.3073960244655609,0.16800129413604736,0.3073005974292755,0.17130795121192932,0.2183857262134552,0.3073960244655609,0.21993492543697357,0.21761061251163483
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1570781171321869,0.18415692448616028,0.1909548044204712,0.3680361211299896,0.3456730246543884,0.20206139981746674,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.19816642999649048,0.25145211815834045,0.5352458953857422,0.5934505462646484,0.24174925684928894,0.4130953550338745
