,what,was,thoreau,'s,punishment,for,not,paying,his,taxes,?
before,0.3801657259464264,0.38607707619667053,0.15575312077999115,-0.01158253662288189,0.21331274509429932,0.44347289204597473,0.391257107257843,0.23936378955841064,0.358011394739151,0.1961369514465332,0.2507109045982361
thoreau,0.3263375163078308,0.263746052980423,1.0,0.09148705005645752,0.23526616394519806,0.21023771166801453,0.29043129086494446,0.16627804934978485,0.3740163743495941,0.2823079228401184,0.1922200322151184
’,-0.01733604073524475,0.023636873811483383,0.07862099260091782,-0.1203070729970932,0.06093418970704079,-0.02041393518447876,-0.03682378679513931,0.008917773142457008,0.02937331423163414,-0.054865505546331406,0.045561522245407104
s,0.3634900748729706,0.3674983084201813,0.2579590380191803,0.05719660595059395,0.17749719321727753,0.29884564876556396,0.312139630317688,0.1737612634897232,0.5026353597640991,0.13839095830917358,0.25130221247673035
imprisonment,0.16481763124465942,0.2781297266483307,0.22506572306156158,0.04197356477379799,0.5191049575805664,0.27587834000587463,0.1804126501083374,0.2885741889476776,0.33144551515579224,0.29797568917274475,0.13416679203510284
",",0.3087472915649414,0.45456063747406006,0.3388298749923706,-0.0016132977325469255,0.2216428816318512,0.4464869201183319,0.3769696354866028,0.19851309061050415,0.3378419280052185,0.2147572934627533,0.31091248989105225
when,0.4700249433517456,0.37326499819755554,0.25455182790756226,-0.03368149697780609,0.27127915620803833,0.43402108550071716,0.4799930453300476,0.2717212438583374,0.37120407819747925,0.23374195396900177,0.22841128706932068
a,0.3320399522781372,0.4508470594882965,0.25918325781822205,0.04866964742541313,0.1934642344713211,0.44038116931915283,0.3791346549987793,0.21821339428424835,0.3497250974178314,0.19554322957992554,0.23916715383529663
confused,0.3294311761856079,0.1894293576478958,0.22543339431285858,-0.01407732255756855,0.16558395326137543,0.19681625068187714,0.34891068935394287,0.2092808336019516,0.16028140485286713,0.07148419320583344,0.20451921224594116
taxman,0.20532892644405365,0.331788569688797,0.3621531128883362,0.038656190037727356,0.21025533974170685,0.3079831004142761,0.18533359467983246,0.3641500473022461,0.3384033143520355,0.4734745919704437,0.23942914605140686
had,0.23849567770957947,0.5927209258079529,0.24402360618114471,-0.004401352722197771,0.22191086411476135,0.3270139992237091,0.3714721202850342,0.31311213970184326,0.4401516616344452,0.2313413769006729,0.20728366076946259
wondered,0.48751917481422424,0.333610475063324,0.23019684851169586,-0.013150324113667011,0.2613012492656708,0.253823459148407,0.4010976254940033,0.21217021346092224,0.27865326404571533,0.16162680089473724,0.3926749527454376
aloud,0.36041581630706787,0.2191999852657318,0.25537189841270447,0.04179251194000244,0.1817229986190796,0.24192190170288086,0.3154723346233368,0.22122231125831604,0.24811114370822906,0.17967389523983002,0.30062806606292725
about,0.47976887226104736,0.2577359974384308,0.33765551447868347,-0.020936643704771996,0.18098928034305573,0.3312419354915619,0.36646416783332825,0.27625226974487305,0.24169853329658508,0.1787765473127365,0.302409827709198
how,0.6468034982681274,0.16678167879581451,0.2905823290348053,-0.026164190843701363,0.2668728828430176,0.3308170735836029,0.4869767427444458,0.2116144448518753,0.24614305794239044,0.23697666823863983,0.4024120569229126
to,0.455847829580307,0.3636345863342285,0.3212342858314514,0.03782717138528824,0.208286851644516,0.4451248347759247,0.5149973034858704,0.271638423204422,0.3715193271636963,0.2727338671684265,0.29463258385658264
handle,0.2843582332134247,0.09276826679706573,0.14273357391357422,-0.05263637751340866,0.1536312699317932,0.33962011337280273,0.3125542402267456,0.19310031831264496,0.06675540655851364,0.13828341662883759,0.3016141355037689
his,0.26976513862609863,0.4405253231525421,0.3740163743495941,0.047556519508361816,0.25519201159477234,0.39312878251075745,0.2710725963115692,0.27161166071891785,0.9999998807907104,0.20793516933918,0.18075084686279297
refusal,0.3242574632167816,0.21255949139595032,0.32672572135925293,-0.04520120099186897,0.3224122226238251,0.2880827784538269,0.3706565201282501,0.2801070809364319,0.32034581899642944,0.3353584408760071,0.21465960144996643
