,the,door,on,the,block,ii,design,was,eventually,replaced,with,what,kind,of,model,?
the,1.0,0.23557746410369873,0.5107308030128479,1.0,0.20056472718715668,0.2631464898586273,0.27913451194763184,0.48711544275283813,0.42022404074668884,0.2645455598831177,0.4223487675189972,0.42745697498321533,0.2516445517539978,0.733189046382904,0.14028635621070862,0.22068053483963013
block,0.20056472718715668,0.1683190017938614,0.27317050099372864,0.20056472718715668,1.0,0.09797373414039612,0.20312203466892242,0.1182115375995636,0.12211320549249649,0.12450903654098511,0.17197369039058685,0.33229514956474304,0.23376570641994476,0.1477721929550171,0.10883403569459915,0.27211859822273254
ii,0.2631464898586273,0.1565651148557663,0.1556067317724228,0.2631464898586273,0.09797373414039612,0.9999999403953552,0.1459496021270752,0.25630512833595276,0.21821008622646332,0.1616344302892685,0.22142726182937622,0.13866674900054932,0.11766240745782852,0.2844806909561157,0.10337719321250916,0.11928234249353409
design,0.27913451194763184,0.26529762148857117,0.21461689472198486,0.27913451194763184,0.20312203466892242,0.1459496021270752,1.0000001192092896,0.2780803442001343,0.19644328951835632,0.21739596128463745,0.17779715359210968,0.23893405497074127,0.20948083698749542,0.2522938847541809,0.3251284658908844,0.16351860761642456
already,0.34582915902137756,0.20547322928905487,0.33709290623664856,0.34582915902137756,0.22320246696472168,0.14840978384017944,0.2223779410123825,0.35964685678482056,0.39991074800491333,0.27721893787384033,0.34823688864707947,0.4530037045478821,0.20184151828289032,0.27917540073394775,0.18663106858730316,0.3477933406829834
called,0.489897221326828,0.18039706349372864,0.25462663173675537,0.489897221326828,0.12540686130523682,0.214289128780365,0.1807677447795868,0.33927658200263977,0.2138444036245346,0.30222854018211365,0.3139074146747589,0.3235960602760315,0.3711110055446625,0.4222904443740845,0.14710690081119537,0.18963319063186646
for,0.4739971458911896,0.15938201546669006,0.36199691891670227,0.4739971458911896,0.2480357587337494,0.11304846405982971,0.2477298229932785,0.3863949179649353,0.3156387209892273,0.1929672509431839,0.39140474796295166,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.17261183261871338,0.264628142118454
replacement,0.27791428565979004,0.20132921636104584,0.2629721164703369,0.27791428565979004,0.1486898511648178,0.17525559663772583,0.3274126350879669,0.24185067415237427,0.23232924938201904,0.6563886404037476,0.25029611587524414,0.19443123042583466,0.22006934881210327,0.18200843036174774,0.26447543501853943,0.14126648008823395
of,0.733189046382904,0.1459992229938507,0.3966929316520691,0.733189046382904,0.1477721929550171,0.2844806909561157,0.2522938847541809,0.4069072902202606,0.313495934009552,0.20067165791988373,0.41827285289764404,0.33290785551071167,0.2285657674074173,1.0,0.18271391093730927,0.1826142966747284
the,1.0,0.23557746410369873,0.5107308030128479,1.0,0.20056472718715668,0.2631464898586273,0.27913451194763184,0.48711544275283813,0.42022404074668884,0.2645455598831177,0.4223487675189972,0.42745697498321533,0.2516445517539978,0.733189046382904,0.14028635621070862,0.22068053483963013
block,0.20056472718715668,0.1683190017938614,0.27317050099372864,0.20056472718715668,1.0,0.09797373414039612,0.20312203466892242,0.1182115375995636,0.12211320549249649,0.12450903654098511,0.17197369039058685,0.33229514956474304,0.23376570641994476,0.1477721929550171,0.10883403569459915,0.27211859822273254
i,0.26687872409820557,0.1594681590795517,0.238076314330101,0.26687872409820557,0.329783171415329,0.43923601508140564,0.16399571299552917,0.23566235601902008,0.22402380406856537,0.15781041979789734,0.2640714943408966,0.4411132335662842,0.18014563620090485,0.25849398970603943,0.08185365796089172,0.4695145785808563
plug-type,0.2906744182109833,0.25094762444496155,0.2077683061361313,0.2906744182109833,0.25250735878944397,0.14548854529857635,0.3023938238620758,0.15361614525318146,0.1684274822473526,0.2186545878648758,0.22521385550498962,0.273453950881958,0.40542325377464294,0.20879213511943817,0.23362144827842712,0.3171617388725281
hatch,0.16707484424114227,0.30712607502937317,0.18418148159980774,0.16707484424114227,0.08208683878183365,0.1166277527809143,0.12788300216197968,0.13775882124900818,0.20672698318958282,0.15854251384735107,0.13081426918506622,0.15176834166049957,0.07669928669929504,0.16623900830745697,0.19383546710014343,0.20584222674369812
cover,0.26727065443992615,0.1601864993572235,0.3228342533111572,0.26727065443992615,0.1985136717557907,0.09352412074804306,0.17713338136672974,0.188062384724617,0.18744532763957977,0.21339499950408936,0.3031909763813019,0.19970405101776123,0.21347187459468842,0.26416900753974915,0.15255209803581238,0.18414615094661713
with,0.4223487675189972,0.16260670125484467,0.40749499201774597,0.4223487675189972,0.17197369039058685,0.22142726182937622,0.17779715359210968,0.27411898970603943,0.32133352756500244,0.24342618882656097,0.9999999403953552,0.2464839518070221,0.2680599093437195,0.41827285289764404,0.120089091360569,0.2433311939239502
a,0.5829201340675354,0.24844230711460114,0.3848365545272827,0.5829201340675354,0.2515272796154022,0.2111874669790268,0.25211480259895325,0.4508470594882965,0.28132501244544983,0.20298108458518982,0.3783375024795532,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.29218459129333496,0.23916715383529663
quick-release,0.3313945233821869,0.24992823600769043,0.3101770281791687,0.3313945233821869,0.2876131534576416,0.1748444139957428,0.22004835307598114,0.23814059793949127,0.24099691212177277,0.18452082574367523,0.2516602575778961,0.25509217381477356,0.2638093829154968,0.23875020444393158,0.1923844814300537,0.2858390808105469
",",0.4933079481124878,0.1610245406627655,0.49057599902153015,0.4933079481124878,0.24290941655635834,0.27159881591796875,0.19350415468215942,0.45456063747406006,0.262137234210968,0.21472671627998352,0.4120737314224243,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.244965597987175,0.31091248989105225
outward,0.2783689498901367,0.19285807013511658,0.22947001457214355,0.2783689498901367,0.2031720131635666,0.06399562209844589,0.23312348127365112,0.14251519739627838,0.2835816740989685,0.14005526900291443,0.1918671727180481,0.21790125966072083,0.173803448677063,0.22264739871025085,0.12202262878417969,0.1348779797554016
opening,0.37298497557640076,0.341085284948349,0.2229088544845581,0.37298497557640076,0.1779993176460266,0.1778099536895752,0.17050305008888245,0.20817555487155914,0.18961220979690552,0.13904868066310883,0.20575091242790222,0.18146683275699615,0.14731603860855103,0.2651100158691406,0.07717598974704742,0.16502447426319122
door,0.23557746410369873,0.9999999403953552,0.16448314487934113,0.23557746410369873,0.1683190017938614,0.1565651148557663,0.26529762148857117,0.1678711622953415,0.18480689823627472,0.14663104712963104,0.16260670125484467,0.20838408172130585,0.14702576398849487,0.1459992229938507,0.2437201589345932,0.17460282146930695
.,0.5934505462646484,0.21004024147987366,0.49257001280784607,0.5934505462646484,0.24829226732254028,0.27393630146980286,0.24995818734169006,0.40146201848983765,0.3220598101615906,0.2553439438343048,0.4446153938770294,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.1938832700252533,0.4130953550338745
