,what,time,period,did,the,geoglyphs,date,back,to,?
since,0.29783400893211365,0.4138842225074768,0.27205467224121094,0.27613121271133423,0.4054957628250122,0.13051959872245789,0.3124271631240845,0.31183943152427673,0.3733763098716736,0.2876587212085724
the,0.42745697498321533,0.43061500787734985,0.3125074505805969,0.34736719727516174,1.0,0.28739407658576965,0.25333094596862793,0.3612101674079895,0.535392165184021,0.22068053483963013
1970s,-0.020239217206835747,-0.010914301499724388,0.025706563144922256,0.08396200090646744,0.004102230537682772,-0.01895171031355858,-0.054467298090457916,0.07536470890045166,0.06756533682346344,0.03861190751194954
",",0.3087472915649414,0.3029961884021759,0.25030651688575745,0.3015086054801941,0.4933079481124878,0.24075524508953094,0.2279704213142395,0.3066370487213135,0.44245919585227966,0.31091248989105225
numerous,0.1867249608039856,0.20277075469493866,0.19472281634807587,0.18944735825061798,0.3353725075721741,0.23369291424751282,0.11252154409885406,0.1829809546470642,0.23493526875972748,0.0875130444765091
geoglyphs,0.27937066555023193,0.23036393523216248,0.3075212836265564,0.13822196424007416,0.28739407658576965,1.0,0.2555435001850128,0.1711946427822113,0.20707105100154877,0.21607805788516998
have,0.39808809757232666,0.3659670352935791,0.24354155361652374,0.3783526122570038,0.40389683842658997,0.32899144291877747,0.16938146948814392,0.33593064546585083,0.4544740617275238,0.32991164922714233
been,0.2567804455757141,0.3667145073413849,0.22201748192310333,0.2835664749145508,0.3563927710056305,0.2337958961725235,0.24611972272396088,0.2744540572166443,0.34945759177207947,0.24354910850524902
discovered,0.19526781141757965,0.17829641699790955,0.23304255306720734,0.22983382642269135,0.27493247389793396,0.2759598195552826,0.1663178950548172,0.17877843976020813,0.17764629423618317,0.08452875912189484
on,0.34226128458976746,0.30044233798980713,0.16633686423301697,0.2670976221561432,0.5107308030128479,0.20877650380134583,0.21806180477142334,0.3159608244895935,0.41031414270401,0.2714994251728058
deforested,0.20958958566188812,0.22957845032215118,0.1587834656238556,0.18215380609035492,0.2549322545528412,0.23187406361103058,0.13151708245277405,0.16290037333965302,0.23819011449813843,0.14068925380706787
land,0.23411516845226288,0.2103595733642578,0.19874846935272217,0.19881628453731537,0.28587454557418823,0.2769302725791931,0.10435651987791061,0.24449168145656586,0.2885280251502991,0.1432059109210968
dating,0.19090399146080017,0.2508623003959656,0.31831052899360657,0.11552589386701584,0.23401090502738953,0.28627198934555054,0.4261505901813507,0.29706963896751404,0.17611581087112427,0.1135709211230278
between,0.2462156116962433,0.2893446385860443,0.2825007140636444,0.16542956233024597,0.39067012071609497,0.18767867982387543,0.14448493719100952,0.22890092432498932,0.3639189600944519,0.12887074053287506
ad,0.27659884095191956,0.21068806946277618,0.2208026945590973,0.13482767343521118,0.24233382940292358,0.22344695031642914,0.27030983567237854,0.14604689180850983,0.1555420160293579,0.20824462175369263
0–1250,-0.016072919592261314,-0.03791795298457146,0.16416887938976288,-0.06927789002656937,0.09619086235761642,0.2015584409236908,0.0006368726608343422,0.07509627193212509,-0.03123703971505165,0.007967631332576275
",",0.3087472915649414,0.3029961884021759,0.25030651688575745,0.3015086054801941,0.4933079481124878,0.24075524508953094,0.2279704213142395,0.3066370487213135,0.44245919585227966,0.31091248989105225
furthering,0.3299822509288788,0.23583312332630157,0.27775245904922485,0.2120060920715332,0.3398258090019226,0.32265233993530273,0.20981284976005554,0.2505037188529968,0.3809506893157959,0.18987780809402466
claims,0.2397100329399109,0.16289874911308289,0.097518689930439,0.2474527209997177,0.24698559939861298,0.16817356646060944,0.2281680405139923,0.2167709916830063,0.27401837706565857,0.18741291761398315
about,0.47976887226104736,0.305572509765625,0.24550940096378326,0.28723078966140747,0.37995871901512146,0.22743993997573853,0.2283526062965393,0.2939218282699585,0.391953706741333,0.302409827709198
pre-columbian,0.26110967993736267,0.26487427949905396,0.27514445781707764,0.19872026145458221,0.3354031443595886,0.37367215752601624,0.21299955248832703,0.12040700763463974,0.19598713517189026,0.1626415103673935
civilizations,0.2542833983898163,0.30094262957572937,0.2955189347267151,0.18262246251106262,0.3179224133491516,0.48926350474357605,0.15970075130462646,0.147810697555542,0.24107220768928528,0.192657008767128
.,0.3567904531955719,0.371569961309433,0.2575049102306366,0.35288307070732117,0.5934505462646484,0.2285386323928833,0.2508279085159302,0.3154444992542267,0.4645031690597534,0.4130953550338745
