,which,season,of,doctor,who,won,an,award,for,best,writing,in,a,children,'s,serial,?
in,0.4840516746044159,0.2184021919965744,0.5696388483047485,0.25567495822906494,0.2792111933231354,0.3280489146709442,0.2605783939361572,0.23376452922821045,0.4322226941585541,0.2813531160354614,0.26213181018829346,1.0,0.539380669593811,0.2065156251192093,-0.037580832839012146,0.20157626271247864,0.20430970191955566
1975,0.25342631340026855,0.26281416416168213,0.30364495515823364,0.17072933912277222,0.2054152637720108,0.11899693310260773,0.16651199758052826,0.10633505880832672,0.19673505425453186,0.15355068445205688,0.15637139976024628,0.31352153420448303,0.26416853070259094,0.1984824538230896,0.036086369305849075,0.14690439403057098,0.19593262672424316
",",0.3658004403114319,0.2232367992401123,0.4946078956127167,0.20407600700855255,0.3365725874900818,0.35968565940856934,0.3581022024154663,0.25078102946281433,0.4464869201183319,0.3461092710494995,0.2835220992565155,0.5201468467712402,0.427140474319458,0.28531143069267273,-0.0016132977325469255,0.23162682354450226,0.31091248989105225
season,0.20103639364242554,1.0,0.1598338931798935,0.16388003528118134,0.13809308409690857,0.2658141851425171,0.1245875135064125,0.21058213710784912,0.24490800499916077,0.20042479038238525,0.13661037385463715,0.2184021919965744,0.1855505406856537,0.1516442745923996,0.06624794006347656,0.19397206604480743,0.16793298721313477
11,0.06589670479297638,0.003848182037472725,-0.022359032183885574,0.06085772439837456,0.11859084665775299,-0.016532763838768005,0.012114142999053001,-0.05543158948421478,-0.05063733458518982,0.06109211593866348,0.007772647310048342,0.03469983860850334,0.02427549473941326,0.07598461210727692,0.07733099907636642,0.03733863681554794,-0.04295448586344719
of,0.5011631846427917,0.1598338931798935,1.0,0.16895952820777893,0.2827862501144409,0.20832067728042603,0.32280945777893066,0.19404402375221252,0.4185989499092102,0.23660683631896973,0.25490155816078186,0.5696388483047485,0.5052502155303955,0.1978350728750229,-0.03817026689648628,0.17792607843875885,0.1826142966747284
the,0.6521818041801453,0.2507155239582062,0.733189046382904,0.2820442318916321,0.3733934462070465,0.29432493448257446,0.4207492768764496,0.24073810875415802,0.4739971458911896,0.3134109377861023,0.2579600512981415,0.6662389636039734,0.5829201340675354,0.15654058754444122,-0.01540423184633255,0.1900636851787567,0.22068053483963013
series,0.2484029233455658,0.37080681324005127,0.22268271446228027,0.2712797522544861,0.21484537422657013,0.25377801060676575,0.16255386173725128,0.3122923970222473,0.2715710699558258,0.3025350868701935,0.2113671898841858,0.2914260923862457,0.23966510593891144,0.24287088215351105,0.0006390819908119738,0.35013672709465027,0.1709602326154709
won,0.15727952122688293,0.2658141851425171,0.20832067728042603,0.20737384259700775,0.24654650688171387,1.0000001192092896,0.15845894813537598,0.5295910239219666,0.3782569169998169,0.42620420455932617,0.19368785619735718,0.3280489146709442,0.22534137964248657,0.20002105832099915,-0.07419146597385406,0.09937356412410736,0.17925700545310974
a,0.56894451379776,0.1855505406856537,0.5052502155303955,0.22883038222789764,0.36608949303627014,0.22534137964248657,0.44552403688430786,0.20049746334552765,0.44038116931915283,0.2547774314880371,0.3032566010951996,0.539380669593811,1.0,0.12013130635023117,0.04866964742541313,0.23481066524982452,0.23916715383529663
