,how,many,saturn,v,rockets,were,produced,by,nasa,during,the,apollo,project,?
this,0.45272302627563477,0.43532639741897583,0.24697645008563995,0.20022960007190704,0.25447458028793335,0.25469228625297546,0.2391100525856018,0.38438332080841064,0.23177671432495117,0.34351885318756104,0.6274310946464539,0.1840856671333313,0.3302684724330902,0.3155723512172699
included,0.13500849902629852,0.37090563774108887,0.17490041255950928,0.09871132671833038,0.15965110063552856,0.42708900570869446,0.23406384885311127,0.2987801134586334,0.08336206525564194,0.2805079221725464,0.3825419843196869,0.12437957525253296,0.18497970700263977,0.14385655522346497
all,0.3725806474685669,0.5443700551986694,0.1795746386051178,0.13731379806995392,0.20907694101333618,0.4387909770011902,0.12008082866668701,0.2944089472293854,0.17001275718212128,0.27479588985443115,0.4860881567001343,0.15919139981269836,0.17859745025634766,0.29575422406196594
research,0.22275793552398682,0.24523742496967316,0.13479377329349518,0.10464902967214584,0.20253078639507294,0.16198860108852386,0.17405135929584503,0.1734425127506256,0.354152649641037,0.17499478161334991,0.24391183257102966,0.15886999666690826,0.3625554144382477,0.13481977581977844
and,0.33647966384887695,0.5296266674995422,0.18160289525985718,0.19040757417678833,0.2638039290904999,0.42175528407096863,0.24455034732818604,0.4289871156215668,0.12810774147510529,0.36462149024009705,0.5171257257461548,0.15251155197620392,0.23249590396881104,0.20544172823429108
development,0.2009134739637375,0.27117374539375305,0.10971269011497498,0.17080052196979523,0.16816170513629913,0.159018412232399,0.171735942363739,0.19329734146595,0.2143857628107071,0.24569252133369446,0.3362044394016266,0.20540346205234528,0.35320746898651123,0.1211358830332756
costs,0.28816989064216614,0.29496294260025024,0.10867587476968765,0.14906692504882812,0.2400723397731781,0.21330046653747559,0.20908018946647644,0.1958591490983963,0.16653411090373993,0.28969916701316833,0.2180386483669281,0.16310636699199677,0.2864971160888672,0.19150719046592712
;,0.07230665534734726,0.11763367056846619,0.04782959446310997,-0.03098202869296074,0.0876283273100853,0.14040996134281158,-0.001334897126071155,0.10469875484704971,0.12415304034948349,0.04684014990925789,0.09152708947658539,0.03165381774306297,0.028092388063669205,0.10349778085947037
the,0.33890387415885925,0.4335206151008606,0.24189656972885132,0.18580520153045654,0.2335384339094162,0.3906462490558624,0.22045251727104187,0.4408751428127289,0.19786997139453888,0.4838213622570038,1.0,0.2169172167778015,0.2027820199728012,0.22068053483963013
procurement,0.30225110054016113,0.24100542068481445,0.2006276547908783,0.19283273816108704,0.22684991359710693,0.1907128095626831,0.16723701357841492,0.17184634506702423,0.2444806545972824,0.24279218912124634,0.3154159188270569,0.24326401948928833,0.28407225012779236,0.17974576354026794
