,who,is,seen,as,the,ultimate,climate,change,authority,?
in,0.2792111933231354,0.5394441485404968,0.28402701020240784,0.3887844979763031,0.6662389636039734,0.17520791292190552,0.24209141731262207,0.2510564923286438,0.214982271194458,0.20430970191955566
principle,0.25496232509613037,0.20634804666042328,0.19321158528327942,0.25984928011894226,0.24017377197742462,0.24669280648231506,0.1565278321504593,0.30511581897735596,0.257360577583313,0.2002675086259842
",",0.3365725874900818,0.4691906273365021,0.28642043471336365,0.48816442489624023,0.4933079481124878,0.17938943207263947,0.224740669131279,0.2752361297607422,0.22133024036884308,0.31091248989105225
this,0.3345087468624115,0.480927973985672,0.3374632000923157,0.43993282318115234,0.6274310946464539,0.24575607478618622,0.2539234161376953,0.4215611219406128,0.21339759230613708,0.3155723512172699
means,0.22125157713890076,0.4087343215942383,0.29065144062042236,0.19043149054050446,0.32225894927978516,0.1976761817932129,0.11436884850263596,0.2675262689590454,0.17496925592422485,0.21233566105365753
that,0.45444270968437195,0.3995479643344879,0.3623615801334381,0.4735107421875,0.5473989248275757,0.24695861339569092,0.22277899086475372,0.3988441526889801,0.29481130838394165,0.32716336846351624
any,0.29236510396003723,0.35691767930984497,0.36459779739379883,0.35746830701828003,0.4525727927684784,0.24694328010082245,0.18915274739265442,0.3998388946056366,0.26418572664260864,0.4113408327102661
significant,0.18698793649673462,0.2283884435892105,0.2693483233451843,0.3025142550468445,0.35524800419807434,0.15837320685386658,0.28450533747673035,0.22486615180969238,0.2277216613292694,0.18679562211036682
new,0.2378052920103073,0.2208656519651413,0.17923355102539062,0.24585270881652832,0.3845241069793701,0.18736661970615387,0.15430177748203278,0.24499863386154175,0.2571299970149994,0.14782847464084625
evidence,0.22911369800567627,0.18936312198638916,0.22481918334960938,0.20767489075660706,0.25031140446662903,0.1649593859910965,0.15797188878059387,0.2078196108341217,0.25058138370513916,0.24151235818862915
or,0.31144875288009644,0.41870999336242676,0.3130718171596527,0.4400654137134552,0.4174870550632477,0.13851286470890045,0.12554609775543213,0.3169957101345062,0.22092896699905396,0.32389625906944275
events,0.22557984292507172,0.17093729972839355,0.1798832267522812,0.1924285739660263,0.3102840185165405,0.2272312194108963,0.21451230347156525,0.259019672870636,0.1409953534603119,0.09835197776556015
